family,n_books,point,is_new,IS_Sharpe,OOS_Sharpe,OOS_margin,OOS_CAGR,OOS_MaxDD,turnover
ALL,115,D,False,0.5031356012197703,0.6214600140553628,-0.7200552437102253,0.04566913016162964,-0.1753596182701258,12.243368299922574
ALL,115,2D,False,0.5748502616652269,0.6620298183315754,-0.6821952578609629,0.05022205971419562,-0.17103416732927282,8.602781029005225
ALL,115,W,False,0.6091581658937584,0.679791613438244,-0.6468847257985981,0.05255141580310997,-0.17046582350476322,5.547074435857378
ALL,115,2W,False,0.648799302680322,0.6887066093175187,-0.650847601190368,0.055384607032174155,-0.18383325371167328,3.9288941909285504
ALL,115,M,False,0.7777202614684923,0.7558913233285969,-0.5596465664357122,0.060231809125037755,-0.17318304047318572,2.664719212027889
ALL,115,6W,False,0.6422032046036368,0.7797167509920107,-0.5868123868908167,0.06487701599169463,-0.20258238575531998,2.1760704776472517
ALL,115,7W,True,0.7263561366173654,0.6059406809299513,-0.6596984586359547,0.05039282112183173,-0.20565569734183106,2.0705594705290356
ALL,115,8W,True,0.7761598127269048,0.6505268323744993,-0.6110783550202291,0.05934649269677941,-0.22241433924743484,1.8527644376737176
ALL,115,2M,True,0.7395763020815103,0.8257831633530314,-0.4919791042690945,0.07004745606053446,-0.17170138392805942,1.78949156145859
ALL,115,10W,True,0.6768307852565891,0.6932079354572592,-0.6081284281655843,0.06388865490845129,-0.20782032615586385,1.6129906568798258
ALL,115,Q,False,0.6499244725710307,0.5385732799361096,-0.7115337923500937,0.05006497396557018,-0.2552435390742824,1.3939809648549046
ALL,115,16W,True,0.7335131712473649,0.6297653872525258,-0.6826683916697917,0.060571990007732966,-0.23226048442059877,1.198994755552952
ALL,115,2Q,True,0.7237425179834371,0.6461728354635191,-0.6238067799475074,0.06609560803361178,-0.25727780325871563,0.8736429511572148
SMALL,49,D,False,0.2480198020197154,0.13074533091151885,-1.2522686488674415,0.008723670532204733,-0.2713071581071797,15.593478348940486
SMALL,49,2D,False,0.3274901611847225,0.18962304769806898,-1.192891271499284,0.015333243794789569,-0.2549460522180225,11.107408831908497
SMALL,49,W,False,0.4072511518219786,0.20520275926815387,-1.1117004956557075,0.017313920195450555,-0.2404182387781687,7.298729658993381
SMALL,49,2W,False,0.5097090178526846,0.21472721979345483,-1.0937533305763665,0.018785647177774,-0.24809418457596027,5.254809174601812
SMALL,49,M,False,0.5988546683715914,0.3030347243140429,-0.96780580565572,0.025777347814182207,-0.2467130175181372,3.5843110403029637
SMALL,49,6W,False,0.4604830780581641,0.22151772616081009,-1.0626853016735576,0.019082118128483472,-0.2936359038866023,2.891314555438591
SMALL,49,7W,True,0.5116384387833373,0.21555699328431907,-1.0732164386323844,0.016965374414205266,-0.2772873016455022,2.6573545835935386
