,tpers,mompers,momsgn,momac
AAPL,0.9819729594391587,0.9807155544278102,0.9807155544278102,0.8937101709154848
ABBV,0.9604938271604938,0.9692500784436774,0.98242861625353,0.828955615176193
ABT,0.9774661992989484,0.9771631565592489,0.97614818573966,0.8964267970438451
ACN,0.9667000500751126,0.9680284191829485,0.9799543263131185,0.8955492984271339
ADBE,0.9754631947921882,0.9893428063943162,0.9852829231159604,0.9263297482755121
ADI,0.9694541812719079,0.958893681806648,0.9736107586906877,0.7407999416114389
ADP,0.9789684526790186,0.9644760213143873,0.9845216950012687,0.8716747433221157
AMAT,0.9757135703555333,0.9824917533620908,0.9824917533620908,0.9192556763452407
AMD,0.9737105658487731,0.9824917533620908,0.9708195889368181,0.9058741934953636
AMGN,0.9544316474712068,0.9571174828723674,0.9682821618878458,0.8627885211356461
AMZN,0.971957936905358,0.9604161380360314,0.9731032732808932,0.8785862108963913
ANET,0.9743144741409233,0.9752475247524752,0.9702970297029703,0.8155010320165997
AVGO,0.9596895343014522,0.9852829231159604,0.9812230398376046,0.8717738212568356
AXP,0.9689534301452178,0.9797005836082213,0.9857904085257548,0.8834407789894134
BA,0.9646970455683526,0.9677746764780513,0.9725957878710987,0.8999251477942926
BAC,0.9697045568352529,0.9733570159857904,0.979446840903324,0.9250781394518073
BKNG,0.9654481722583876,0.9621923369703121,0.9713270743466126,0.8502111341640315
BLK,0.9687030545818728,0.9649835067241816,0.9799543263131185,0.8534213871945961
BRK-B,0.9669504256384577,0.9662522202486679,0.9720883024613043,0.8548383580228265
BSX,0.9524286429644466,0.9791930981984268,0.9812230398376046,0.9140260439114943
C,0.9739609414121182,0.9705658462319209,0.9680284191829485,0.9076212286031569
CAT,0.9749624436654982,0.9741182441004821,0.9705658462319209,0.9154085990850752
CB,0.971957936905358,0.9553412839380868,0.9771631565592489,0.8462790462075226
CI,0.957436154231347,0.9649835067241816,0.955595026642984,0.873164023992421
CMG,0.9784677015523285,0.9860441512306521,0.9875666074600356,0.9318724276761984
COP,0.9639459188783175,0.959908652626237,0.9731032732808932,0.8952977980843382
COST,0.9621932899349024,0.9779243846739406,0.9829992387718853,0.8909863027102927
CRM,0.9689534301452178,0.9692971327074347,0.9769094138543517,0.8497515225847677
CSCO,0.9772158237356035,0.9753869576249683,0.9774168992641461,0.8863227689989615
CVX,0.9529293940911367,0.9576249682821619,0.9720883024613043,0.909250579207422
DBC,0.9644466700050075,0.9626998223801065,0.9659984775437707,0.9240823057351043
DE,0.956935403104657,0.959908652626237,0.9624460796752093,0.8567695305501096
DHR,0.9684526790185278,0.9637147931996956,0.9670134483633596,0.8611849517404409
DIA,0.970956434651978,0.9814767825425019,0.9807155544278102,0.8845610409815812
DUK,0.9626940410615924,0.9649835067241816,0.9817305252473991,0.8345040796004825
EEM,0.9614421632448673,0.963207307789901,0.9751332149200711,0.8909194502155178
EFA,0.9689534301452178,0.9708195889368181,0.9725957878710987,0.8776015022343071
ETN,0.9699549323985979,0.9731032732808932,0.9731032732808932,0.8604658120766923
GDX,0.956935403104657,0.9736107586906877,0.9614311088556204,0.919996266525306
GE,0.971707561342013,0.979446840903324,0.9791930981984268,0.9416367988617103
GILD,0.9606910365548322,0.9758944430347628,0.9708195889368181,0.9365863080812391
GLD,0.9656985478217326,0.9802080690180157,0.9791930981984268,0.9152697692929934
GOOGL,0.972458688032048,0.972849530575996,0.9779243846739406,0.8115853175500384
GS,0.9734601902854282,0.9774168992641461,0.971834559756407,0.9252531673782433
HD,0.9742113169754631,0.9698046181172292,0.9814767825425019,0.8922881630163382
HON,0.9601902854281422,0.9654909921339762,0.9720883024613043,0.778322959608332
HYG,0.9699549323985979,0.9573712255772646,0.9812230398376046,0.8759293883221644
IBM,0.9687030545818728,0.9802080690180157,0.9647297640192845,0.9087731988381574
ICE,0.9629444166249375,0.9659984775437707,0.9799543263131185,0.7880263200171187
IEF,0.9641962944416624,0.9583861963968536,0.9789393554935295,0.8700969319089719
INTU,0.971707561342013,0.9743719868053794,0.9814767825425019,0.8711984492702883
ISRG,0.9679519278918378,0.9725957878710987,0.9746257295102766,0.9049126580389076
ITB,0.9634451677516275,0.9675209337731541,0.9682821618878458,0.9162374455581979
IWM,0.9684526790185278,0.9553412839380868,0.9680284191829485,0.8304513613725606
JNJ,0.9589384076114171,0.965237249429079,0.9675209337731541,0.8641374856644911
JPM,0.9697045568352529,0.9758944430347628,0.9764019284445572,0.8790822816024856
KLAC,0.9699549323985979,0.9758944430347628,0.9776706419690434,0.7985245361839104
KO,0.9629444166249375,0.9659984775437707,0.9751332149200711,0.8760822712652704
KRE,0.9616925388082123,0.9738645013955849,0.9786856127886323,0.8909699385171843
LIN,0.9649474211316975,0.9682821618878458,0.9690433900025375,0.8767085992026462
LLY,0.9754631947921882,0.9850291804110631,0.9776706419690434,0.893663396721111
LMT,0.957436154231347,0.9758944430347628,0.9753869576249683,0.9010902786430935
LOW,0.9644466700050075,0.9639685359045927,0.963207307789901,0.849487912095278
LQD,0.9742113169754631,0.9467140319715808,0.9756407003298655,0.8786606460441778
LRCX,0.9774661992989484,0.9822380106571936,0.9802080690180157,0.9162892297756938
MA,0.971957936905358,0.9873128647551382,0.9756407003298655,0.9122735778859681
MCD,0.9656985478217326,0.9779243846739406,0.9753869576249683,0.904635474068798
MDLZ,0.9499248873309964,0.9703121035270236,0.9609236234458259,0.8824292259817879
MDT,0.9667000500751126,0.9659984775437707,0.9573712255772646,0.8768989253223319
META,0.9796759941089838,0.9796529024536206,0.9868342309994016,0.8999778713757515
MO,0.9754631947921882,0.9700583608221264,0.9791930981984268,0.8958497514465543
MRK,0.9704556835252879,0.9753869576249683,0.9733570159857904,0.9104343861501113
MS,0.9757135703555333,0.9804618117229129,0.9753869576249683,0.9225300952373722
MSFT,0.9677015523284928,0.9771631565592489,0.9842679522963714,0.8995443519614867
MU,0.9752128192288433,0.9799543263131185,0.9743719868053794,0.9248033804724173
NEE,0.9697045568352529,0.9687896472976402,0.9852829231159604,0.8434488376053436
NFLX,0.9807210816224337,0.9860441512306521,0.9804618117229129,0.9057764389255551
NOW,0.9667260843731432,0.9767582251735587,0.9815876848777543,0.8823201243811746
NVDA,0.9817225838758137,0.9804618117229129,0.9835067241816797,0.9174348010532828
ORCL,0.9631947921882824,0.9621923369703121,0.9687896472976402,0.8318740046401004
PANW,0.9746420047732697,0.9687784177023341,0.976659593816308,0.8863013505539616
PEP,0.9621932899349024,0.9654909921339762,0.9662522202486679,0.8888375758220906
PFE,0.9654481722583876,0.9667597056584624,0.9774168992641461,0.886741329363841
PG,0.956935403104657,0.9649835067241816,0.9769094138543517,0.8887972589349462
PGR,0.9704556835252879,0.9804618117229129,0.979446840903324,0.9032152703959125
PLD,0.970956434651978,0.9715808170515098,0.9629535650850038,0.8544138795301721
PLTR,0.9790697674418605,0.9894907033144705,0.9862570735650767,0.9445523928892889
PM,0.957436154231347,0.9746257295102766,0.9644760213143873,0.8964248773763535
QCOM,0.9599399098647972,0.9746257295102766,0.9756407003298655,0.8176609829514343
