phi,delta,pass_352,pass_16,point
0.5,0.4,0,0,
0.5,0.5,7,0,
0.5,0.6,88,0,
0.5,0.7,115,0,
0.5,0.8,123,3,
0.6,0.4,0,0,
0.6,0.5,7,0,
0.6,0.6,88,0,
0.6,0.7,115,0,DEFECT
0.6,0.8,123,3,
0.7,0.4,0,0,
0.7,0.5,4,0,
0.7,0.6,74,0,PROTOCOL
0.7,0.7,101,0,
0.7,0.8,109,3,
0.8,0.4,0,0,
0.8,0.5,2,0,
0.8,0.6,52,0,
0.8,0.7,79,0,
0.8,0.8,87,3,
0.9,0.4,0,0,
0.9,0.5,2,0,
0.9,0.6,32,0,
0.9,0.7,57,0,
0.9,0.8,65,3,
