scheme,H,cond,gen,est,n_pairs,delta_REAL,noinfo,share,band_lo,band_hi,p_real_vs_null,m0_shrink
DISJOINT,756,NONE,ANALYTIC,RAW,288,-0.16202819228584708,-0.06598853720245784,0.40726577437858535,,,,
DISJOINT,756,NONE,ANALYTIC,LOO,288,-0.16202819228584708,-0.061812900024919126,0.38149472109069743,,,,
DISJOINT,756,NONE,ANALYTIC,SHRUNK,288,-0.16202819228584708,-0.05659107949665837,0.3492668695384903,,,,3.985415845486796
DISJOINT,756,NONE,BERNOULLI,RAW,288,-0.16202819228584708,-0.0658716889554397,0.4065446144040792,-0.16076960809624619,0.030021428202612537,0.05,
DISJOINT,756,NONE,BERNOULLI,LOO,288,-0.16202819228584708,-0.062387747198843414,0.3850425430210326,-0.15610058346672176,0.031290339236846154,0.038,
DISJOINT,756,NONE,BERNOULLI,SHRUNK,288,-0.16202819228584708,-0.056206433624206145,0.3468929254302104,-0.15312774306810556,0.045758248567150245,0.0375,3.985415845486796
DISJOINT,756,NONE,HYPERGEOM,RAW,288,-0.16202819228584708,-0.06661806165126248,0.4111510516252391,-0.16202819228584708,0.031290339236846154,0.067,
DISJOINT,756,NONE,HYPERGEOM,LOO,288,-0.16202819228584708,-0.06661806165126248,0.4111510516252391,-0.16202819228584708,0.031290339236846154,0.067,
DISJOINT,756,NONE,HYPERGEOM,SHRUNK,288,-0.16202819228584708,-0.06661806165126248,0.4111510516252391,-0.16202819228584708,0.031290339236846154,0.067,3.985415845486796
OVERLAP21,756,NONE,ANALYTIC,RAW,1680,-0.10672165545184864,-0.019403550436888573,0.1818145563310081,,,,
OVERLAP21,756,NONE,ANALYTIC,LOO,1680,-0.10672165545184864,-0.01877536263102536,0.17592833011756034,,,,
OVERLAP21,756,NONE,ANALYTIC,SHRUNK,1680,-0.10672165545184864,-0.01858143303873283,0.1741111769683569,,,,6.194163577258472
OVERLAP21,756,NONE,BERNOULLI,RAW,1680,-0.10672165545184864,-0.019902505564848027,0.18648985044865393,-0.06137005920232216,0.01767738352124004,0.0,
OVERLAP21,756,NONE,BERNOULLI,LOO,1680,-0.10672165545184864,-0.019348940444421744,0.181302851445663,-0.05982754291210731,0.01767557467962222,0.0,
OVERLAP21,756,NONE,BERNOULLI,SHRUNK,1680,-0.10672165545184864,-0.019034563771243244,0.17835708873379855,-0.05982137157011706,0.018296326561881508,0.0,6.194163577258472
OVERLAP21,756,NONE,HYPERGEOM,RAW,1680,-0.10672165545184864,-0.019252714326451217,0.18040119641076763,-0.05905335869967693,0.019599330941406312,0.0,
OVERLAP21,756,NONE,HYPERGEOM,LOO,1680,-0.10672165545184864,-0.019252714326451217,0.18040119641076763,-0.05905335869967693,0.019599330941406312,0.0,
OVERLAP21,756,NONE,HYPERGEOM,SHRUNK,1680,-0.10672165545184864,-0.019252714326451217,0.18040119641076763,-0.05905335869967693,0.019599330941406312,0.0,6.194163577258472
OVERLAP21,756,OTHER3,ANALYTIC,RAW,627,-0.06277056277056275,0.0684781822613042,-1.0909282829214673,,,,
OVERLAP21,756,OTHER3,ANALYTIC,LOO,627,-0.06277056277056275,0.07050823836765846,-1.1232691767537317,,,,
OVERLAP21,756,OTHER3,ANALYTIC,SHRUNK,627,-0.06277056277056275,0.06541024158321773,-1.0420528141878138,,,,3.3945269599851047
OVERLAP21,756,OTHER3,BERNOULLI,RAW,627,-0.06277056277056275,0.06935010822510823,-1.1048189655172418,0.007936507936507962,0.13673340548340546,0.0,
OVERLAP21,756,OTHER3,BERNOULLI,LOO,627,-0.06277056277056275,0.07126352813852813,-1.135301724137931,0.010813492063492086,0.13780663780663782,0.0,
OVERLAP21,756,OTHER3,BERNOULLI,SHRUNK,627,-0.06277056277056275,0.06625270562770563,-1.0554741379310348,0.005411255411255422,0.1341991341991342,0.0,3.3945269599851047
OVERLAP21,756,OTHER3,HYPERGEOM,RAW,627,-0.06277056277056275,0.0677790404040404,-1.0797902298850577,-0.0010822510822511289,0.13600288600288601,0.0005,
OVERLAP21,756,OTHER3,HYPERGEOM,LOO,627,-0.06277056277056275,0.0677790404040404,-1.0797902298850577,-0.0010822510822511289,0.13600288600288601,0.0005,
OVERLAP21,756,OTHER3,HYPERGEOM,SHRUNK,627,-0.06277056277056275,0.0677790404040404,-1.0797902298850577,-0.0010822510822511289,0.13600288600288601,0.0005,3.3945269599851047
CHAIN,756,NONE,ANALYTIC,RAW,564,-0.11492272675829635,-0.014574399859160203,0.12681912681912647,,,,
CHAIN,756,NONE,ANALYTIC,LOO,564,-0.11492272675829635,-0.01239291449178781,0.10783693392389124,,,,
CHAIN,756,NONE,ANALYTIC,SHRUNK,564,-0.11492272675829635,-0.012602554443545577,0.10966111576912954,,,,7.353805528001931
CHAIN,756,NONE,BERNOULLI,RAW,564,-0.11492272675829635,-0.015060523370597184,0.13104913010176167,-0.07971750311230712,0.055268287162204666,0.005,
CHAIN,756,NONE,BERNOULLI,LOO,564,-0.11492272675829635,-0.012456151050639436,0.1083871867819236,-0.08274398601662411,0.058826377274499214,0.004,
CHAIN,756,NONE,BERNOULLI,SHRUNK,564,-0.11492272675829635,-0.013192504055430503,0.11479456176824596,-0.08307156420155176,0.058901827144348134,0.004,7.353805528001931
CHAIN,756,NONE,HYPERGEOM,RAW,564,-0.11492272675829635,-0.014151956037875833,0.12314323230112702,-0.07946128792927831,0.055292179620990145,0.0045,
CHAIN,756,NONE,HYPERGEOM,LOO,564,-0.11492272675829635,-0.014151956037875833,0.12314323230112702,-0.07946128792927831,0.055292179620990145,0.0045,
CHAIN,756,NONE,HYPERGEOM,SHRUNK,564,-0.11492272675829635,-0.014151956037875833,0.12314323230112702,-0.07946128792927831,0.055292179620990145,0.0045,7.353805528001931
DISJOINT,1260,NONE,ANALYTIC,RAW,144,-0.12764670296430725,-0.18088324258923172,1.4170616113744086,,,,
DISJOINT,1260,NONE,ANALYTIC,LOO,144,-0.12764670296430725,-0.18572292800967938,1.4549763033175365,,,,
DISJOINT,1260,NONE,ANALYTIC,SHRUNK,144,-0.12764670296430725,-0.14290028925754938,1.1194984746100913,,,,3.1896047401185044
DISJOINT,1260,NONE,BERNOULLI,RAW,144,-0.12764670296430725,-0.1812952208106473,1.420289099526067,-0.31215970961887474,-0.05807622504537202,0.4075,
DISJOINT,1260,NONE,BERNOULLI,LOO,144,-0.12764670296430725,-0.18511675741076827,1.4502274881516595,-0.3133696309739866,-0.05927102238354509,0.39,
DISJOINT,1260,NONE,BERNOULLI,SHRUNK,144,-0.12764670296430725,-0.14333182093163943,1.122879146919432,-0.28433151845130067,-0.000604960677555888,0.845,3.1896047401185044
DISJOINT,1260,NONE,HYPERGEOM,RAW,144,-0.12764670296430725,-0.18534543254688446,1.4520189573459725,-0.3018753781004234,-0.06957047791893523,0.4235,
