panel,key,rank_IC,t_IC,n_dates
u56,VOL,0.09124305721971551,8.740855889597535,865
u56,VOLR,0.09124305721971551,8.740855889597535,865
u56,MOM,0.061255315122768904,5.679060089134804,865
u56,R6,0.053927605568965566,5.46706843247562,865
u56,R3,0.04610468795447333,4.490786213941199,865
u56,RAND,-0.023267321530743918,-3.8716261175218736,865
broad,VOL,0.06372040100399089,7.5462981042622665,877
broad,VOLR,0.06372040100399089,7.5462981042622665,877
broad,MOM,0.03586830646087659,4.370889405786171,877
broad,R6,0.033044340270001575,4.687849999462957,877
broad,R3,0.013234231707108779,1.837317931101488,877
broad,RAND,0.0006261868681854189,0.1587397641489842,877
small,VOL,-0.020861011454283134,-4.3580090457551,779
small,VOLR,-0.020861011454283134,-4.3580090457551,779
small,MOM,0.008420910370626351,1.8471654432805866,779
small,R6,-0.0025803005918470594,-0.6051440323540686,779
small,R3,-0.002377327149867795,-0.578321912888753,779
small,RAND,-0.01145428521976894,-3.539966356786138,779
