bin,panel,n,med_dCAGR,med_dMaxDD,med_dSharpe,beats_gm_Sharpe,beats_gm_both
"[0,2)",u56,86,0.0,0.0,0.0,0,0
"[0,2)",broad136,62,0.0,0.0,0.0,0,0
"[0,2)",small439,25,0.0,0.0,0.0,0,0
"[0,2)",ALL,173,0.0,0.0,0.0,0,0
"[2,4)",u56,16,-0.6110234566481965,-0.2665145302668037,-0.0763984480458465,1,1
"[2,4)",broad136,17,-0.6156752437332713,0.5005355571507608,-0.05484979000737389,0,0
"[2,4)",small439,8,-0.6172144245864208,0.15748823501419706,-0.044080696247491835,0,0
"[2,4)",ALL,41,-0.6156752437332713,0.0062386615120368916,-0.05484979000737389,1,1
"[4,6)",u56,18,-0.9487370598393441,-2.1340329022096483,-0.2806915423554226,0,0
"[4,6)",broad136,18,-0.7131855647633523,0.16579521376403616,-0.09483679902294873,0,0
"[4,6)",small439,20,-0.7892625108738005,-0.3593238593578185,-0.067272803364187,0,0
"[4,6)",ALL,56,-0.8404102925404944,-0.7805828936100268,-0.11682795941134155,0,0
"[6,8)",u56,8,-0.999555801949592,-5.12541567507081,-0.4751493014809357,0,0
"[6,8)",broad136,13,-0.7345035828453472,-1.2999958512601717,-0.2994636404651798,0,0
"[6,8)",small439,17,-0.2898911708675067,0.4976286172645894,-0.0255446689001938,3,3
"[6,8)",ALL,38,-0.4284785925795398,-1.279433735831803,-0.13701072991369628,3,3
"[8,10)",u56,6,-0.6869726624926464,-1.8709613909464295,-0.6095826625221216,0,0
"[8,10)",broad136,10,-0.7261442650868366,0.24480930985789628,-0.1498106771082421,0,0
"[8,10)",small439,6,-0.5370592836331234,-2.567537397615566,-0.07002083953062277,0,0
"[8,10)",ALL,22,-0.6925650902352531,-1.1674009888448467,-0.17078722201880434,0,0
"[10,99)",u56,10,-1.2800864803240497,-1.7860090381505822,-1.2144455671435495,0,0
"[10,99)",broad136,23,-1.0821758815994786,-1.3386432957921635,-0.7622234557960061,0,0
"[10,99)",small439,68,-0.6577888728770853,-1.08243688900157,-0.1820024816482284,3,2
"[10,99)",ALL,101,-0.8304613783553516,-1.3386432957921635,-0.3234870527334653,3,2
