uni,L,start,end,depth,ctl_dd_V1u,frac,n_arms,frac_V1u,frac_TOP20,frac_EWall
universe.json(56),2,2009-01-13,2011-01-12,22.061944945147506,8.625767100733672,0.5833333333333334,48,0.4375,0.4375,0.875
universe.json(56),2,2009-02-13,2011-02-12,17.701705416083435,8.625767100733695,0.5833333333333334,48,0.5,0.4375,0.8125
universe.json(56),2,2009-03-13,2011-03-12,15.699676276134811,8.625767100733661,0.3541666666666667,48,0.1875,0.4375,0.4375
universe.json(56),2,2009-04-13,2011-04-12,15.699676276134833,8.625767100733695,0.4375,48,0.4375,0.4375,0.4375
universe.json(56),2,2009-05-13,2011-05-12,15.699676276134777,8.625767100733661,0.4583333333333333,48,0.4375,0.5,0.4375
universe.json(56),2,2009-06-13,2011-06-12,15.699676276134822,8.625767100733672,0.3333333333333333,48,0.1875,0.375,0.4375
universe.json(56),2,2009-07-13,2011-07-12,15.699676276134811,8.625767100733661,0.3333333333333333,48,0.125,0.4375,0.4375
universe.json(56),2,2009-08-13,2011-08-12,17.308123888679038,9.94368152717604,0.4791666666666667,48,0.25,0.5,0.6875
universe.json(56),2,2009-09-13,2011-09-12,17.30812388867895,9.94368152717604,0.4583333333333333,48,0.3125,0.375,0.6875
universe.json(56),2,2009-10-13,2011-10-12,18.60545633455388,9.943681527176151,0.4375,48,0.25,0.4375,0.625
universe.json(56),2,2009-11-13,2011-11-12,18.60545633455383,9.943681527176107,0.4166666666666667,48,0.25,0.375,0.625
universe.json(56),2,2009-12-13,2011-12-12,18.60545633455384,9.943681527176174,0.5208333333333334,48,0.25,0.6875,0.625
universe.json(56),2,2010-01-13,2012-01-12,18.60545633455385,9.943681527176096,0.5208333333333334,48,0.25,0.6875,0.625
universe.json(56),2,2010-02-13,2012-02-12,18.605456334553892,9.943681527176063,0.5208333333333334,48,0.25,0.6875,0.625
universe.json(56),2,2010-03-13,2012-03-12,18.60545633455384,9.943681527176151,0.5208333333333334,48,0.25,0.6875,0.625
universe.json(56),2,2010-04-13,2012-04-12,18.60545633455385,9.943681527176073,0.5208333333333334,48,0.25,0.6875,0.625
universe.json(56),2,2010-05-13,2012-05-12,18.60545633455387,9.943681527176096,0.5416666666666666,48,0.25,0.75,0.625
universe.json(56),2,2010-06-13,2012-06-12,18.60545633455386,9.943681527176086,0.5416666666666666,48,0.25,0.75,0.625
universe.json(56),2,2010-07-13,2012-07-12,18.60545633455388,9.943681527176052,0.5416666666666666,48,0.25,0.75,0.625
universe.json(56),2,2010-08-13,2012-08-12,18.605456334553892,9.943681527176096,0.5416666666666666,48,0.25,0.75,0.625
universe.json(56),2,2010-09-13,2012-09-12,18.605456334553917,9.943681527176096,0.5416666666666666,48,0.25,0.75,0.625
universe.json(56),2,2010-10-13,2012-10-12,18.605456334553793,9.943681527176096,0.5416666666666666,48,0.25,0.75,0.625
universe.json(56),2,2010-11-13,2012-11-12,18.60545633455386,9.943681527176162,0.5416666666666666,48,0.25,0.75,0.625
universe.json(56),2,2010-12-13,2012-12-12,18.605456334553928,9.943681527176086,0.5416666666666666,48,0.25,0.75,0.625
universe.json(56),2,2011-01-13,2013-01-12,18.60545633455396,9.943681527176217,0.5416666666666666,48,0.25,0.75,0.625
universe.json(56),2,2011-02-13,2013-02-12,18.60545633455386,9.943681527176086,0.5416666666666666,48,0.25,0.75,0.625
universe.json(56),2,2011-03-13,2013-03-12,18.60545633455386,9.943681527176073,0.5416666666666666,48,0.25,0.75,0.625
universe.json(56),2,2011-04-13,2013-04-12,18.605456334553793,9.943681527176096,0.5416666666666666,48,0.25,0.75,0.625
universe.json(56),2,2011-05-13,2013-05-12,18.366744290511328,6.963281919739483,0.5416666666666666,48,0.25,0.6875,0.6875
universe.json(56),2,2011-06-13,2013-06-12,18.36674429051134,5.470265575506716,0.6666666666666666,48,0.6875,0.625,0.6875
universe.json(56),2,2011-07-13,2013-07-12,17.89367467752282,5.470265575506728,0.6875,48,0.75,0.625,0.6875
universe.json(56),2,2011-08-13,2013-08-12,9.687028487274208,5.470265575506605,0.625,48,0.3125,0.6875,0.875
universe.json(56),2,2011-09-13,2013-09-12,9.687028487274263,5.470265575506605,0.5833333333333334,48,0.25,0.625,0.875
universe.json(56),2,2011-10-13,2013-10-12,9.687028487274251,5.613684202620483,0.5625,48,0.125,0.6875,0.875
universe.json(56),2,2011-11-13,2013-11-12,9.687028487274251,5.61368420262045,0.5625,48,0.125,0.6875,0.875
universe.json(56),2,2011-12-13,2013-12-12,9.687028487274263,5.613684202620506,0.625,48,0.25,0.75,0.875
universe.json(56),2,2012-01-13,2014-01-12,9.687028487274219,5.613684202620528,0.6041666666666666,48,0.25,0.6875,0.875
universe.json(56),2,2012-02-13,2014-02-12,9.687028487274251,5.613684202620483,0.5625,48,0.1875,0.625,0.875
universe.json(56),2,2012-03-13,2014-03-12,9.687028487274208,5.6136842026204725,0.5208333333333334,48,0.125,0.5625,0.875
universe.json(56),2,2012-04-13,2014-04-12,8.981120461544334,6.361896938907153,0.4375,48,0.1875,0.3125,0.8125
universe.json(56),2,2012-05-13,2014-05-12,7.345571045112109,6.361896938907108,0.3541666666666667,48,0.125,0.375,0.5625
universe.json(56),2,2012-06-13,2014-06-12,7.345571045112131,6.361896938907141,0.4375,48,0.25,0.5,0.5625
universe.json(56),2,2012-07-13,2014-07-12,7.345571045112109,6.36189693890713,0.4583333333333333,48,0.1875,0.625,0.5625
universe.json(56),2,2012-08-13,2014-08-12,7.345571045112131,6.361896938907174,0.3958333333333333,48,0.25,0.375,0.5625
universe.json(56),2,2012-09-13,2014-09-12,7.3455710451120755,6.361896938907141,0.4583333333333333,48,0.1875,0.625,0.5625
