panel,cost,anchor,kind,nrep,b_obs,b_null_med,b_null_p05,b_null_p95,b_null_w90,b_pct,D_obs,D_null_med,D_null_p95,D_pct,C_obs,C_null_med
U56,0.0,TAIL,NULL_J,1000,-0.3988181480230567,-0.46111829668546267,-0.7945345622787815,-0.07297590357236171,0.7215586587064198,0.6,0.0,0.052381910058619,0.16853476340426568,0.419,9.968908114236923,15.690635183098617
U56,0.0,POOLED,NULL_J,1000,-0.33975227592170615,-0.4455609094069627,-0.6719091051725279,-0.24173548494290562,0.43017362022962224,0.794,0.1021661285130651,0.05580245073984625,0.13172304820510805,0.849,6.212423873331663,15.641209915100871
U56,10.0,TAIL,NULL_J,1000,-0.49159505602960457,-0.45009444038868796,-0.7813461492080042,-0.1075998282555982,0.6737463209524059,0.427,0.0,0.05292314535884378,0.16382012274597632,0.398,11.078833315251575,16.395572083324844
U56,10.0,HEAD,NULL_J,1000,-0.4382685371000937,-0.45118831400453985,-0.807231237096139,-0.08404633659316853,0.7231849005029705,0.522,0.0,0.05201705897636473,0.16929385077360487,0.419,16.288100293353814,15.52501613772572
U56,10.0,MID,NULL_J,1000,-0.8465210403753534,-0.44836472777017067,-0.7822147294559332,-0.10522372852009333,0.6769910009358399,0.029,0.0,0.056080963306450196,0.17640198424240117,0.403,66.08842355164562,16.00514235909209
U56,10.0,POOLED,NULL_J,1000,-0.42819815707047776,-0.4500964047907884,-0.6538889128046113,-0.24854622020696426,0.405342692597647,0.564,0.09453042838742585,0.05405961222872713,0.12725951086292325,0.805,7.965375360450018,15.768243794684366
U56,25.0,TAIL,NULL_J,1000,-0.4722712663320768,-0.38362359265229645,-0.7336803885772881,-0.04744892600537404,0.6862314625719141,0.334,0.0,0.07708986017894792,0.19360000935229166,0.337,13.35390517241099,16.160235518537306
U56,25.0,POOLED,NULL_J,1000,-0.39036447146816206,-0.38444188997665485,-0.6095546310332753,-0.18848988406866235,0.421064746964613,0.488,0.08596960241974276,0.0771430246109864,0.15558823999035065,0.578,9.177585153004571,16.036715708409478
B136,0.0,TAIL,NULL_J,1000,-0.4787167884661964,-0.45089891455434833,-0.8216228096944613,-0.11551562595036131,0.7061071837441,0.455,0.0,0.05452470863809134,0.16840608061029927,0.394,9.867290293390568,16.34761867590868
B136,0.0,POOLED,NULL_J,1000,-0.4390971429220146,-0.4569727556105574,-0.667442124417871,-0.2438052979900088,0.42363682642786216,0.558,0.057134959745612085,0.052473357431200074,0.1326189063300714,0.537,8.813936091782855,16.298747902151938
B136,10.0,TAIL,NULL_J,1000,-0.6713665355909422,-0.4544041207929177,-0.8373285018969872,-0.1208483278170127,0.7164801740799744,0.161,0.0,0.052881216197279424,0.17587604758822345,0.412,13.508864280473075,16.567152922783304
B136,10.0,HEAD,NULL_J,1000,-0.38780299415530306,-0.4678970887241909,-0.8179888961761004,-0.14689405435682176,0.6710948418192786,0.656,0.0,0.044204592145638724,0.1614380980262846,0.423,11.895017957214971,16.617297546984865
B136,10.0,MID,NULL_J,1000,-0.4815534771825739,-0.46496933356875514,-0.8236433020399334,-0.11822985157810938,0.705413450461824,0.462,0.0,0.0464956725111043,0.161677383521167,0.417,11.893857125352495,17.7021525147525
B136,10.0,POOLED,NULL_J,1000,-0.47398828393251474,-0.45564850274239754,-0.6648653823665478,-0.2496470227326073,0.4152183596339405,0.438,0.05864528846949156,0.052857800263552496,0.12477365833319196,0.547,6.99741765319781,16.141615008441022
B136,25.0,TAIL,NULL_J,1000,-0.7294374980648544,-0.3901022338325928,-0.7426258075735471,-0.0646616968255444,0.6779641107480028,0.055,0.0,0.07802012498940838,0.19128655786905346,0.328,20.8795065818526,15.743114738351665
B136,25.0,POOLED,NULL_J,1000,-0.4537873895581633,-0.4005207295323484,-0.6501134970401995,-0.17755709836671038,0.4725563986734891,0.357,0.04758287662741094,0.07441655534093788,0.15732781171575042,0.319,9.3298379903121,16.019087126735833
U56,10.0,TAIL,NULL_0,1000,,-0.501125876593868,-0.6613229921937075,-0.32776497852860575,0.33355801366510174,,,0.0114841857289863,0.12243383298416909,,,26.838023390162
U56,10.0,POOLED,NULL_0,1000,,-0.5044380965636139,-0.6145174800046346,-0.4128905086574686,0.20162697134716595,,,0.015090414806783414,0.08477128767329314,,,26.930566855712183
B136,10.0,TAIL,NULL_0,1000,,-0.5049036596962898,-0.6841479433570722,-0.3367533881100628,0.3473945552470094,,,0.004694034448472931,0.12179143622236577,,,28.395005377520576
B136,10.0,POOLED,NULL_0,1000,,-0.5041083027038054,-0.6163790015960119,-0.4032566119648368,0.21312238963117508,,,0.006608817167436996,0.0854987286770611,,,27.74637922579462
