cost_bps,scope,arm,n,OOS_Sharpe,OOS_CAGR,OOS_MaxDD,mean_pick_q,pick_q_1
0,primary,S1 IS-Sharpe,2,0.9619083342352198,0.17845192715429803,-0.30526042584188334,0.125,0.0
0,primary,S0 q=1.00 (no ranking),2,1.1485750875841028,0.11904449087558044,-0.16556114905997377,1.0,1.0
0,primary,S2 random q,2,1.1483903110635525,0.1307911326750626,-0.1957888439110052,0.75,0.0
0,primary,S3 ORACLE (OOS argmax),2,1.1794964408841642,0.14975573488850513,-0.19816330528029696,0.65,0.0
0,all panels,S1 IS-Sharpe,5,0.8503013765936321,0.13665365774228003,-0.2950807086729619,0.31999999999999995,0.0
0,all panels,S0 q=1.00 (no ranking),5,0.9073190898844515,0.0961193094250484,-0.2362166672183288,1.0,1.0
0,all panels,S2 random q,5,0.790481406280559,0.13738028621266762,-0.29959600096827954,0.18,0.0
0,all panels,S3 ORACLE (OOS argmax),5,1.0040891445069007,0.12529615353814005,-0.2421183314111422,0.6399999999999999,0.0
0,sub-panels,S1 IS-Sharpe,72,0.9479896377144976,0.13220223290329075,-0.25276673162583374,0.5722222222222223,0.2222222222222222
0,sub-panels,S0 q=1.00 (no ranking),72,1.0401232457215204,0.1143099724588482,-0.2003282901190945,1.0,1.0
0,sub-panels,S2 random q,72,0.9288663954519024,0.1337496501951736,-0.26343240618457586,0.47430555555555554,0.06944444444444445
0,sub-panels,S3 ORACLE (OOS argmax),72,1.0851234050877585,0.13602973813812358,-0.2108604245904484,0.7611111111111112,0.125
5,primary,S1 IS-Sharpe,2,0.9060720758911884,0.16608085879221846,-0.3092564595430482,0.125,0.0
5,primary,S0 q=1.00 (no ranking),2,1.1073983733570434,0.11433708073407212,-0.16666549297558209,1.0,1.0
5,primary,S2 random q,2,1.0199333325420763,0.14747133895573683,-0.25515268753358294,0.575,0.5
5,primary,S3 ORACLE (OOS argmax),2,1.1309289061603582,0.14273134855659364,-0.2010203479060796,0.65,0.0
5,all panels,S1 IS-Sharpe,5,0.7934079196590613,0.12602941086507502,-0.300482358043185,0.31999999999999995,0.0
5,all panels,S0 q=1.00 (no ranking),5,0.863322041386233,0.0908237636203344,-0.23976113043339006,1.0,1.0
5,all panels,S2 random q,5,0.8048209019063728,0.10044273949735874,-0.2772639532111005,0.61,0.2
5,all panels,S3 ORACLE (OOS argmax),5,0.9525929609385495,0.1178017843795757,-0.24566883248868168,0.6399999999999999,0.0
