panel,book,N,pass4a_v1,pass4a_v2,pass4b,pass_BOTH
B136,CAND5,1500,285,0,30,0
B136,CAND20,1500,1462,12,394,1
SMALL484,CAND5,1500,27,0,0,0
SMALL484,CAND20,1500,11,1,0,0
