arm,band,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,IS_Sharpe,kind,panel,series,CAGR,Sharpe,MaxDD,H1,H2
"CROSSING read, hmult 0.5 smult 1",0.01,0.0866716134378313,1.0301105460183473,-0.14939556227295506,0.9209244363324717,arm,,,,,,,
"CROSSING read, hmult 1 smult 1",0.01,0.0866716134378313,1.0301105460183473,-0.14939556227295506,0.9209244363324717,arm,,,,,,,
"CROSSING read, hmult 2 smult 1",0.01,0.0866716134378313,1.0301105460183473,-0.14939556227295506,0.9209244363324717,arm,,,,,,,
"CROSSING read, hmult 3 smult 1",0.01,0.0866716134378313,1.0301105460183473,-0.14939556227295506,0.9209244363324717,arm,,,,,,,
"CROSSING read, hmult 4 smult 1",0.01,0.0866716134378313,1.0301105460183473,-0.14939556227295506,0.9209244363324717,arm,,,,,,,
"CROSSING read, hmult 5 smult 1",0.01,0.0866716134378313,1.0301105460183473,-0.14939556227295506,0.9209244363324717,arm,,,,,,,
"CROSSING read, hmult 0.5 smult 2",0.01,0.0866716134378313,1.0301105460183473,-0.14939556227295506,0.9209244363324717,arm,,,,,,,
"CROSSING read, hmult 1 smult 2",0.01,0.0866716134378313,1.0301105460183473,-0.14939556227295506,0.9209244363324717,arm,,,,,,,
"CROSSING read, hmult 2 smult 2",0.01,0.0866716134378313,1.0301105460183473,-0.14939556227295506,0.9209244363324717,arm,,,,,,,
"CROSSING read, hmult 3 smult 2",0.01,0.0866716134378313,1.0301105460183473,-0.14939556227295506,0.9209244363324717,arm,,,,,,,
"CROSSING read, hmult 4 smult 2",0.01,0.0866716134378313,1.0301105460183473,-0.14939556227295506,0.9209244363324717,arm,,,,,,,
"CROSSING read, hmult 5 smult 2",0.01,0.0866716134378313,1.0301105460183473,-0.14939556227295506,0.9209244363324717,arm,,,,,,,
"CROSSING read, hmult 0.5 smult 4",0.01,0.0866716134378313,1.0301105460183473,-0.14939556227295506,0.9209244363324717,arm,,,,,,,
"CROSSING read, hmult 1 smult 4",0.01,0.0866716134378313,1.0301105460183473,-0.14939556227295506,0.9209244363324717,arm,,,,,,,
"CROSSING read, hmult 2 smult 4",0.01,0.0866716134378313,1.0301105460183473,-0.14939556227295506,0.9209244363324717,arm,,,,,,,
"CROSSING read, hmult 3 smult 4",0.01,0.0866716134378313,1.0301105460183473,-0.14939556227295506,0.9209244363324717,arm,,,,,,,
"CROSSING read, hmult 4 smult 4",0.01,0.0866716134378313,1.0301105460183473,-0.14939556227295506,0.9209244363324717,arm,,,,,,,
"CROSSING read, hmult 5 smult 4",0.01,0.0866716134378313,1.0301105460183473,-0.14939556227295506,0.9209244363324717,arm,,,,,,,
"ARGMAX read, hmult 0.5 smult 1",0.10,0.08881560661932893,0.9771253830440788,-0.18626892588262225,0.9857150849222053,arm,,,,,,,
"ARGMAX read, hmult 1 smult 1",0.10,0.08881560661932893,0.9771253830440788,-0.18626892588262225,0.9857150849222053,arm,,,,,,,
"ARGMAX read, hmult 2 smult 1",0.11,0.08828889847700033,0.965660307470138,-0.18841864030825675,0.9793576717649576,arm,,,,,,,
"ARGMAX read, hmult 3 smult 1",0.12,0.08899854745847623,0.9722447690838069,-0.18584253932374728,0.9797464995786324,arm,,,,,,,
"ARGMAX read, hmult 4 smult 1",0.13,0.08799195098721042,0.9704640878679126,-0.17996383944064145,0.9699628880787453,arm,,,,,,,
"ARGMAX read, hmult 5 smult 1",0.13,0.08799195098721042,0.9704640878679126,-0.17996383944064145,0.9699628880787453,arm,,,,,,,
"ARGMAX read, hmult 0.5 smult 2",0.11,0.08828889847700033,0.965660307470138,-0.18841864030825675,0.9793576717649576,arm,,,,,,,
"ARGMAX read, hmult 1 smult 2",0.11,0.08828889847700033,0.965660307470138,-0.18841864030825675,0.9793576717649576,arm,,,,,,,
"ARGMAX read, hmult 2 smult 2",0.13,0.08799195098721042,0.9704640878679126,-0.17996383944064145,0.9699628880787453,arm,,,,,,,
"ARGMAX read, hmult 3 smult 2",0.13,0.08799195098721042,0.9704640878679126,-0.17996383944064145,0.9699628880787453,arm,,,,,,,
"ARGMAX read, hmult 4 smult 2",0.17,0.08781747533053051,0.9630689515560388,-0.18114508472610005,0.9727272957808525,arm,,,,,,,
