panel,argmax_band,dSharpe,boot_lo,boot_hi,straddles_0,dCAGR_pp,cagr_lo_pp,cagr_hi_pp,prob_argmax_better,note
U56,0.03,0.0,0.0,0.0,True,0.0,0.0,0.0,,argmax IS the live band
B136,0.1,0.02045958731348385,-0.08081065114450875,0.13317243692625483,True,0.6975668354066933,-0.04345035470149083,1.422110889649567,0.6905,
SMALL439,0.15,0.10111773599101925,-0.0041280426394717015,0.2078289173521099,True,1.0234836992549567,0.21196895095653645,1.7685372318549621,0.971,
