conv,window,step,dlogSharpe,MEAN,VOL,COMOVE
GATED,FULL,0.000->0.125,-0.02262469637450637,-0.10504155942869087,0.0601897595826002,0.02222710347158352
GATED,FULL,0.125->0.250,0.005887544979523249,-0.04592969526730162,0.02724338257506087,0.024573857671764343
GATED,FULL,0.250->0.375,-0.04999930958436431,-0.08351531581277172,0.03817623623697308,-0.004660230008566191
GATED,FULL,0.375->0.500,-0.04791016267686265,-0.09195490535439443,0.054925476692232245,-0.010880734014700133
GATED,FULL,0.500->0.625,-0.049060321716466404,-0.08675260557324105,0.04020903205180648,-0.0025167481950323367
GATED,FULL,0.625->0.750,-0.023478354833366095,-0.07603688897747318,0.07279706892557236,-0.020238534781464534
GATED,FULL,0.750->0.875,-0.13221856019650452,-0.15297583652183988,0.05157814398832983,-0.030820867662994078
GATED,FULL,0.875->1.000,-0.13421512415486106,-0.17789631994333188,0.0788741247133089,-0.03519292892483905
GATED,IS,0.000->0.125,-0.05399259670561815,-0.15848345576128153,0.0870024911220133,0.01748836793364994
GATED,IS,0.125->0.250,0.02721596275116686,-0.04002112777593769,0.019898869955011556,0.047338220572092804
GATED,IS,0.250->0.375,-0.047490235198989386,-0.0878402901783586,0.03741405184174518,0.002936003137624432
GATED,IS,0.375->0.500,-0.08488884142437494,-0.11988458621325826,0.05750547821305396,-0.022509733424171285
GATED,IS,0.500->0.625,-0.03901763332420425,-0.09140977143944884,0.04216241159082568,0.010229726524419003
GATED,IS,0.625->0.750,3.602170277575839e-05,-0.03542483099666338,0.0444342005519438,-0.008973347852504698
GATED,IS,0.750->0.875,-0.1831744282029184,-0.22040594987171058,0.06816564651630053,-0.030934124847508015
GATED,IS,0.875->1.000,-0.15030839654029923,-0.20877249216920113,0.0842833228012072,-0.025819227172304893
GATED,OOS,0.000->0.125,0.0032914378786697285,-0.059599769115053824,0.039459400527100286,0.023431806466622795
GATED,OOS,0.125->0.250,-0.01162923203810913,-0.0507315479121333,0.03325006851655221,0.005852247357472917
GATED,OOS,0.250->0.375,-0.05190065129330927,-0.07998417193461727,0.03692141641074187,-0.008837895769434612
GATED,OOS,0.375->0.500,-0.018616247655457135,-0.06990337546199665,0.04982755385676185,0.0014595739497780258
GATED,OOS,0.500->0.625,-0.05701716511724253,-0.08311984803346917,0.0413847633963389,-0.015282080480112259
GATED,OOS,0.625->0.750,-0.042217493885496775,-0.10829180111865089,0.08817136807176684,-0.022097060838613736
GATED,OOS,0.750->0.875,-0.09294946499707585,-0.10069549148067836,0.038191734420962575,-0.030445707937359456
GATED,OOS,0.875->1.000,-0.1233073666947235,-0.15593635008282636,0.07222854514139243,-0.03959956175328949
UNGATED,FULL,0.000->0.125,0.011490493005262448,-0.0534685166010922,0.05341094257033818,0.011548067036017073
UNGATED,FULL,0.125->0.250,-0.028047579980408244,-0.0406387112125417,0.017766648494267123,-0.0051755172621339995
UNGATED,FULL,0.250->0.375,-0.07257207901783672,-0.10704558518485552,0.03519015984154095,-0.0007166536745222274
UNGATED,FULL,0.375->0.500,-0.012193992602988549,-0.050515590831066604,0.04086345876999253,-0.0025418605419140206
UNGATED,FULL,0.500->0.625,-0.053035758807307556,-0.10202149026866447,0.039083985704229995,0.009901745757126046
UNGATED,FULL,0.625->0.750,-0.053802451170140056,-0.09966898062695151,0.07237852340402728,-0.02651199394721626
UNGATED,FULL,0.750->0.875,-0.07479045434928262,-0.11560812691726774,0.03899774603859285,0.0018199265293935007
UNGATED,FULL,0.875->1.000,-0.06257654427765408,-0.11096131779979235,0.06980000817300258,-0.021415234650864534
UNGATED,IS,0.000->0.125,0.025763489638734732,-0.06475339408059089,0.07702556043984421,0.013491323279481937
UNGATED,IS,0.125->0.250,-0.04903719661819664,-0.051999569417556124,-0.000488300783899831,0.0034506735832585678
UNGATED,IS,0.250->0.375,-0.0944585857017433,-0.12158858881534851,0.029564483981995515,-0.00243448086838971
UNGATED,IS,0.375->0.500,-0.025314309095661118,-0.061950988079216174,0.045084770106621264,-0.008448091123066825
UNGATED,IS,0.500->0.625,-0.0540270351901458,-0.11588255822839777,0.04669823363547554,0.015157289402776886
UNGATED,IS,0.625->0.750,-0.03614705317552142,-0.05332538145240928,0.03880643908265036,-0.021628110805762657
UNGATED,IS,0.750->0.875,-0.11999353788685696,-0.18056315399088696,0.05843902801411627,0.002130588089913732
UNGATED,IS,0.875->1.000,-0.0911572680570033,-0.14221323710484235,0.06848277944252334,-0.017426810394685133
UNGATED,OOS,0.000->0.125,0.0006830713180734915,-0.043783278660570524,0.03351558816377409,0.01095076181486987
UNGATED,OOS,0.125->0.250,-0.011000574532615631,-0.031090361994833948,0.03008122155384685,-0.009991434091628393
UNGATED,OOS,0.250->0.375,-0.05473972226576465,-0.09510936278736004,0.03840493000667866,0.0019647105149169786
UNGATED,OOS,0.375->0.500,-0.0016507254354396067,-0.04134839945037694,0.03811443994961472,0.0015832340653232357
UNGATED,OOS,0.500->0.625,-0.05246375204775376,-0.09115893605301029,0.03605183743486595,0.002643346570389893
UNGATED,OOS,0.625->0.750,-0.0675901583047694,-0.13707679097714998,0.09420325423210762,-0.024716621559727037
UNGATED,OOS,0.750->0.875,-0.03973233982411877,-0.06402886205510594,0.02273716091109268,0.0015593613198948697
UNGATED,OOS,0.875->1.000,-0.04192826095861686,-0.08817538921094759,0.06953992379289975,-0.023292795540569622
