panel,cell,bar,pad,n_ep,base,after,flip,share_S,share_C,share_D,after_full
B136,C_GXDD,0.05,0,13,True,False,True,-0.39128227257826753,13.550835049123753,1.3326883819523931,False
B136,C_GXDD,0.05,5,13,True,False,True,-0.01571813377855076,8.071034411535503,1.3326883819523916,False
B136,C_GXDD,0.05,10,13,True,False,True,0.1408579028158495,5.902072318792602,1.3326883819523887,False
B136,C_GXDD,0.05,20,13,True,False,True,0.33240308460214735,6.11874415675845,1.332688381952391,False
B136,C_GXDD,0.1,0,5,True,False,True,0.493386385455601,10.242606447372014,1.4232677127422886,False
B136,C_GXDD,0.1,5,5,True,False,True,0.6144672743246072,6.335513855347408,1.4232677127422961,False
B136,C_GXDD,0.1,10,5,True,False,True,0.8084284513341684,5.725304688112361,1.4232677127422912,False
B136,C_GXDD,0.1,20,5,True,False,True,0.8783571615908501,5.090831235643189,1.4232677127422755,False
B136,C_GXDD,0.15,0,4,True,False,True,0.741571786450732,10.477265161532648,1.6996566340056416,False
B136,C_GXDD,0.15,5,4,True,False,True,0.7537671597368393,6.301585224882453,1.6996566340056416,False
B136,C_GXDD,0.15,10,4,True,False,True,0.8909163849060434,5.411203875934557,1.6996566340056416,False
B136,C_GXDD,0.15,20,4,True,False,True,0.9349544385147072,4.725464060516235,1.6996566340056416,False
B136,C_GXDD,0.2,0,2,True,False,True,0.6696813771102776,6.726329862116596,0.9410850232575958,False
B136,C_GXDD,0.2,5,2,True,False,True,0.5746518394828455,4.343866225277265,0.9410850232575958,False
B136,C_GXDD,0.2,10,2,True,False,True,0.6030792323607739,3.5501463214463764,0.9410850232575958,False
B136,C_GXDD,0.2,20,2,True,False,True,0.6289710321985797,3.365614807398307,0.9410850232575958,False
B136,C_KEEP,0.05,0,13,True,False,True,-0.43112770983314624,1.2606536792620773,8.885205418599696,True
B136,C_KEEP,0.05,5,13,True,False,True,-0.11124037093621097,0.6991130485028797,8.885205418599678,True
B136,C_KEEP,0.05,10,13,True,False,True,0.09333487130136173,0.5307967059730843,8.88520541859946,True
B136,C_KEEP,0.05,20,13,True,False,True,0.34946619140297985,0.6945571033124947,8.88520541859961,True
B136,C_KEEP,0.1,0,5,True,False,True,0.2400481858354489,1.1000064521257735,8.885205418599591,True
B136,C_KEEP,0.1,5,5,True,False,True,0.34389794860275946,0.5746553943533826,8.885205418599616,True
B136,C_KEEP,0.1,10,5,True,False,True,0.5280536355344149,0.5378054180591224,8.885205418599591,True
B136,C_KEEP,0.1,20,5,True,False,True,0.6182688111458224,0.463311317511368,8.885205418599316,True
B136,C_KEEP,0.15,0,4,True,False,True,0.44989589572230837,1.2171583913836352,10.801047623669787,True
B136,C_KEEP,0.15,5,4,True,False,True,0.4699668536363168,0.601306669221438,10.801047623669787,True
B136,C_KEEP,0.15,10,4,True,False,True,0.6104820732912665,0.5089814551195923,10.801047623669787,True
B136,C_KEEP,0.15,20,4,True,False,True,0.6858348640637251,0.423719761082011,10.801047623669787,True
B136,C_KEEP,0.2,0,2,True,False,True,0.4393468108621676,0.8125910590917959,3.5017378916314876,True
B136,C_KEEP,0.2,5,2,True,False,True,0.364163817066808,0.44033955924769974,3.5017378916314876,True
B136,C_KEEP,0.2,10,2,True,False,True,0.40515366012386134,0.3451323050102008,3.5017378916314876,True
B136,C_KEEP,0.2,20,2,True,False,True,0.45208502429808467,0.33371515037181426,3.5017378916314876,True
B136,C_MEMO,0.05,0,13,True,False,True,-0.14631035060172293,-0.06612512118145605,3.0540842556404115,False
B136,C_MEMO,0.05,5,13,True,False,True,0.031790742845461926,-0.35951970585702997,3.0540842556404297,False
B136,C_MEMO,0.05,10,13,True,False,True,0.3118596157985446,-0.2911376701394481,3.0540842556404373,False
B136,C_MEMO,0.05,20,13,True,False,True,0.5370228912157536,-0.3003132256482778,3.0540842556404355,False
B136,C_MEMO,0.1,0,5,True,False,True,0.13807314442105345,0.04697655221984106,3.054084255640416,False
B136,C_MEMO,0.1,5,5,True,False,True,0.11495817356050812,-0.3000470817767602,3.0540842556404297,False
B136,C_MEMO,0.1,10,5,True,False,True,0.3233281168465909,-0.26001916627156113,3.0540842556404235,False
B136,C_MEMO,0.1,20,5,True,False,True,0.3989233402104355,-0.3082505583824453,3.0540842556403875,False
B136,C_MEMO,0.15,0,4,True,False,True,0.26588515763537524,0.12310717964877053,3.5588924906631663,False
B136,C_MEMO,0.15,5,4,True,False,True,0.2205666712441204,-0.22908066048567335,3.5588924906631663,False
B136,C_MEMO,0.15,10,4,True,False,True,0.3982098394949477,-0.2070568141376364,3.5588924906631663,False
B136,C_MEMO,0.15,20,4,True,False,True,0.436565837934351,-0.28378625481056025,3.5588924906631663,False
B136,C_MEMO,0.2,0,2,True,False,True,0.3897455915971083,0.1816564297701342,3.1704928869685802,False
B136,C_MEMO,0.2,5,2,True,False,True,0.23969786501743026,-0.07158282117454104,3.1704928869685802,False
B136,C_MEMO,0.2,10,2,True,False,True,0.304770771074587,-0.06831950372496914,3.1704928869685802,False
B136,C_MEMO,0.2,20,2,True,False,True,0.3471778494594753,-0.08255415389452997,3.1704928869685802,False
B136,C_ORCL,0.05,0,13,True,False,True,0.1448080812747902,0.925805001171011,1.4848166131290212,False
B136,C_ORCL,0.05,5,13,True,False,True,0.2848027940581552,0.2301422510128897,1.4848166131290135,False
B136,C_ORCL,0.05,10,13,True,False,True,0.46357044559883553,0.11565239790971242,1.4848166131290117,False
B136,C_ORCL,0.05,20,13,True,False,True,0.6767034912954485,0.16029502764648462,1.4848166131290235,False
B136,C_ORCL,0.1,0,5,True,False,True,0.4802779729189741,0.8321256136824793,1.4848166131290086,False
B136,C_ORCL,0.1,5,5,True,False,True,0.43767203875980554,0.2137992053897594,1.484816613129024,False
B136,C_ORCL,0.1,10,5,True,False,True,0.5743949123034365,0.17879770935107425,1.4848166131290104,False
B136,C_ORCL,0.1,20,5,True,False,True,0.6374643973392434,0.11389241741819654,1.484816613129016,False
B136,C_ORCL,0.15,0,4,True,False,True,0.5659894417139929,0.8720264883842581,1.5444094979651242,False
B136,C_ORCL,0.15,5,4,True,False,True,0.5237461773681718,0.3072163087756267,1.5444094979651242,False
B136,C_ORCL,0.15,10,4,True,False,True,0.6349294201254599,0.25293280476199537,1.5444094979651242,False
B136,C_ORCL,0.15,20,4,True,False,True,0.6589248654587385,0.15167005169003323,1.5444094979651242,False
B136,C_ORCL,0.2,0,2,True,False,True,0.503541982992125,0.6365056306480513,1.0859587554435912,False
B136,C_ORCL,0.2,5,2,True,False,True,0.3808196681008475,0.2763140350978432,1.0859587554435912,False
B136,C_ORCL,0.2,10,2,True,False,True,0.40985436392995334,0.2177121278309008,1.0859587554435912,False
B136,C_ORCL,0.2,20,2,True,False,True,0.44203869726230643,0.20677380815870186,1.0859587554435912,False
U56,C_GXDD,0.05,0,13,True,False,True,-0.31062428520918656,5.432908943900149,1.034292693784542,False
U56,C_GXDD,0.05,5,13,True,False,True,-0.04213494131926123,2.927024345184594,1.0342926937845562,False
U56,C_GXDD,0.05,10,13,True,False,True,0.02624714494885834,1.8631768669632915,1.0342926937845394,False
U56,C_GXDD,0.05,20,13,True,False,True,-0.01967414970118696,1.512768768004692,1.0342926937845318,False
U56,C_GXDD,0.1,0,5,True,False,True,0.2846324212730944,3.8643426575782573,1.1003047635859542,False
U56,C_GXDD,0.1,5,5,True,False,True,0.3702753614374107,2.246881694262828,1.1003047635859393,False
U56,C_GXDD,0.1,10,5,True,False,True,0.47553169335877266,1.84903357693303,1.1003047635859469,False
U56,C_GXDD,0.1,20,5,True,False,True,0.4614073493788359,1.4236954391309937,1.1003047635859522,False
U56,C_GXDD,0.15,0,4,True,False,True,0.4686375152094063,3.9268143486432545,1.6178924005364999,False
U56,C_GXDD,0.15,5,4,True,False,True,0.461753304095298,2.1812756571965437,1.6178924005364999,False
U56,C_GXDD,0.15,10,4,True,False,True,0.5413341657978292,1.7379137342198772,1.6178924005364999,False
U56,C_GXDD,0.15,20,4,True,False,True,0.5233855383286661,1.3251176650865204,1.6178924005364999,False
U56,C_GXDD,0.2,0,2,True,False,True,0.42240910532094267,2.4475095163997596,0.9746069249099437,False
U56,C_GXDD,0.2,5,2,True,False,True,0.3438721769316822,1.4633376934952904,0.9746069249099437,False
U56,C_GXDD,0.2,10,2,True,False,True,0.35371381329202223,1.1046835204514394,0.9746069249099437,False
U56,C_GXDD,0.2,20,2,True,True,False,0.34852184238416684,0.9573428285532072,0.9746069249099437,True
U56,C_KEEP,0.05,0,13,True,False,True,-0.3591599158649978,0.9530473922509828,2.928988755085959,True
U56,C_KEEP,0.05,5,13,True,False,True,-0.1026991616404917,0.40270181187327836,2.928988755085869,True
U56,C_KEEP,0.05,10,13,True,False,True,0.006388439452633539,0.1659635318910388,2.9289887550859457,True
U56,C_KEEP,0.05,20,13,True,False,True,0.015302360643422478,0.07216204321336174,2.9289887550858955,True
U56,C_KEEP,0.1,0,5,True,False,True,0.19085965157350626,0.8091436368216025,3.337249059273664,True
U56,C_KEEP,0.1,5,5,True,False,True,0.25800227323592156,0.3474792476791074,3.337249059273617,True
U56,C_KEEP,0.1,10,5,True,False,True,0.35925160117959837,0.24532047382415714,3.3372490592736543,True
U56,C_KEEP,0.1,20,5,True,False,True,0.35839068942870356,0.0966673364770071,3.3372490592736144,True
U56,C_KEEP,0.15,0,4,True,False,True,0.31640380953267766,0.8618500359482245,4.2269590378214446,True
U56,C_KEEP,0.15,5,4,True,False,True,0.3161424809448039,0.34022089056296184,4.2269590378214446,True
