panel,arm,seed,cap,conv,f,gross,n_in,n_keep,nheld,mean_risk_gross,mean_shy,max_name_w,mean_max_name_w,turnover_yr,max_row_sum,real_vol
U56,EXT,,CAP2,R,0.0,0.75,38.450337078651685,38.450337078651685,37.55662921348315,0.6560925471605975,0.3439074528394024,0.027381432403730484,0.018675646211799804,3.5063829420832278,1.0000000000000013,0.08987993956854924
U56,EXT,,CAP2,R,0.05,0.75,38.450337078651685,36.91820224719101,36.02337078651686,0.6513106193462063,0.3486893806537935,0.02612843126309143,0.019120149727257688,4.051319064043829,1.0000000000000013,0.08619574707798033
U56,RAND,0.0,CAP2,R,0.05,0.75,38.450337078651685,36.91820224719101,36.02337078651686,0.6513478532033935,0.3486521467966062,0.028834798276302562,0.0192181912580016,3.5572185231748756,1.000000000000001,0.08974048786469287
U56,RAND,1.0,CAP2,R,0.05,0.75,38.450337078651685,36.91820224719101,36.02337078651686,0.6513493712253353,0.3486506287746644,0.028807516055859073,0.019215478992991527,3.5642186070293542,1.0000000000000009,0.08940894773027555
U56,RAND,2.0,CAP2,R,0.05,0.75,38.450337078651685,36.91820224719101,36.02337078651686,0.6513447539399021,0.3486552460600978,0.028843585667604723,0.019218675800171503,3.548798706697334,1.0000000000000009,0.08878722717902718
U56,RAND,3.0,CAP2,R,0.05,0.75,38.450337078651685,36.91820224719101,36.02337078651686,0.6513493683926411,0.3486506316073587,0.028803188227381704,0.019221275139055194,3.5580839280550838,1.0000000000000009,0.08952921585768625
U56,RAND,4.0,CAP2,R,0.05,0.75,38.450337078651685,36.91820224719101,36.02337078651686,0.651343913223431,0.34865608677656884,0.028803907440249042,0.019220482789683718,3.552501576405802,1.000000000000001,0.09005381314908964
U56,EXT,,CAP2,R,0.1,0.75,38.450337078651685,35.06651685393258,34.173033707865166,0.638829776204031,0.36117022379596864,0.026441251341750942,0.019615354067372293,4.663666303800418,1.0000000000000009,0.08221543115779671
U56,RAND,0.0,CAP2,R,0.1,0.75,38.450337078651685,35.06651685393258,34.173033707865166,0.6388752265361315,0.3611247734638682,0.02921186927307038,0.01975897462715534,3.5808727999431555,1.0000000000000009,0.08775744611224154
U56,RAND,1.0,CAP2,R,0.1,0.75,38.450337078651685,35.06651685393258,34.173033707865166,0.6388764506563577,0.36112354934364205,0.02644333081854487,0.01973874335451741,3.599408658590787,1.0000000000000009,0.08777762989964318
U56,RAND,2.0,CAP2,R,0.1,0.75,38.450337078651685,35.06651685393258,34.18292134831461,0.6390754648518523,0.3609245351481475,0.029224231248784895,0.01975351802516405,3.550276584669435,1.0000000000000009,0.08707350056917267
U56,RAND,3.0,CAP2,R,0.1,0.75,38.450337078651685,35.06651685393258,34.173033707865166,0.6388773207259124,0.3611226792740874,0.029189316491905377,0.019762441712644695,3.579602076520111,1.0000000000000009,0.0876104200731707
U56,RAND,4.0,CAP2,R,0.1,0.75,38.450337078651685,35.06651685393258,34.173033707865166,0.6388722624353148,0.3611277375646849,0.02917892638939345,0.01974549377624947,3.555158380322592,1.0000000000000009,0.08954602167281649
U56,EXT,,CAP2,R,0.2,0.75,38.450337078651685,31.15550561797753,30.2638202247191,0.5976369110672967,0.4023630889327031,0.02845895066549286,0.02043246158313158,5.612649769557312,1.0000000000000007,0.07418168753976268
U56,RAND,0.0,CAP2,R,0.2,0.75,38.450337078651685,31.15550561797753,30.2638202247191,0.5977142411788026,0.40228575882119727,0.029214608776416465,0.020647815488178563,3.4713386819987195,1.0000000000000009,0.08151129080956165
U56,RAND,1.0,CAP2,R,0.2,0.75,38.450337078651685,31.15550561797753,30.2638202247191,0.5977051090172831,0.4022948909827167,0.02837483573342293,0.02059772329187718,3.513724867357272,1.0000000000000007,0.08102085609294953
U56,RAND,2.0,CAP2,R,0.2,0.75,38.450337078651685,31.15550561797753,30.928539325842696,0.6108527856045702,0.3891472143954296,0.02923930359961595,0.020634399580525032,3.4614693620597246,1.0000000000000007,0.08433139599901826
U56,RAND,3.0,CAP2,R,0.2,0.75,38.450337078651685,31.15550561797753,30.2638202247191,0.5977188825611987,0.4022811174388012,0.029224436031803712,0.02066001323397535,3.5883404904389007,1.0000000000000007,0.08392476790277237
U56,RAND,4.0,CAP2,R,0.2,0.75,38.450337078651685,31.15550561797753,30.2638202247191,0.597709066129921,0.4022909338700788,0.029182659922502817,0.020629979300778502,3.4975483927619253,1.0000000000000004,0.0826584403086045
U56,EXT,,CAP2,R,0.3,0.75,38.450337078651685,27.37011235955056,26.47258426966292,0.5296201938354448,0.470379806164555,0.02849013654309462,0.020588795687705285,6.352874647397452,1.0000000000000007,0.06435464405143633
U56,RAND,0.0,CAP2,R,0.3,0.75,38.450337078651685,27.37011235955056,26.47258426966292,0.529713363269986,0.4702866367300138,0.029207245845105825,0.02082911826967986,3.2384291727056986,1.0000000000000009,0.07342908687793039
U56,RAND,1.0,CAP2,R,0.3,0.75,38.450337078651685,27.37011235955056,26.47752808988764,0.5297888537885711,0.47021114621142895,0.02839140371264137,0.02077903992128673,3.252559430119518,1.0000000000000009,0.0730217606223385
U56,RAND,2.0,CAP2,R,0.3,0.75,38.450337078651685,27.37011235955056,27.347640449438202,0.5472067959399927,0.4527932040600072,0.029227044104107765,0.020821438380577224,3.321863132395842,1.0000000000000009,0.07693840130968281
U56,RAND,3.0,CAP2,R,0.3,0.75,38.450337078651685,27.37011235955056,26.47258426966292,0.5297012561889272,0.4702987438110726,0.029252402301503784,0.0208503545928247,3.3794434421634403,1.0000000000000009,0.07527958498649326
U56,RAND,4.0,CAP2,R,0.3,0.75,38.450337078651685,27.37011235955056,26.47258426966292,0.5296912425402055,0.4703087574597944,0.029191786851056188,0.020810055883184356,3.1992949132517485,1.0000000000000009,0.07122947076880122
U56,EXT,,CAP2,D,0.0,0.75,38.450337078651685,38.450337078651685,37.55662921348315,0.6560925471605975,0.3439074528394024,0.027381432403730484,0.018675646211799804,3.5063829420832278,1.0000000000000013,0.08987993956854924
U56,EXT,,CAP2,D,0.05,0.75,38.450337078651685,36.91820224719101,36.02337078651686,0.6295943716477582,0.3704056283522417,0.025251372339506237,0.01857616981594959,4.0111678741372145,1.0000000000000013,0.08362773915631999
U56,RAND,0.0,CAP2,D,0.05,0.75,38.450337078651685,36.91820224719101,36.02337078651686,0.6296338149764161,0.3703661850235837,0.0274111953713009,0.0186707428301943,3.5352580961152302,1.0000000000000013,0.0870045373435052
U56,RAND,1.0,CAP2,D,0.05,0.75,38.450337078651685,36.91820224719101,36.02337078651686,0.629635814812269,0.3703641851877308,0.027386539399971294,0.018668003278340766,3.541908434500229,1.000000000000001,0.08668672632279892
