panel,book,cost,arm,kind,conv,stratum,CAGR,Sharpe,MaxDD,H1,H2,IS_CAGR,IS_Sharpe,IS_MaxDD,IS_Calmar,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,gross,TO,IS_m_H1,IS_m_H2,IS_m_DD,IS_m_CAGR,m_H1,m_H2,m_OOS,m_DD,m_CAGR,pass4b,fail4b,pass4b_oos,fail4b_oos,pass4a_v2,pass4a_v1,adm_P_S1,adm_P_ALL
u56,R3,0.0,control,ctl,dg,NEW-BOOK,0.2941966947994248,1.1776075124209673,-0.3448374326337723,1.4055303542255064,1.0340619477728425,0.31693031822180484,1.4423883835229312,-0.18841515432124267,1.6820850709356814,0.27573170847000594,1.0306007493300358,-0.34483743263377264,0.7388425691747182,17.469144191854607,0.20461646766718833,0.7697679198871241,-0.05604348465035758,0.2122187545782815,0.44891044678039327,0.20004577322127137,0.14858976474035257,-0.14253369742972954,0.18760037989345812,False,DD,False,DD,False,False,False,True
u56,R3,0.0,g200-dg,gate,dg,NEW-BOOK,0.2962496690538221,1.1849969638128846,-0.34483743263377253,1.4202646924770435,1.0368184481702705,0.32052153211742906,1.4586852765858749,-0.17362731953834853,1.846031678480393,0.2765557531647165,1.0331797917072603,-0.3448374326337724,0.7369945620683024,17.32691877106659,0.22669132642592305,0.7813009612768753,-0.04125564986746344,0.2158099684739057,0.4636447850319303,0.2028022736186993,0.15116880711757708,-0.14253369742972977,0.18965335414785545,False,DD,False,DD,False,False,False,True
u56,R3,0.0,g200-rw,gate,rw,NEW-BOOK,0.29547512888599936,1.1820969311716654,-0.34483743263377264,1.4152289476395516,1.0350784695355824,0.31945449191277553,1.4530995058150233,-0.17678494884734586,1.8070231317521555,0.27601480111198273,1.031553437268731,-0.3448374326337724,0.7388495290484782,17.3555621088569,0.2163599414766081,0.7807389725678635,-0.04441327917646076,0.21474292826925218,0.4586090401944385,0.20106229498401118,0.14954245267904775,-0.14253369742972988,0.1888788139800327,False,DD,False,DD,False,False,False,True
u56,R3,0.0,band3-dg,gate,dg,NEW-BOOK,0.29211874915613323,1.1716283750473435,-0.34483743263377253,1.401205570392449,1.0266046958000243,0.3155213704493205,1.4376387587764337,-0.18841515432124267,1.674607181072947,0.2731196893149024,1.0236537318576817,-0.3448374326337722,0.73743338478638,17.409767755209018,0.20461646766718833,0.7606531798779728,-0.05604348465035758,0.21080980680579714,0.4445856629473359,0.19258852124845316,0.14164274726799853,-0.14253369742972977,0.18552243425016657,False,DD,False,DD,False,False,False,True
u56,R3,0.0,band3-rw,gate,rw,NEW-BOOK,0.2909688708202489,1.167784389735511,-0.34483743263377253,1.4005330320485747,1.0204421179856045,0.3153335888768547,1.4368972855024296,-0.18841515432124267,1.6736105437634787,0.27120224484742783,1.0178940590386134,-0.3448374326337723,0.7388394523987346,17.466803413419917,0.20461646766718833,0.7591632585585641,-0.05604348465035758,0.21062202523333134,0.44391312460346155,0.1864259434340333,0.13588307444893022,-0.14253369742972977,0.18437255591428225,False,DD,False,DD,False,False,False,True
u56,R3,0.0,abs12-dg,gate,dg,NEW-BOOK,0.29240173543062364,1.1787281853915408,-0.34483743263377264,1.4068509940811325,1.0404052013001925,0.31074137481237374,1.4444908553465199,-0.18841515432124223,1.6492376949816305,0.27746042562461604,1.0365481170530362,-0.34483743263377264,0.7260025704528057,17.034228109548305,0.19322313988557227,0.7697679198871241,-0.056043484650357134,0.20602981116885039,0.4502310866360193,0.20638902674862136,0.154537132463353,-0.14253369742972988,0.18580542052465698,False,DD,False,DD,False,False,False,True
u56,R3,0.0,abs12-rw,gate,rw,NEW-BOOK,0.29973455301382534,1.1987048270712977,-0.3448374326337724,1.4485818948826703,1.0426084765455694,0.32607850512923053,1.4901675568470347,-0.18841515432124278,1.7306384207996106,0.27838890787048154,1.0385892520395061,-0.34483743263377264,0.738688237838489,17.298365139165462,0.2942816403854335,0.7697679198871241,-0.05604348465035769,0.22136694148570718,0.49196198743755715,0.20859230199399825,0.15657826744982295,-0.14253369742972966,0.19313823810785868,False,DD,False,DD,False,False,False,True
u56,R3,0.0,vol60-dg,gate,dg,NEW-BOOK,0.20392955085017594,1.0755707418151348,-0.19848602063287069,1.0558937097277876,1.0949313466978148,0.2051002617203892,1.1080890496060425,-0.1682643961749536,1.2189165764285355,0.20296428215163798,1.0506179510069718,-0.19848602063287102,0.6225247995594562,17.800281179864236,0.033390939879380466,0.2792572685731294,-0.035892726504068495,0.10038869807686585,0.09927380228267446,0.2609151721462436,0.16860696641728856,0.0038177145711720817,0.09733323594420927,True,-,True,-,False,False,False,True
u56,R3,0.0,vol60-rw,gate,rw,NEW-BOOK,0.2467336363814272,1.1430521811289533,-0.2589925555980036,1.1097763156178306,1.1786432882867883,0.21843856463268718,1.1127920660359119,-0.18968525770723965,1.151584299554926,0.2705782588828083,1.1698623372712433,-0.25899255559800316,0.736851436059252,20.77915527274351,0.1135230998214598,0.20992161410793186,-0.05731358803635456,0.11372700098916383,0.15315640817271747,0.34462711373521715,0.28785135268156015,-0.05668882039396084,0.14013732147546054,False,DD,False,DD,False,False,False,True
u56,R3,0.0,v1gate-dg,gate,dg,NEW-BOOK,0.20519100971619686,1.0819772347494654,-0.19848602063287135,1.0592022625638131,1.1042611333881307,0.20551147908292133,1.1118246974649992,-0.15929178501750907,1.2901574243789902,0.2049266075883558,1.0592053558295378,-0.19848602063287135,0.621184847031156,17.687522307869322,0.030913316584596395,0.2898092584547882,-0.026920115346623974,0.10079991543939798,0.10258235511869995,0.2702449588365595,0.1771943712398546,0.0038177145711714155,0.09859469481023019,True,-,True,-,False,False,False,True
