rule,cert,default_arm,files,instances,cells,mean_book_cell,mean_arm_cell,mean_book_inst,mean_arm_inst,win_book,win_arm,sign_flips,flip_share,shrink_share,median_abs_shift
SHARED-KEYS,0.0,LADDER-MEAN,60,73,6129,0.3316318229413074,0.04608828619339125,0.14208752840703784,0.04644429618717692,0.6301369863013698,0.7808219178082192,25,0.3424657534246575,0.589041095890411,0.22035938381471507
SHARED-KEYS,0.0,LADDER-MEDIAN,60,73,6129,0.3316318229413074,0.010243879060162902,0.14208752840703784,0.03192185634273034,0.6301369863013698,0.4931506849315068,30,0.410958904109589,0.5205479452054794,0.22474837731085126
SHARED-KEYS,0.0,EXCL-MEAN,60,73,6129,0.3316318229413074,0.05199028903908998,0.14208752840703784,0.050132429015046984,0.6301369863013698,0.7808219178082192,25,0.3424657534246575,0.589041095890411,0.22188926659768088
SHARED-KEYS,0.5,LADDER-MEAN,58,70,6093,0.33320791089630447,0.046191380603242994,0.148458385235116,0.04806721001448274,0.6428571428571429,0.7857142857142857,24,0.34285714285714286,0.5857142857142857,0.22186867623783404
SHARED-KEYS,0.5,LADDER-MEDIAN,58,70,6093,0.33320791089630447,0.009107036126053887,0.148458385235116,0.02739294157555087,0.6428571428571429,0.4857142857142857,29,0.4142857142857143,0.5142857142857142,0.2334160843158707
SHARED-KEYS,0.5,EXCL-MEAN,58,70,6093,0.33320791089630447,0.05213232488139679,0.148458385235116,0.05200469771994909,0.6428571428571429,0.7857142857142857,24,0.34285714285714286,0.5857142857142857,0.22225405960949984
SHARED-KEYS,1.0,LADDER-MEAN,57,69,6051,0.33661123966545803,0.04650054886967833,0.15288697816278293,0.04873993672789621,0.6521739130434783,0.782608695652174,23,0.3333333333333333,0.5942028985507246,0.22337796866095302
SHARED-KEYS,1.0,LADDER-MEDIAN,57,69,6051,0.33661123966545803,0.009396150709189957,0.15288697816278293,0.028261623553271793,0.6521739130434783,0.4927536231884058,29,0.42028985507246375,0.5072463768115942,0.2420837913208901
SHARED-KEYS,1.0,EXCL-MEAN,57,69,6051,0.33661123966545803,0.052482077314787906,0.15288697816278293,0.05273312823536276,0.6521739130434783,0.782608695652174,23,0.3333333333333333,0.5942028985507246,0.2226188526213188
DROP-ARM,0.0,LADDER-MEAN,71,91,9480,0.24657880490625816,0.03298661494810593,0.13626352403536926,0.03829589947944659,0.6263736263736264,0.7472527472527473,35,0.38461538461538464,0.5494505494505495,0.22035938381471507
DROP-ARM,0.0,LADDER-MEDIAN,71,91,9480,0.24657880490625816,0.0102956833520086,0.13626352403536926,0.03086661242990519,0.6263736263736264,0.5274725274725275,39,0.42857142857142855,0.4945054945054945,0.2420837913208901
DROP-ARM,0.0,EXCL-MEAN,71,91,9480,0.24657880490625816,0.03640924339848757,0.13626352403536926,0.040557388841579486,0.6263736263736264,0.7582417582417582,32,0.3516483516483517,0.5824175824175825,0.21733014322367383
DROP-ARM,0.5,LADDER-MEAN,69,88,9444,0.24727143464583193,0.03300318568872393,0.1411327054541246,0.03930906740885814,0.6363636363636364,0.75,34,0.38636363636363635,0.5454545454545454,0.22186867623783404
DROP-ARM,0.5,LADDER-MEDIAN,69,88,9444,0.24727143464583193,0.009562422123395748,0.1411327054541246,0.027228092368075208,0.6363636363636364,0.5227272727272727,38,0.4318181818181818,0.48863636363636365,0.24915916419962303
DROP-ARM,0.5,EXCL-MEAN,69,88,9444,0.24727143464583193,0.036441486806377626,0.1411327054541246,0.04172027166911069,0.6363636363636364,0.7613636363636364,31,0.3522727272727273,0.5795454545454546,0.21960970491067736
DROP-ARM,1.0,LADDER-MEAN,68,87,9402,0.2490778811869539,0.03314324875975035,0.14456083456019383,0.03974194097920187,0.6436781609195402,0.7471264367816092,33,0.3793103448275862,0.5517241379310345,0.22337796866095302
DROP-ARM,1.0,LADDER-MEDIAN,68,87,9402,0.2490778811869539,0.009750526628229264,0.14456083456019383,0.027915152221584045,0.6436781609195402,0.5287356321839081,38,0.4367816091954023,0.4827586206896552,0.256234537078356
DROP-ARM,1.0,EXCL-MEAN,68,87,9402,0.2490778811869539,0.03659648965420775,0.14456083456019383,0.042179780629026845,0.6436781609195402,0.7586206896551724,30,0.3448275862068966,0.5862068965517241,0.22188926659768088
