panel,proxy,flips,actual_4b_pass,n_defined
U56,FULL,9,9,112
U56,DOWN,9,9,112
U56,ROLL,7,9,112
U56,MAXROLL,9,9,112
U56,EWMA,6,9,112
U56,SEMI,9,9,112
U56,TAIL10,11,9,112
U56,HIVOL,10,9,112
U56,SPYDD,8,9,112
U56,SPYDD10,13,9,112
U56,DDWIN,2,0,64
B136,FULL,6,10,112
B136,DOWN,5,10,112
B136,ROLL,8,10,112
B136,MAXROLL,10,10,112
B136,EWMA,8,10,112
B136,SEMI,4,10,112
B136,TAIL10,6,10,112
B136,HIVOL,5,10,112
B136,SPYDD,3,10,112
B136,SPYDD10,5,10,112
B136,DDWIN,0,1,60
SMALL,FULL,0,0,112
SMALL,DOWN,0,0,112
SMALL,ROLL,0,0,112
SMALL,MAXROLL,0,0,112
SMALL,EWMA,0,0,112
SMALL,SEMI,0,0,112
SMALL,TAIL10,0,0,112
SMALL,HIVOL,0,0,112
SMALL,SPYDD,0,0,112
SMALL,SPYDD10,0,0,112
SMALL,DDWIN,0,0,112
