barset,bars,rung,n,n_pass,pass_rate
FIVE,L1+L2+L3+L4+L5,0.0,90,14,0.15555555555555556
FIVE,L1+L2+L3+L4+L5,10.0,90,7,0.07777777777777778
FIVE,L1+L2+L3+L4+L5,25.0,90,4,0.044444444444444446
FIVE,L1+L2+L3+L4+L5,50.0,90,3,0.03333333333333333
FIVE,L1+L2+L3+L4+L5,100.0,90,0,0.0
NO_OOS,L1+L2+L4+L5,0.0,90,14,0.15555555555555556
NO_OOS,L1+L2+L4+L5,10.0,90,7,0.07777777777777778
NO_OOS,L1+L2+L4+L5,25.0,90,4,0.044444444444444446
NO_OOS,L1+L2+L4+L5,50.0,90,3,0.03333333333333333
NO_OOS,L1+L2+L4+L5,100.0,90,0,0.0
NO_CAGR,L1+L2+L3+L4,0.0,90,33,0.36666666666666664
NO_CAGR,L1+L2+L3+L4,10.0,90,27,0.3
NO_CAGR,L1+L2+L3+L4,25.0,90,18,0.2
NO_CAGR,L1+L2+L3+L4,50.0,90,17,0.18888888888888888
NO_CAGR,L1+L2+L3+L4,100.0,90,9,0.1
SHARPE3,L1+L2+L3,0.0,90,48,0.5333333333333333
SHARPE3,L1+L2+L3,10.0,90,36,0.4
SHARPE3,L1+L2+L3,25.0,90,21,0.23333333333333334
SHARPE3,L1+L2+L3,50.0,90,18,0.2
SHARPE3,L1+L2+L3,100.0,90,9,0.1
RISK2,L4+L5,0.0,90,15,0.16666666666666666
RISK2,L4+L5,10.0,90,11,0.12222222222222222
RISK2,L4+L5,25.0,90,6,0.06666666666666667
RISK2,L4+L5,50.0,90,3,0.03333333333333333
RISK2,L4+L5,100.0,90,0,0.0
