panel,tilt,d_point,d_boot_median,lo5,hi95,frac_d_lt_0
u56,INV,0.03177879401400219,0.0320986212858998,-1.1859090293117038,1.096953849853486,0.474
u56,POS,0.47831229259277297,-0.22906721486120363,-2.127955907461216,1.3899737888320285,0.6005
broad,INV,0.17349828017106006,0.16087849099888496,-0.7808425038457744,1.2736108068669172,0.385
broad,POS,-0.5896702552118427,-0.5767509770901356,-2.1157203749263735,0.6882314899573656,0.8
small,INV,1.8764470903881176,0.6107988184277107,-1.3850500275319837,2.296460967490026,0.298
small,POS,0.6619058069731538,-0.02542866121183307,-2.1450893701684315,1.8736456647014263,0.5085
