stat,median_level,is_trunc
CAGR,15.579303262072287,False
CALMAR,0.7349932827382578,False
K0021,-19.811925776880678,True
K0063,-21.522486819373377,True
K0126,-21.522486819373377,True
K0252,-21.522486819373377,True
K0504,-21.522486819373377,True
MAXDD,-21.522486819373377,False
Q0500,-1.7994578435199482,True
Q0750,-4.961052187341711,True
Q0900,-8.782529858942217,True
Q0950,-10.676761348643222,True
Q0990,-14.162128171465028,True
Q0999,-19.236408884993402,True
SHARPE,1.0835817801087704,False
ULCER,4.791006822433624,False
VOL,13.84353364547315,False
