panel,book,p,mult,margin,sd,ratio
U56,N=5,0.9,0.5,-0.06210910175594642,0.042706013071251374,1.4543409063337904
U56,N=5,0.95,0.5,-0.08349514989028833,0.05163353907925456,1.6170719919494188
U56,N=5,0.975,0.5,-0.0912521278543622,0.05633715294120854,1.6197504327133763
U56,N=5,0.99,0.5,-0.09533772025354863,0.058536930957788606,1.6286764388501564
U56,N=5,0.995,0.5,-0.10508453548492973,0.05932691344241725,1.771279329859708
U56,N=5,0.999,0.5,-0.09747687508296021,0.060059781979582526,1.622997484674482
U56,N=5,1.0,0.5,-0.08994961179425837,0.06156874033993336,1.4609623535844412
U56,N=5,0.9,0.6,-0.05076960050651111,0.04409773211078483,1.1512973134075202
U56,N=5,0.95,0.6,-0.06826983389080901,0.052943694976658115,1.28947996396753
U56,N=5,0.975,0.6,-0.07351713136392259,0.05751036785525779,1.278328310278777
U56,N=5,0.99,0.6,-0.07439764263164009,0.059636605300111,1.2475163912708762
U56,N=5,0.995,0.6,-0.08211014559780308,0.060442813660017095,1.358476560334565
U56,N=5,0.999,0.6,-0.06909866206715032,0.06169252983005868,1.1200490927749753
U56,N=5,1.0,0.6,-0.05623234408579603,0.06381037246618296,0.8812414332105177
U56,N=5,0.9,0.75,-0.03376034863235812,0.0473371361102823,0.7131895041919296
U56,N=5,0.95,0.75,-0.045431859891590015,0.0561478077053032,0.8091475295000511
U56,N=5,0.975,0.75,-0.04691463662826317,0.06048218858766583,0.7756769013122402
U56,N=5,0.99,0.75,-0.04298752619877727,0.06245062666951826,0.6883441927054224
U56,N=5,0.995,0.75,-0.047648560767113074,0.0632249767666389,0.7536350854343876
U56,N=5,0.999,0.75,-0.02653134254343545,0.06524743667988155,0.406626587855154
U56,N=5,1.0,0.75,-0.0056564425231024895,0.06834852867179234,0.08275880451303587
U56,N=5,0.9,1.0,-0.005411595508769823,0.05514606204862798,0.09813203894772868
U56,N=5,0.95,1.0,-0.0073685698928916965,0.06418104162299766,0.11480913532340296
U56,N=5,0.975,1.0,-0.002577145402164166,0.0681419095925073,0.037820269751400425
U56,N=5,0.99,1.0,0.0093626678559941,0.069778321564559,0.13417731533326932
U56,N=5,0.995,1.0,0.009787413950703566,0.07038279102885041,0.1390597588932163
U56,N=5,0.999,1.0,0.04441418999608929,0.07360382895186297,0.6034222761038185
U56,N=5,1.0,1.0,0.07863672674805333,0.07839806233428141,1.0030442641905393
U56,N=10,0.9,0.5,-0.03772468899626063,0.02859127098654574,1.3194477787997891
U56,N=10,0.95,0.5,-0.04078629651968417,0.035482334118281424,1.1494817782765314
U56,N=10,0.975,0.5,-0.04375217166051863,0.03974416255867919,1.1008452271681892
U56,N=10,0.99,0.5,-0.04703916719383587,0.041931272884339205,1.121815865776028
U56,N=10,0.995,0.5,-0.04673039833984881,0.04244023071296855,1.1010872833348972
U56,N=10,0.999,0.5,-0.03708978179124167,0.043937555310262486,0.8441475983207154
U56,N=10,1.0,0.5,-0.03912421664959648,0.047667744331773544,0.8207692056348832
U56,N=10,0.9,0.6,-0.026385187746825314,0.031373826752501735,0.8409936076644323
U56,N=10,0.95,0.6,-0.02556098052020485,0.03794058750760524,0.6737107198216452
U56,N=10,0.975,0.6,-0.026017175170079024,0.04202000487083094,0.6191616409863718
U56,N=10,0.99,0.6,-0.02609908957192733,0.043814215661609444,0.5956762931350538
U56,N=10,0.995,0.6,-0.02375600845272216,0.04419831598134486,0.5374867328146405
U56,N=10,0.999,0.6,-0.008711568775431777,0.04604282869019652,0.18920576826520333
U56,N=10,1.0,0.6,-0.005406948941134138,0.0504151005847468,0.10724859969375966
U56,N=10,0.9,0.75,-0.009375935872672325,0.03725206844193138,0.2516890004990611
U56,N=10,0.95,0.75,-0.0027230065209858517,0.04362067192795385,0.06242468079087157
U56,N=10,0.975,0.75,0.0005853195655803889,0.0474869470748743,0.012325904309188278
U56,N=10,0.99,0.75,0.005311026860935486,0.04876405601081209,0.10891273809869122
U56,N=10,0.995,0.75,0.010705576377967846,0.04893620731892034,0.21876596010391514
U56,N=10,0.999,0.75,0.03385575074828309,0.051209717176896256,0.6611196588204832
U56,N=10,1.0,0.75,0.0451689526215594,0.05638746817514212,0.8010459430677489
U56,N=10,0.9,1.0,0.01897281725091597,0.04968255845314571,0.3818808419217929
U56,N=10,0.95,1.0,0.03534028347771247,0.056465199354289355,0.6258772461949673
U56,N=10,0.975,1.0,0.044922810791679396,0.06025867444095452,0.745499485483999
U56,N=10,0.99,1.0,0.05766122091570686,0.06097423755262111,0.9456653043991718
U56,N=10,0.995,1.0,0.06814155109578449,0.06080799836133257,1.1206017782541462
U56,N=10,0.999,1.0,0.10480128328780783,0.06357807664135534,1.6483871300321504
U56,N=10,1.0,1.0,0.12946212189271522,0.06975493315205056,1.855956504330898
U56,N=15,0.9,0.5,-0.02685608273611185,0.022056124389772672,1.2176247404809204
U56,N=15,0.95,0.5,-0.02475166013973154,0.027131849544377792,0.9122732344231406
