vint,char,BW,levelset,n_overlap,mean_gap,mean_abs_gap,mean_sd,gap_over_floor,mean_abs_resid,ratio_568,n_within_floor,mean_gap_IS,mean_gap_OOS,mean_abs_gap_IS,mean_abs_gap_OOS
LIVE,momac,0.5,Q5,4,0.05299466101585218,0.05299466101585218,0.07435581031893305,0.7127171473021828,0.0027111023034787074,0.27024304444595704,3,0.11959654995820435,0.016695099379220923,0.11959654995820435,0.034071840367805445
LIVE,momac,0.5,Q9,7,0.062428869980517596,0.06659558043934602,0.07718137578822146,0.8628452105087906,0.004022979801650244,0.3396001042291995,4,0.14194210981401637,0.019358251360272877,0.14194210981401637,0.05980137986317636
LIVE,momac,0.5,Q19,14,0.06583597428892388,0.07410336030653286,0.07818344271428465,0.9478139838039349,0.004952749842122096,0.37788557015060104,6,0.16506761025493974,0.015835017252340152,0.16506761025493974,0.058425866006639494
LIVE,momac,0.25,Q5,4,-0.010369980618363802,0.020669413764782353,0.06392856384279219,0.3233204771440018,0.012900378531461365,0.10540241593463719,4,0.07298452362202243,-0.052200771576704934,0.11657490885682305,0.08511271307501392
LIVE,momac,0.25,Q9,7,-0.008222989487390371,0.025455473554397583,0.06864549324413939,0.3708251241471099,0.011594898361538533,0.12980863617744814,6,0.11212923844171893,-0.06594778043260749,0.13703803000446216,0.0847546041459269
LIVE,momac,0.25,Q19,14,0.004290321129398441,0.03642539945897592,0.07642041542733438,0.4766448763107237,0.01137468429186044,0.18574910483924487,11,0.0805240971932448,-0.032812733502791805,0.10693428970484407,0.08241498620077858
LIVE,momac,0.125,Q5,4,0.021720302644858865,0.08909133368338926,0.07485317182490384,1.1902145428358235,0.014656652449280244,0.45431582704431034,2,0.1407493590933,-0.03655041362215006,0.1557131163208288,0.14166084201436474
LIVE,momac,0.125,Q9,7,0.027492902191063744,0.0659906342130811,0.0738964556984077,0.8930148758745278,0.014804283500704491,0.33651521781275423,5,0.14874584152297182,-0.03189992337885557,0.15729655993870256,0.10066639266471704
LIVE,momac,0.125,Q19,14,0.03191602908116453,0.05214520440468228,0.06783784131436865,0.7686742884850238,0.014009639395648905,0.26591129222173526,11,0.13265299323191418,-0.017672468607965425,0.1421021671111699,0.07458340891739203
LIVE,tpers,0.5,Q5,3,0.013312065948070032,0.06350440913143218,0.07114417986839801,0.8926156608861354,0.0010634578378864539,0.3238368645152075,1,0.0639655772291776,-0.017090121265416286,0.0639655772291776,0.07957125209619334
LIVE,tpers,0.5,Q9,6,0.009883753933340862,0.0546087786766768,0.07628251157423444,0.7158754680426875,0.001257046088221192,0.27847413909575114,3,0.06712833998507367,-0.01883904776207825,0.06712833998507367,0.07937184678536253
LIVE,tpers,0.25,Q5,3,0.019209683028825617,0.019209683028825617,0.07459551314904282,0.2575179420033537,0.0007916674498852361,0.09795860800013063,3,0.08068247345911768,-0.008416042375283478,0.08068247345911768,0.03830331634440949
LIVE,tpers,0.25,Q9,6,0.005942225979791868,0.040586153767793356,0.06751584081205324,0.6011352784715336,0.0005933559687145337,0.20696661788777845,4,0.05049703770977334,-0.016365727869128703,0.0669986325244582,0.05615675393688291
LIVE,tpers,0.125,Q5,3,0.09250381206985969,0.09250381206985969,0.0645690293126915,1.4326343922856126,0.00038419563339682955,0.47171755262549564,1,0.1263683734503133,0.07831860673527495,0.1263683734503133,0.07831860673527495
LIVE,tpers,0.125,Q9,6,0.04709839807745042,0.06592112978279131,0.07306250181544004,0.9022566726405259,0.00035866156849634345,0.33616078420597306,4,0.11573638881995073,0.015298357574071941,0.11573638881995073,0.08789658790316285
FROZEN,momac,0.5,Q5,4,0.033424283063029234,0.0569486073237566,0.07150557919057357,0.7964218732076785,0.013276875297812019,0.2904059526963621,3,0.14124144094424834,-0.02399472861388005,0.14124144094424834,0.08830632188211948
FROZEN,momac,0.25,Q5,4,0.013305172038427914,0.04086604796770847,0.08069149695468728,0.5064480088981,0.018392281308841657,0.20839392130396978,3,0.11906327026556893,-0.04176336613688014,0.11906327026556893,0.08654622255986653
FROZEN,momac,0.125,Q5,4,0.016997418252402325,0.03578077538494444,0.06455193507710305,0.5542943885757514,0.01903709544258786,0.18246188365601448,3,0.14120877778144048,-0.04788243825479579,0.17306574356402932,0.09537195394900955
