arm,CAGR,Sharpe,MaxDD,H1,H2,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,panel,book,cost,m,TO,gross,m_H1,m_H2,m_OOS,m_DD,m_CAGR,p4b
m0.10,0.006728551987671194,0.6628006843650102,-0.01420989819136087,0.6399512733375601,0.686105604614595,0.007983794943584366,0.7455009022946566,-0.014209898191360426,u56,V1,10.0,0.1,2.2464826286235704,0.07095628386949974,-0.3187430883213672,-0.14256651833769818,-0.13314526602721144,0.18809383701268195,-0.09958993839925107,False
m0.15,0.010069556661980172,0.662741532019831,-0.021283436530407096,0.6401464672996321,0.6858275075926119,0.011951763000133564,0.7452776390314589,-0.021283436530406874,u56,V1,10.0,0.15,3.368455402883213,0.10642951456092929,-0.3185478943592952,-0.1428446153596813,-0.1333685292904091,0.18102029867363573,-0.09624893372494209,False
m0.20,0.01339468609433081,0.6626794651153974,-0.02833594627852487,0.6403391535411389,0.6855461187163281,0.01590330162582232,0.7450510311330504,-0.02833594627852465,u56,V1,10.0,0.2,4.48962647882065,0.14189952548330773,-0.3183552081177884,-0.1431260042359651,-0.13359513718881766,0.17396778892551795,-0.09292380429259145,False
m0.25,0.01670366096038145,0.6626141888299595,-0.035367362108904676,0.6405288664018894,0.6852612838808555,0.019838047225270383,0.7448209326857597,-0.03536736210890434,u56,V1,10.0,0.25,5.610036029745867,0.1773663574115633,-0.31816549525703786,-0.1434108390714377,-0.13382523563610838,0.16693637309513815,-0.08961482942654081,False
m0.30,0.019996192861139184,0.6625453573017333,-0.042377619283340495,0.6407156502285266,0.6849723241985914,0.023755618667763434,0.7445868034830931,-0.04237761928333983,u56,V1,10.0,0.3,6.729731981497945,0.21283005110663938,-0.3179787114304007,-0.14369979875370176,-0.1340593648387749,0.15992611592070233,-0.08632229752578308,False
m0.35,0.02327197803919856,0.6624724270206921,-0.04936665365067039,0.64089975990491,0.6846780114343226,0.027655596147683426,0.7443474786209282,-0.04936665365067039,u56,V1,10.0,0.35,7.8487757115689245,0.248290647317134,-0.3177946017540173,-0.1439941115179706,-0.13429868970093983,0.15293708155337243,-0.0830465123477237,False
m0.40,0.026530696373950002,0.6623947234161494,-0.05633440164523684,0.6410793072184603,0.6843787009989257,0.031537591520477415,0.7441030704440044,-0.056334401645237175,u56,V1,10.0,0.4,8.967242696425762,0.28374818678093733,-0.317615054440467,-0.14429342195336747,-0.13454309787786367,0.14596933355880598,-0.07978779401297226,False
m0.45,0.02977211021317272,0.662313696932652,-0.06328080028533778,0.64125645606491,0.6840752455554246,0.03540126023928014,0.7438545986812966,-0.063280800285338,u56,V1,10.0,0.45,10.085131861885397,0.31920271022686836,-0.3174379055940173,-0.14459687739686855,-0.13479156964057148,0.13902293491870504,-0.07654638017374954,False
m0.50,0.032995922214380746,0.6622290450178205,-0.07020586580595845,0.641430837689649,0.6837673990695319,0.03924621227493552,0.7436018173905405,-0.07020586580595878,u56,V1,10.0,0.5,11.202496571395997,0.3546542583763105,-0.31726352396927826,-0.14490472388276132,-0.1350443509313275,0.13209786939808438,-0.07332256817254151,False
m0.55,0.03620183272738964,0.6621404973789435,-0.07710979072908142,0.6416023165958306,0.6834547753848708,0.043072035866529745,0.7433441877946723,-0.07710979072908186,u56,V1,10.0,0.55,12.319391323168514,0.39010287194484716,-0.31709204506309674,-0.14521734756742244,-0.13530198052719578,0.1251939444749614,-0.07011665765953262,False
