L,S,family,pair,disjoint,rho,partialR2_window,partialR2_panel
2,6,QUANTILE,B136~SMALL439,True,-0.06458675424192666,0.08939918561334788,0.06617388608496613
2,6,QUANTILE,B136~U56,False,0.8199233716475095,0.3197032526953434,6.221545104279582e-05
2,6,QUANTILE,SMALL439~U56,True,0.1291735084838533,0.12579151385581835,0.06244430714268779
2,6,MA-THRESH,B136~SMALL439,True,0.3869731800766283,0.32534456056069705,0.002071493047637931
2,6,MA-THRESH,B136~U56,False,0.8390804597701149,0.3643864060732877,0.004437442128260912
2,6,MA-THRESH,SMALL439~U56,True,0.2961138478379858,0.321813396884917,6.0757791040857595e-05
2,12,QUANTILE,B136~SMALL439,True,-0.12967032967032968,0.07927748709419714,0.06818176942183654
2,12,QUANTILE,B136~U56,False,0.898901098901099,0.3360234263651509,5.639578002838253e-06
2,12,QUANTILE,SMALL439~U56,True,-0.024175824175824177,0.10626767168744444,0.06434063285990198
2,12,MA-THRESH,B136~SMALL439,True,0.34065934065934067,0.20818914354301232,0.008111380669078792
2,12,MA-THRESH,B136~U56,False,0.7274725274725274,0.36966168778070413,0.0031021587427410378
2,12,MA-THRESH,SMALL439~U56,True,0.31868131868131866,0.22967694539810565,0.0021177502636355724
3,6,QUANTILE,B136~SMALL439,True,-0.39350427350427336,0.0671066696394281,0.10521451873175719
3,6,QUANTILE,B136~U56,False,0.8953846153846152,0.20280724659567823,0.00024662750332088185
3,6,QUANTILE,SMALL439~U56,True,-0.22940170940170937,0.11784609351433964,0.10231008691834063
3,6,MA-THRESH,B136~SMALL439,True,0.1829059829059829,0.2563526865867725,0.0217716342163482
3,6,MA-THRESH,B136~U56,False,0.9329914529914529,0.2913688803879758,0.010994994523757615
3,6,MA-THRESH,SMALL439~U56,True,0.09606837606837607,0.25730119333741236,0.004542600918529213
3,12,QUANTILE,B136~SMALL439,True,-0.4340659340659341,0.06864337028730513,0.10901335108019805
3,12,QUANTILE,B136~U56,False,0.8571428571428572,0.23647200422973452,0.00011803666731528579
3,12,QUANTILE,SMALL439~U56,True,-0.30219780219780223,0.1114371184063621,0.10564410526878656
3,12,MA-THRESH,B136~SMALL439,True,-0.04945054945054945,0.17604852038820432,0.03479135399887288
3,12,MA-THRESH,B136~U56,False,0.8901098901098901,0.30384970663464983,0.009313937188702284
3,12,MA-THRESH,SMALL439~U56,True,-0.07692307692307693,0.17119817143625998,0.012793614083326684
4,6,QUANTILE,B136~SMALL439,True,-0.5730434782608694,0.06772035540605191,0.15499032420712858
4,6,QUANTILE,B136~U56,False,0.8295652173913043,0.12938564706731676,0.0007333549035365201
4,6,QUANTILE,SMALL439~U56,True,-0.30347826086956514,0.11734565512343159,0.14819304263905386
4,6,MA-THRESH,B136~SMALL439,True,0.1782608695652174,0.20142665171633886,0.04543006599843692
4,6,MA-THRESH,B136~U56,False,0.9226086956521738,0.23746638983761448,0.018455765249640366
4,6,MA-THRESH,SMALL439~U56,True,0.043478260869565216,0.18860785834998695,0.012216331572153712
4,12,QUANTILE,B136~SMALL439,True,-0.7202797202797204,0.05479376301484615,0.15775446435765517
4,12,QUANTILE,B136~U56,False,0.8741258741258743,0.13679371399070764,0.0005810485940532796
4,12,QUANTILE,SMALL439~U56,True,-0.5874125874125875,0.09668166214461683,0.1494624976148006
4,12,MA-THRESH,B136~SMALL439,True,0.006993006993006993,0.12404911878516921,0.06208855272369327
4,12,MA-THRESH,B136~U56,False,0.9510489510489513,0.25486426282374924,0.01781882969188351
4,12,MA-THRESH,SMALL439~U56,True,-0.14685314685314688,0.096994279452136,0.0224811840487014
5,6,QUANTILE,B136~SMALL439,True,-0.7120271033314514,0.05852332383888593,0.22254207665402745
5,6,QUANTILE,B136~U56,False,0.6013551665725579,0.0789032645175458,0.0013941317866467547
5,6,QUANTILE,SMALL439~U56,True,-0.09542631281761718,0.11184477232476712,0.2087333420996637
5,6,MA-THRESH,B136~SMALL439,True,0.24788255223037833,0.13302905443430543,0.08402924991737906
5,6,MA-THRESH,B136~U56,False,0.897233201581028,0.18590416031585616,0.02117609428577694
5,6,MA-THRESH,SMALL439~U56,True,0.0694522868435912,0.11062753125999163,0.03210211759015958
5,12,QUANTILE,B136~SMALL439,True,-0.7363636363636363,0.05432360198079371,0.2303709957015735
5,12,QUANTILE,B136~U56,False,0.718181818181818,0.08620531718279015,0.0011433426107520686
5,12,QUANTILE,SMALL439~U56,True,-0.35454545454545455,0.10189108050302471,0.215023522711207
5,12,MA-THRESH,B136~SMALL439,True,0.2272727272727273,0.1040906401143329,0.10532685241995114
5,12,MA-THRESH,B136~U56,False,0.9090909090909092,0.19440409981887882,0.018481034754325817
5,12,MA-THRESH,SMALL439~U56,True,0.06363636363636363,0.07125855692092678,0.05101226447613971
