q,draw,arm,d_Sharpe_IS,d_CAGR_IS,d_MaxDD_IS,d_breadth_IS,d_disp_IS,d_corr_IS,d_evol_IS
0.0,0,EWall,2.220446049250313e-16,0.0,4.163336342344337e-17,0.0,1.3877787807814457e-17,0.0,2.7755575615628914e-17
0.0,0,top10,2.220446049250313e-16,2.7755575615628914e-17,0.0,0.0,1.3877787807814457e-17,0.0,2.7755575615628914e-17
0.0,0,top20,0.0,4.163336342344337e-17,4.163336342344337e-17,0.0,1.3877787807814457e-17,0.0,2.7755575615628914e-17
0.15,4,EWall,0.0,0.0,2.7755575615628914e-17,0.0,8.326672684688674e-17,0.0,2.7755575615628914e-17
0.15,4,top10,0.0,4.163336342344337e-17,2.7755575615628914e-17,0.0,8.326672684688674e-17,0.0,2.7755575615628914e-17
0.15,4,top20,1.1102230246251565e-16,8.326672684688674e-17,8.326672684688674e-17,0.0,8.326672684688674e-17,0.0,2.7755575615628914e-17
0.35,0,EWall,0.0,1.3877787807814457e-17,8.326672684688674e-17,0.0,1.3877787807814457e-17,0.0,5.551115123125783e-17
0.35,0,top10,0.0,5.551115123125783e-17,5.551115123125783e-17,0.0,1.3877787807814457e-17,0.0,5.551115123125783e-17
0.35,0,top20,0.0,4.163336342344337e-17,2.7755575615628914e-17,0.0,1.3877787807814457e-17,0.0,5.551115123125783e-17
0.5,4,EWall,0.0,1.3877787807814457e-17,5.551115123125783e-17,5.551115123125783e-17,4.163336342344337e-17,5.551115123125783e-17,5.551115123125783e-17
0.5,4,top10,0.0,6.938893903907228e-17,8.326672684688674e-17,5.551115123125783e-17,4.163336342344337e-17,5.551115123125783e-17,5.551115123125783e-17
0.5,4,top20,0.0,2.7755575615628914e-17,8.326672684688674e-17,5.551115123125783e-17,4.163336342344337e-17,5.551115123125783e-17,5.551115123125783e-17
0.7,0,EWall,0.0,8.326672684688674e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,2.7755575615628914e-17,5.551115123125783e-17
0.7,0,top10,0.0,1.3877787807814457e-17,0.0,5.551115123125783e-17,5.551115123125783e-17,2.7755575615628914e-17,5.551115123125783e-17
0.7,0,top20,0.0,1.3877787807814457e-17,0.0,5.551115123125783e-17,5.551115123125783e-17,2.7755575615628914e-17,5.551115123125783e-17
0.85,4,EWall,0.0,7.632783294297951e-17,0.0,0.0,9.71445146547012e-17,2.7755575615628914e-17,0.0
0.85,4,top10,0.0,8.326672684688674e-17,0.0,0.0,9.71445146547012e-17,2.7755575615628914e-17,0.0
0.85,4,top20,0.0,7.632783294297951e-17,2.7755575615628914e-17,0.0,9.71445146547012e-17,2.7755575615628914e-17,0.0
