control,corpus,CAGR,Sharpe,MaxDD,twin_Sharpe,twin_MaxDD,works,draw,d_Sharpe
placebo252,FULL,0.1250491648746297,0.951943542514601,-0.23092049750109678,1.0211494947654012,-0.21342737461631411,False,,
placebo252,ONLY2020T,-0.5100844817259587,-1.8563743348152624,-0.230920497501097,-1.8563743348152624,-0.230920497501097,False,,
placebo252,ONLY2022,-0.13608517805752174,-0.8509327034895197,-0.2099631313807645,-0.6344020831891373,-0.20220020743480893,False,,
placebo252,NOCRASH,0.147126258303645,1.1695394991297157,-0.1665894140231251,1.2280972013043365,-0.15329690108217187,False,,
shuffle,NOCRASH,0.14235505493899958,1.1537467231719718,-0.16385861189920436,1.2281149145926642,-0.15420298608683614,False,0.0,-0.0743681914206924
shuffle,NOCRASH,0.1486351052167867,1.2079997611673183,-0.14898982572504071,1.2280920793579875,-0.15303495801090838,False,1.0,-0.020092318190669145
shuffle,NOCRASH,0.14380000576042318,1.1681499306354273,-0.15028401952725345,1.2281212048773171,-0.15452496604051236,False,2.0,-0.05997127424188986
shuffle,NOCRASH,0.13758930130712255,1.1069639782677827,-0.1475885905211618,1.228127522548587,-0.15484845371630995,False,3.0,-0.12116354428080434
shuffle,NOCRASH,0.14966108196078065,1.1810329320593067,-0.1510252168901811,1.2281259433683502,-0.15476758916405187,False,4.0,-0.04709301130904353
shuffle,NOCRASH,0.1550353931513775,1.2454866140766225,-0.1665341166346096,1.228087763711167,-0.15281425092180057,False,5.0,0.01739885036545563
shuffle,NOCRASH,0.13687730077323357,1.108123734488629,-0.16658941402312522,1.2281125583023078,-0.15408242184901566,False,6.0,-0.11998882381367881
shuffle,NOCRASH,0.1473932113306624,1.1764347688928158,-0.1619973660602495,1.2281290705133168,-0.15492772792150733,False,7.0,-0.051694301620500926
shuffle,NOCRASH,0.147900636194769,1.18608716331731,-0.14302402416449234,1.2281357543398166,-0.15527013824527136,False,8.0,-0.042048591022506576
shuffle,NOCRASH,0.13138288073592364,1.0754074717661006,-0.16100323431915253,1.2281137364855612,-0.15414270533121377,False,9.0,-0.15270626471946058
shuffle,NOCRASH,0.16593312959350204,1.361311732390777,-0.1571381541407323,1.2280944386810833,-0.15315561696322866,False,10.0,0.13321729370969382
shuffle,NOCRASH,0.15412788811213263,1.249945169584991,-0.13899379787494204,1.2281235897336125,-0.15464707601310435,True,11.0,0.02182157985137856
shuffle,NOCRASH,0.15170189281559598,1.220853794615525,-0.16981084234147137,1.2281094262513976,-0.15392218144462189,False,12.0,-0.007255631635872728
shuffle,NOCRASH,0.1543966071095484,1.2420363736906324,-0.13859463148509843,1.2281046800791924,-0.1536794043398838,True,13.0,0.013931693611439977
shuffle,NOCRASH,0.15322581686610026,1.2244040257279567,-0.16799350719192763,1.228120027736784,-0.1544646998504392,False,14.0,-0.0037160020088273793
shuffle,NOCRASH,0.14377677144027778,1.1444165793610483,-0.15508025198827646,1.2281385068263795,-0.15541119835383477,False,15.0,-0.08372192746533114
shuffle,NOCRASH,0.14574482443916614,1.1742419691169732,-0.1437245279894125,1.2281267175253856,-0.15480722926410562,False,16.0,-0.0538847484084124
shuffle,NOCRASH,0.14498917767615582,1.1623085393861299,-0.17481227870572724,1.2281160925256585,-0.15426326411588898,False,17.0,-0.06580755313952857
shuffle,NOCRASH,0.13569152979275212,1.0916821062897466,-0.1633132247312572,1.228109023020694,-0.15390155504290282,False,18.0,-0.1364269167309473
shuffle,NOCRASH,0.14386968008220036,1.1594971287769655,-0.16732000174989425,1.2281294729330332,-0.15494833844165945,False,19.0,-0.06863234415606767
