const,value,decimals,quantization,cells_in_rounding_cell,distinct_scripts
0.95,0.95,2,0.005,195123,659
1.036,1.036,3,0.0005,19789,534
1.133,1.133,3,0.0005,17245,537
0.1652,0.1652,4,5e-05,2400,334
0.2185,0.2185,4,5e-05,1855,248
0.2581,0.2581,4,5e-05,1456,218
