universe,sleeve,cost_bps,f,CAGR,Sharpe,MaxDD,H1,H2,OOS_Sharpe,4b
u56,S9,5,0.0,0.13203177389434506,1.1338223083204293,-0.18264199464160413,1.133091465836341,1.1407964019451136,1.2073898010004953,True
u56,S9,5,0.25,0.11224848099347251,1.1265221494236806,-0.1595382727173058,1.1053827916180567,1.1495537067106898,1.22346827916845,True
u56,S9,5,0.5,0.09243787533223924,1.1030781201230713,-0.13609568512205927,1.054576335097029,1.149375421751566,1.2327604766894744,False
u56,S9,10,0.0,0.1265973583235207,1.092135905431323,-0.1830834869787813,1.0882791557222313,1.1015451872229007,1.167991233806965,True
u56,S9,10,0.25,0.1076354461888771,1.0845122321300773,-0.15993950448552097,1.060545210110957,1.109846954841518,1.1836131431692762,True
u56,S9,10,0.5,0.08860386786615959,1.0609341042774836,-0.13645515892425908,1.0100368865005063,1.1093034671732787,1.1925529224553246,False
u56,S9,15,0.0,0.12118839450014418,1.0504053546526724,-0.18352483897250882,1.0434143729678866,1.0622556357917008,1.1285509365590851,True
u56,S9,15,0.25,0.10304109327433819,1.0424597036335386,-0.16034062084847422,1.015656509462625,1.0701037893634753,1.143717894056015,False
u56,S9,15,0.5,0.08478300631388236,1.0187495371814885,-0.13681454091309353,0.9654487170944973,1.0691973535746921,1.1523071789992791,False
u56,S9,20,0.0,0.11580476617401714,1.008635134542075,-0.1839660506422257,0.9985027659527218,1.022931432575491,1.0890726484428221,True
u56,S9,20,0.25,0.09846534839993937,1.0003689523533579,-0.16074162182053675,0.9707220938237536,1.0303278703407335,1.1037862443185604,False
u56,S9,20,0.5,0.08097524665455302,0.9765287268867073,-0.13717383109866288,0.9208169646725722,1.0290607455966878,1.112026958791143,False
u56,S9,25,0.0,0.11044635761256427,0.9668297371038527,-0.1844071220073723,0.9535500018905777,0.9835762726543062,1.0495601201126592,False
u56,S9,25,0.25,0.09390813800061037,0.9582443792896799,-0.16114250741608083,0.9257473856531842,0.9905228668592299,1.063821916866444,False
u56,S9,25,0.5,0.07718054501122729,0.9342759930279719,-0.13753302949106794,0.8761467843528937,0.9888973156708584,1.071715983576388,False
u56,S4,5,0.0,0.13203177389434506,1.1338223083204293,-0.18264199464160413,1.133091465836341,1.1407964019451136,1.2073898010004953,True
u56,S4,5,0.25,0.10664305894376636,1.1908651737535856,-0.14158911563726595,1.1657875919974763,1.219196726546151,1.274952788416763,True
u56,S4,5,0.5,0.08092925653242422,1.2481927636516927,-0.09933992286577786,1.1654946358638725,1.325682447584704,1.3604187384984043,False
u56,S4,10,0.0,0.1265973583235207,1.092135905431323,-0.1830834869787813,1.0882791557222313,1.1015451872229007,1.167991233806965,True
