corpus,stratum,level,norm,scope,n,narrow,mid,wide,t_narrow,t_mid,t_wide,n_narrow,n_mid,n_wide,spearman,shape
FROZEN(parent),POOLED,ALL,raw,FROZEN(parent)/pooled/raw,1203,0.009349893113615877,0.024188902768084657,-0.007202958258899552,2.0428919300922432,6.164278055556927,-1.3065293724551303,402,400,401,-0.023577321888019385,MID-PEAK
FROZEN(parent),POOLED,ALL,z,FROZEN(parent)/pooled/z,1203,0.014510003726022347,0.018924562219524203,-0.007135733334352726,3.0182407718916515,4.815598204028618,-1.337336330081261,401,401,401,-0.03699949867584882,MID-PEAK
FROZEN(parent),POOLED,ALL,rng,FROZEN(parent)/pooled/rng,1203,0.013819433112379816,0.02919962032548002,-0.0166435116635084,2.9364845379273725,7.301727699858525,-3.1983408062515672,403,399,401,-0.10951537439649597,MID-PEAK
FRESH(today),POOLED,ALL,raw,FRESH(today)/pooled/raw,1207,0.009443542766437173,0.024269547894594824,-0.007204912349572611,2.083784829184818,6.170651408995452,-1.3101468738392323,406,399,402,-0.025007350074331483,MID-PEAK
FRESH(today),POOLED,ALL,z,FRESH(today)/pooled/z,1207,0.01482217161460761,0.018658496822810455,-0.00709651162902496,3.1032446768665998,4.748164492907583,-1.3332702518862933,403,402,402,-0.038986739458504296,MID-PEAK
FRESH(today),POOLED,ALL,rng,FRESH(today)/pooled/rng,1207,0.013885529126942221,0.02910306753108903,-0.01660210989320117,2.9506480410089964,7.33132183579035,-3.198249023723639,403,402,402,-0.11086154468910356,MID-PEAK
FROZEN(parent),MENU_SIZE,A:3-4,raw,FROZEN(parent)/|A|=A:3-4,323,-0.017820180743492307,-0.04010000200183293,-0.11723796477960129,-4.020197010098502,-7.607910128262566,-14.755018413130877,111,104,108,-0.6439753307134876,monotone-down
FROZEN(parent),MENU_SIZE,B:5-6,raw,FROZEN(parent)/|A|=B:5-6,96,0.013968254842811615,0.0082624572867892,0.029097710325798005,1.8212302938515346,0.9264826124643609,1.1837333485854071,32,33,31,0.06627386943075457,MID-TROUGH
FROZEN(parent),MENU_SIZE,C:7-10,raw,FROZEN(parent)/|A|=C:7-10,164,0.020954930085951,0.03288053513965699,0.03779153755408576,3.330174325211905,3.8863652152079293,3.6072681136624887,57,53,54,0.1669265751778792,monotone-up
FROZEN(parent),MENU_SIZE,D:11-16,raw,FROZEN(parent)/|A|=D:11-16,168,0.07147949521098484,0.029241472305739553,0.09823246233593767,4.213869728509411,3.9367221322701753,7.832234233678838,56,56,56,0.36872660219819225,MID-TROUGH
FROZEN(parent),MENU_SIZE,E:17+,raw,FROZEN(parent)/|A|=E:17+,452,-0.0210273251732699,0.06239809566559446,0.03651589916333043,-3.018437115108701,7.134755929701289,8.239472136911731,152,149,151,0.37017741357299183,MID-PEAK
FRESH(today),MENU_SIZE,A:3-4,raw,FRESH(today)/|A|=A:3-4,327,-0.015827570109071747,-0.03900659221049103,-0.11704399488608215,-3.4759741321629587,-7.792101023317897,-14.863127165164906,109,109,109,-0.6528969104155868,monotone-down
FRESH(today),MENU_SIZE,B:5-6,raw,FRESH(today)/|A|=B:5-6,96,0.013968254842811615,0.0082624572867892,0.029097710325798005,1.8212302938515346,0.9264826124643609,1.1837333485854071,32,33,31,0.06627386943075457,MID-TROUGH
FRESH(today),MENU_SIZE,C:7-10,raw,FRESH(today)/|A|=C:7-10,164,0.020954930085951,0.03288053513965699,0.03779153755408576,3.330174325211905,3.8863652152079293,3.6072681136624887,57,53,54,0.1669265751778792,monotone-up
FRESH(today),MENU_SIZE,D:11-16,raw,FRESH(today)/|A|=D:11-16,168,0.07147949521098484,0.029241472305739553,0.09823246233593767,4.213869728509411,3.9367221322701753,7.832234233678838,56,56,56,0.36872660219819225,MID-TROUGH
FRESH(today),MENU_SIZE,E:17+,raw,FRESH(today)/|A|=E:17+,452,-0.0210273251732699,0.06239809566559446,0.03651589916333043,-3.018437115108701,7.134755929701289,8.239472136911731,152,149,151,0.37017741357299183,MID-PEAK
FROZEN(parent),IS_SPREAD,sd:low,raw,FROZEN(parent)/sd:low,395,0.022702551597221943,0.016126817079966865,0.028832935077450873,1.9265287966593212,3.714849450957609,3.6980533935157403,133,130,132,0.06616356469197256,MID-TROUGH
