book,panel,cost,var_tail,var_head,ratio,n_tail,n_head
U56-band0.03-g0.50,U56,0.0,9.951442203149838e-06,6.593535018195764e-06,1.509272670227347,1936,945
U56-band0.03-g0.50,U56,10.0,9.948418999342618e-06,6.5950914892693435e-06,1.5084580730273967,1936,945
U56-band0.03-g0.50,U56,25.0,9.944634583247596e-06,6.598042515680343e-06,1.5072098367984186,1936,945
U56-band0.03-g0.75,U56,0.0,2.242183487136624e-05,1.4849211038261923e-05,1.5099680928227066,1936,945
U56-band0.03-g0.75,U56,10.0,2.2415304891659772e-05,1.4852700434721492e-05,1.5091737014542492,1936,945
U56-band0.03-g0.75,U56,25.0,2.240718305466608e-05,1.4859304254323551e-05,1.5079564070536045,1936,945
U56-band0.03-g1.00,U56,0.0,3.99205648960802e-05,2.64240916894557e-05,1.5107639409232805,1936,945
U56-band0.03-g1.00,U56,10.0,3.990928754934479e-05,2.6430289732481272e-05,1.5099829760964982,1936,945
U56-band0.03-g1.00,U56,25.0,3.98953383915641e-05,2.6442006384339287e-05,1.5087863534891501,1936,945
U56-band0.08-g0.50,U56,0.0,1.082978193280962e-05,7.044726990192476e-06,1.5372890884042234,1936,945
U56-band0.08-g0.50,U56,10.0,1.0829842847939814e-05,7.045091961402477e-06,1.5372180955582446,1936,945
U56-band0.08-g0.50,U56,25.0,1.0830366868678562e-05,7.045931597215018e-06,1.537109283456482,1936,945
U56-band0.08-g0.75,U56,0.0,2.444612723392628e-05,1.5873028466926233e-05,1.5401047937930272,1936,945
U56-band0.08-g0.75,U56,10.0,2.4446816236388578e-05,1.5873800879879737e-05,1.540073257903547,1936,945
U56-band0.08-g0.75,U56,25.0,2.4448816356334553e-05,1.5875602790341977e-05,1.5400244437463593,1936,945
U56-band0.08-g1.00,U56,0.0,4.3612185397145846e-05,2.8259910118700867e-05,1.5432527992467209,1936,945
U56-band0.08-g1.00,U56,10.0,4.361426741111106e-05,2.8261155201293873e-05,1.543258479721108,1936,945
U56-band0.08-g1.00,U56,25.0,4.361910990728493e-05,2.8264150259718858e-05,1.5432662757050744,1936,945
U56-qroll-q0.12-w252-d0.50,U56,0.0,5.6411016586523014e-05,3.942265624859937e-05,1.4309288605718244,1936,945
U56-qroll-q0.12-w252-d0.50,U56,10.0,5.634876523131441e-05,3.94421602865557e-05,1.4286429754843197,1936,945
U56-qroll-q0.12-w252-d0.50,U56,25.0,5.630786568416033e-05,3.951975219295106e-05,1.4248031062857647,1936,945
U56-qroll-q0.12-w252-d1.00,U56,0.0,5.006095358662062e-05,3.094322323104717e-05,1.6178325448782434,1936,945
U56-qroll-q0.12-w252-d1.00,U56,10.0,5.000337583232183e-05,3.090006950997582e-05,1.6182285873557234,1936,945
U56-qroll-q0.12-w252-d1.00,U56,25.0,4.9999313070572884e-05,3.091819119083501e-05,1.6171487122892891,1936,945
U56-qroll-q0.12-w504-d0.50,U56,0.0,6.290663005563651e-05,3.902255907697032e-05,1.612058038827128,1936,945
U56-qroll-q0.12-w504-d0.50,U56,10.0,6.283283607628542e-05,3.9057776136325824e-05,1.6087151469396517,1936,945
U56-qroll-q0.12-w504-d0.50,U56,25.0,6.277477760411018e-05,3.915456722386893e-05,1.6032555600778595,1936,945
U56-qroll-q0.12-w504-d1.00,U56,0.0,5.860368002272847e-05,3.0396113516404987e-05,1.9279991170943505,1936,945
U56-qroll-q0.12-w504-d1.00,U56,10.0,5.8519962905380695e-05,3.042936365419678e-05,1.9231411990868135,1936,945
U56-qroll-q0.12-w504-d1.00,U56,25.0,5.846231058148158e-05,3.0562409871656915e-05,1.9128828789021175,1936,945
U56-qroll-q0.12-w1008-d0.50,U56,0.0,5.8697684615345e-05,4.573509815364753e-05,1.2834275421941705,1936,945
U56-qroll-q0.12-w1008-d0.50,U56,10.0,5.8626071455156134e-05,4.57628458582876e-05,1.2810844770603143,1936,945
U56-qroll-q0.12-w1008-d0.50,U56,25.0,5.856742543303346e-05,4.5838997101989114e-05,1.2776768501877196,1936,945
U56-qroll-q0.12-w1008-d1.00,U56,0.0,5.3107723548949296e-05,3.9358930320534346e-05,1.3493182644052175,1936,945
U56-qroll-q0.12-w1008-d1.00,U56,10.0,5.303388624505135e-05,3.938085876556762e-05,1.3466919693336183,1936,945
U56-qroll-q0.12-w1008-d1.00,U56,25.0,5.298492103811295e-05,3.945287388574858e-05,1.3429926851856666,1936,945
U56-qroll-q0.17-w252-d0.50,U56,0.0,5.3651689457372174e-05,3.723475358599663e-05,1.4409035723429544,1936,945
U56-qroll-q0.17-w252-d0.50,U56,10.0,5.3595614862041453e-05,3.7276434713351735e-05,1.4377881166528108,1936,945
U56-qroll-q0.17-w252-d0.50,U56,25.0,5.356411164900303e-05,3.7378133956373046e-05,1.4330333266909983,1936,945
