panel,v,dSharpe,se_dSharpe,dCAGR,se_dCAGR,dMaxDD,se_dMaxDD,t_dMaxDD,lo_dMaxDD,hi_dMaxDD,lo_dSharpe,hi_dSharpe
B136,0.06,-0.034304421252396855,0.0760483082294593,-0.008033212374283005,0.005216834352217206,0.022068590798721255,0.01868210357571925,1.1812690529884096,-0.024372336420040393,0.04743632332488644,-0.17732176468031122,0.11132913158349367
B136,0.08,-0.029649658316806216,0.0728028473714282,-0.009762234625543487,0.006392195591447805,0.031061459439064687,0.023452950342204876,1.3244158617932125,-0.030075428252844878,0.057751227118206155,-0.17130261864706384,0.10481445416325795
B136,0.1,-0.039083673830540455,0.06499296798792138,-0.011493463726834685,0.006523419743610267,0.036026131311612475,0.026413407788723496,1.3639334840767072,-0.034368059073777525,0.06131618811979136,-0.17282013424673395,0.08510721321701918
B136,0.12,-0.029409402269262586,0.055758345246791255,-0.010367744838444048,0.006098885748145552,0.039256560989585965,0.026596403683648285,1.4760101198840376,-0.031634605494879224,0.05966432089812176,-0.1317740476463004,0.08098119552539537
B136,0.14,-0.025810524943530533,0.04589598018222142,-0.009217083760906464,0.0051229361598539875,0.03208409039346671,0.025261018798211042,1.2701027876096143,-0.02761910293664187,0.05916061361481651,-0.1070381071136728,0.07091156409011021
B136,0.15,-0.021838964591581522,0.041342213558227855,-0.008125990746936651,0.0045086061474987876,0.03208327149793211,0.023844424359730377,1.3455251011266138,-0.026550714155438308,0.05608068150112794,-0.09028994130930354,0.06609933145576731
B136,0.16,-0.013595402288048897,0.037331458107927214,-0.006334144418695953,0.0039614309327117205,0.031047433941607583,0.02216080189970923,1.4010067903731838,-0.02350629654770493,0.050256623488039665,-0.07244999896781776,0.06526048401626822
B136,0.18,0.0026646359496438343,0.028739033491253795,-0.0027498219477657404,0.002806565662071821,0.03275128471896327,0.017565815652058957,1.864489834556835,-0.016076943205185035,0.03926633229439175,-0.0365034805877957,0.06788828568181138
B136,0.2,0.015776531603025168,0.023977767190091547,6.227360999999654e-05,0.00222861595075438,0.03431339301868441,0.015116334588662413,2.2699545857115533,-0.009751605314527923,0.035116590094460214,-0.016572187257285258,0.07123212731684081
B136,0.22,0.019865015750429205,0.019696701608340333,0.0013035231553555349,0.0017738976829248113,0.029149091988663445,0.01298042994286782,2.2456183745038123,-0.005245314754344512,0.03222883644133917,-0.00921817326002434,0.06159223953144965
