basis,legal,floor,cells_kept,n_picks,scr_4b,ctl_4b,scr_4a,ctl_4a,scr_medS,ctl_medS,scr_medDD,ctl_medDD,dropped_panels,d_medS,d_medDD
S_IS4B,True,0.1,4,12,0,0,0,0,1.0166,0.9111,-0.2383,-0.3461,SMALL,0.1055,0.1078
S_IS4B,True,0.25,4,12,0,0,0,0,1.0166,0.9111,-0.2383,-0.3461,SMALL,0.1055,0.1078
S_IS4B,True,0.4,4,12,3,0,0,0,1.059,0.9111,-0.2135,-0.3461,SMALL,0.1479,0.1326
S_IS4B,True,0.5,4,12,3,0,0,0,1.059,0.9111,-0.2135,-0.3461,SMALL,0.1479,0.1326
S_IS4B,True,0.75,2,6,0,0,0,0,1.0274,0.9849,-0.2247,-0.3514,"SMALL,U56",0.0425,0.1267
S_IS4B,True,0.9,0,0,0,0,0,0,,,,,"B136,SMALL,U56",,
S_ISLEG4,True,0.1,6,18,0,0,0,0,0.8312,0.8312,-0.3414,-0.3414,-,0.0,0.0
S_ISLEG4,True,0.25,6,18,0,0,0,0,0.8312,0.8312,-0.3414,-0.3414,-,0.0,0.0
S_ISLEG4,True,0.4,6,18,0,0,0,0,0.8312,0.8312,-0.3414,-0.3414,-,0.0,0.0
S_ISLEG4,True,0.5,6,18,0,0,0,0,0.8312,0.8312,-0.3414,-0.3414,-,0.0,0.0
S_ISLEG4,True,0.75,6,18,1,0,0,0,0.7123,0.8312,-0.2989,-0.3414,-,-0.1189,0.0425
S_ISLEG4,True,0.9,3,9,1,0,0,0,0.9695,0.9695,-0.3461,-0.3461,SMALL,0.0,0.0
S_FULL4B,False,0.1,4,12,0,0,0,0,1.0328,0.9111,-0.2271,-0.3461,SMALL,0.1217,0.119
S_FULL4B,False,0.25,3,9,3,0,0,0,1.0852,1.0004,-0.205,-0.3461,SMALL,0.0848,0.1411
S_FULL4B,False,0.4,2,6,3,0,0,0,1.1287,0.8312,-0.2051,-0.3461,"B136,SMALL",0.2975,0.141
S_FULL4B,False,0.5,1,3,3,0,0,0,1.2152,0.8312,-0.1701,-0.3461,"B136,SMALL",0.384,0.176
S_FULL4B,False,0.75,1,3,3,0,0,0,1.2152,0.8312,-0.1701,-0.3461,"B136,SMALL",0.384,0.176
S_FULL4B,False,0.9,0,0,0,0,0,0,,,,,"B136,SMALL,U56",,
