property,thr,side,IS_acc,OOS_acc,OOS_auc
negdrift,0.03571428571428571,low,0.855072463768116,0.42028985507246375,0.6449843260188087
rho,0.3273289506406744,high,0.855072463768116,0.391304347826087,0.28683385579937304
r_out,0.056339188732358686,high,0.8695652173913043,0.34782608695652173,0.3432601880877743
disp,0.22203448591216113,low,0.6956521739130435,0.34782608695652173,0.5266457680250783
inband,0.7111845708849447,high,0.855072463768116,0.3333333333333333,0.2601880877742947
ewvol,0.1623441702228841,high,0.7681159420289855,0.3333333333333333,0.5235109717868338
avoided,0.17038675964808223,low,0.7681159420289855,0.30434782608695654,0.6332288401253918
phi,0.16666666666666666,low,0.7391304347826086,0.30434782608695654,0.5195924764890282
N,56.0,high,0.7536231884057971,0.2608695652173913,0.27037617554858934
