panel,window,cost,n_pass,B1_DD,B2_all,B3_5of5
U56,FULL,0,5,4,3,4
U56,FULL,10,5,4,2,3
U56,FULL,25,4,3,1,1
U56,FULL,50,1,0,0,0
U56,OOS,0,7,6,4,5
U56,OOS,10,6,5,4,4
U56,OOS,25,5,4,4,4
U56,OOS,50,4,3,2,3
B136,FULL,0,5,4,0,0
B136,FULL,10,4,3,0,0
B136,FULL,25,1,0,0,0
B136,FULL,50,1,0,0,0
B136,OOS,0,4,3,0,1
B136,OOS,10,1,0,0,0
B136,OOS,25,1,0,0,0
B136,OOS,50,0,0,0,0
