panel,family,dial,flips
U56,BAND,0.0,7.442769168783254
U56,BAND,0.02,2.3581543614882348
U56,BAND,0.03,1.7459699240398325
U56,BAND,0.05,1.2104329690036695
U56,BAND,0.08,0.802310010704735
U56,BAND,0.12,0.5176193617449902
U56,BAND,0.2,0.2588096808724951
U56,STALE,1.0,7.442769168783254
U56,STALE,5.0,3.344617414352245
U56,STALE,21.0,1.638464364292796
U56,STALE,63.0,1.0322524579414518
U56,STALE,126.0,0.6858456543121121
U56,STALE,252.0,0.40812295829893463
U56,ABS,0.0,5.654991527064019
U56,ABS,0.05,1.1765886261203433
U56,ABS,0.1,0.6778822795160353
U56,ABS,0.2,0.3444159599303205
B136,BAND,0.0,7.642348227902847
B136,BAND,0.02,2.634176321959436
B136,BAND,0.03,2.01056201770959
B136,BAND,0.05,1.3775238442102387
B136,BAND,0.08,0.8821561084427852
B136,BAND,0.12,0.5875577610343493
B136,BAND,0.2,0.3060708838860941
B136,STALE,1.0,7.642348227902847
B136,STALE,5.0,3.521249231749789
B136,STALE,21.0,1.799549293209806
B136,STALE,63.0,1.0763697616717123
B136,STALE,126.0,0.687942455213858
B136,STALE,252.0,0.3863786392297011
B136,ABS,0.0,5.881313878582322
B136,ABS,0.05,1.30254262365983
B136,ABS,0.1,0.7272768659944002
B136,ABS,0.2,0.36835036762195256
SMALL439,BAND,0.0,8.601415634650671
SMALL439,BAND,0.02,3.9790628122595493
SMALL439,BAND,0.03,3.174862562277828
SMALL439,BAND,0.05,2.2825740457696337
SMALL439,BAND,0.08,1.638933086369033
SMALL439,BAND,0.12,1.1825235619958152
SMALL439,BAND,0.2,0.7473464683988984
SMALL439,STALE,1.0,8.601415634650671
SMALL439,STALE,5.0,3.9492321243920188
SMALL439,STALE,21.0,2.0362076589107345
SMALL439,STALE,63.0,1.2214789308581198
SMALL439,STALE,126.0,0.85263124910783
SMALL439,STALE,252.0,0.4827307195504507
SMALL439,ABS,0.0,6.887203930074751
SMALL439,ABS,0.05,2.3506582039614097
SMALL439,ABS,0.1,1.447139310844263
SMALL439,ABS,0.2,0.83718948127052
