panel,n,gross,anchor,CAGR,Sharpe,MaxDD,H1,H2,IS_Sharpe,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,keep4a,keep4b,first_fail_4b
U56,10,0.5,False,0.109302,1.063882,-0.160258,1.157293,1.00607,1.109381,0.116833,1.043886,-0.160258,False,True,-
U56,10,0.75,False,0.164105,1.065524,-0.233249,1.158773,1.007927,1.110425,0.175205,1.045966,-0.233249,False,False,DD
U56,10,1.0,False,0.218581,1.066879,-0.301739,1.159956,1.009517,1.111177,0.233006,1.047769,-0.301739,False,False,DD
U56,20,0.5,False,0.095583,1.15733,-0.130183,1.221932,1.117226,1.13457,0.105035,1.180298,-0.130183,False,False,CAGR
U56,20,0.75,True,0.144002,1.157798,-0.190893,1.22227,1.117896,1.134675,0.158461,1.181048,-0.190893,False,True,-
U56,20,1.0,False,0.192595,1.157963,-0.248787,1.222293,1.118283,1.134469,0.212203,1.181505,-0.248787,False,False,DD
U56,30,0.5,False,0.082333,1.163755,-0.124039,1.17033,1.166872,1.061335,0.093653,1.241898,-0.124039,False,False,CAGR
U56,30,0.75,False,0.124022,1.163856,-0.182873,1.17088,1.166688,1.061658,0.141471,1.241833,-0.182873,False,True,-
U56,30,1.0,False,0.165898,1.163671,-0.239605,1.171155,1.166219,1.061712,0.189765,1.241471,-0.239605,False,False,DD
B136,10,0.5,False,0.114972,0.963992,-0.179455,1.259964,0.75938,1.191338,0.106538,0.829102,-0.179455,False,False,H2
B136,10,0.75,False,0.171858,0.96812,-0.260149,1.262492,0.764974,1.193418,0.157647,0.834699,-0.260149,False,False,H2
B136,10,1.0,False,0.227747,0.971958,-0.335184,1.264726,0.770356,1.195207,0.206621,0.840055,-0.335184,False,False,H2
B136,20,0.5,False,0.098369,0.991877,-0.165055,1.191746,0.83866,1.104762,0.096525,0.918077,-0.165055,False,False,CAGR
B136,20,0.75,True,0.147418,0.99455,-0.240032,1.194794,0.841321,1.107616,0.143979,0.92077,-0.240032,False,False,DD
B136,20,1.0,False,0.196011,0.996955,-0.31024,1.19759,0.843745,1.110221,0.190459,0.923205,-0.31024,False,False,DD
B136,30,0.5,False,0.090324,1.010846,-0.145183,1.188404,0.864595,1.09397,0.088537,0.951679,-0.145183,False,False,CAGR
B136,30,0.75,False,0.135434,1.012368,-0.212034,1.190536,0.865874,1.095994,0.132328,0.95295,-0.212034,False,False,DD
B136,30,1.0,False,0.180227,1.013628,-0.275231,1.192423,0.866914,1.097777,0.175478,0.95396,-0.275231,False,False,DD
B100,10,0.5,False,0.104103,0.939938,-0.170963,1.246178,0.718476,1.174806,0.093905,0.794133,-0.170963,False,False,H2
B100,10,0.75,False,0.155482,0.943496,-0.248091,1.248264,0.72362,1.176529,0.138856,0.799179,-0.248091,False,False,H2
B100,10,1.0,False,0.205933,0.946738,-0.319987,1.250055,0.728531,1.177964,0.181934,0.803955,-0.319987,False,False,H2
B100,20,0.5,False,0.091558,0.992896,-0.147642,1.195973,0.826869,1.122049,0.086411,0.900792,-0.147642,False,False,H2
B100,20,0.75,True,0.137208,0.995037,-0.215811,1.198474,0.828985,1.12442,0.128842,0.902907,-0.215811,False,False,H2
B100,20,1.0,False,0.182471,0.996904,-0.280273,1.200712,0.830854,1.126533,0.17042,0.904757,-0.280273,False,False,H2
B100,30,0.5,False,0.089904,1.067385,-0.136965,1.246174,0.912427,1.154766,0.086415,1.001027,-0.136965,False,False,CAGR
B100,30,0.75,False,0.135109,1.068391,-0.201731,1.24809,0.912987,1.156605,0.129476,1.001542,-0.201731,False,True,-
B100,30,1.0,False,0.180238,1.069107,-0.264033,1.249743,0.913273,1.158187,0.172167,1.00176,-0.264033,False,False,DD
BXU80,10,0.5,False,0.086917,0.84403,-0.174672,1.117186,0.625319,0.991847,0.080045,0.742891,-0.174672,False,False,H2
BXU80,10,0.75,False,0.129283,0.848127,-0.253341,1.121026,0.629929,0.995767,0.118077,0.747255,-0.253341,False,False,H2
BXU80,10,1.0,False,0.170548,0.851959,-0.326577,1.124629,0.634325,0.999458,0.154369,0.751365,-0.326577,False,False,H2
BXU80,20,0.5,False,0.076623,0.875441,-0.144479,1.095269,0.677725,0.970396,0.070797,0.800599,-0.144479,False,False,H2
BXU80,20,0.75,True,0.114261,0.877586,-0.211037,1.098355,0.679447,0.973568,0.105062,0.802085,-0.211037,False,False,H2
BXU80,20,1.0,False,0.151199,0.879484,-0.273917,1.101205,0.680969,0.976511,0.138309,0.803333,-0.273917,False,False,H2
BXU80,30,0.5,False,0.075391,0.948502,-0.131679,1.096804,0.810669,0.983394,0.073244,0.919811,-0.131679,False,False,H2
BXU80,30,0.75,False,0.112831,0.949644,-0.194232,1.099482,0.810726,0.986155,0.10939,0.919695,-0.194232,False,False,H2
BXU80,30,1.0,False,0.149898,0.950537,-0.254592,1.101925,0.810566,0.988688,0.145004,0.919327,-0.254592,False,False,H2
