conv,ceil,n,pass_STATIC,pass_arm,KILL_to_KEEP,KEEP_to_KILL,net,cagr_only_at_static,cagr_only_now_pass,cagr_bar_fail_STATIC,cagr_bar_fail_arm,dd_bar_fail_STATIC,dd_bar_fail_arm,mean_dCAGR,mean_dMaxDD,mean_dSharpe,levered_rows
VM_IS,CAP,300,42,10,8,40,-32,38,8,119,58,146,246,0.023959237701541545,-0.04090838502319526,0.0003889090678391201,0
VM_IS,RAW,300,42,2,0,40,-40,38,0,119,13,146,297,0.043195253093135044,-0.07245530174040091,-1.297528197270951e-05,165
VM_FULL,CAP,300,42,9,8,41,-33,38,8,119,59,146,247,0.022866463094207472,-0.03911743064643174,0.0002969862914356306,0
VM_FULL,RAW,300,42,1,0,41,-41,38,0,119,14,146,298,0.043432992841419826,-0.07281517813322316,-0.0001429011825133364,163
