panel,gross,cadence,n_books,n4b,n4a,cagr_spread,sharpe_spread,book_flips_4b,book_flips_4a
B136,0.75,D,5,0,0,0.044546174812655215,0.441509683618298,False,False
B136,0.75,M,5,1,0,0.10154409572575385,0.10971658822415531,True,False
B136,0.75,Q,5,0,0,0.09788482604625215,0.21334267291076647,False,False
B136,0.75,W,5,1,0,0.061218609705973925,0.25742613242700985,True,False
B136,1.0,D,5,0,0,0.05707241561382892,0.4418995407717875,False,False
B136,1.0,M,5,0,0,0.13664383603892283,0.11045922530698715,False,False
B136,1.0,Q,5,0,0,0.1306318228271961,0.20762219518128355,False,False
B136,1.0,W,5,1,0,0.0796106997751167,0.2573093839894599,True,False
SMALL,0.75,D,5,0,0,0.032462832720186796,0.5050823562075236,False,False
SMALL,0.75,M,5,0,0,0.04820526397566516,0.18931377213617429,False,False
SMALL,0.75,Q,5,0,0,0.029773844432099184,0.28445283940365473,False,False
SMALL,0.75,W,5,0,0,0.03340958094984736,0.22676644762621784,False,False
SMALL,1.0,D,5,0,0,0.045707055778303474,0.5033857743288573,False,False
SMALL,1.0,M,5,0,0,0.05739355633911836,0.1904777134264476,False,False
SMALL,1.0,Q,5,0,0,0.04035052932883887,0.2848788689445095,False,False
SMALL,1.0,W,5,0,0,0.03777431627929673,0.22649457451754784,False,False
U56,0.75,D,5,0,0,0.02624226312814648,0.3773676855495711,False,False
U56,0.75,M,5,3,0,0.0781494437456205,0.13188169272307126,True,False
U56,0.75,Q,5,0,0,0.070886045305941,0.16924046993785324,False,False
U56,0.75,W,5,1,0,0.04157031194046246,0.277187991621728,True,False
U56,1.0,D,5,1,0,0.035163586383169854,0.37765470283618896,True,False
U56,1.0,M,5,1,0,0.1049435599347297,0.13313358761400806,True,False
U56,1.0,Q,5,0,0,0.09465134521563301,0.1677840279745093,False,False
U56,1.0,W,5,1,0,0.05376905271359278,0.2755635160012193,True,False
