N,blocks,stat,mean_sd,max_sd,mean_range,max_range,binom_sd
10,48,frac_pos_full,0.032710645996094675,0.1725384117989362,0.13437500000000002,0.8,0.15811388300841897
10,48,frac_pos_IS,0.08730245582747423,0.16927044121613063,0.35624999999999996,0.7000000000000001,0.15811388300841897
10,48,frac_pos_OOS,0.019747232128836254,0.1725384117989362,0.08125,0.8,0.15811388300841897
20,24,frac_pos_full,0.02359886367707735,0.12761752185361527,0.0875,0.5499999999999999,0.11180339887498948
20,24,frac_pos_IS,0.06302496932328597,0.13551766022140455,0.2390625,0.5499999999999999,0.11180339887498948
20,24,frac_pos_OOS,0.01394678481983454,0.12761752185361527,0.053125,0.5499999999999999,0.11180339887498948
40,12,frac_pos_full,0.015739753678485218,0.08416254115301731,0.053125000000000006,0.3,0.07905694150420949
40,12,frac_pos_IS,0.04064711498941708,0.0937436866561092,0.13203125,0.35,0.07905694150420949
40,12,frac_pos_OOS,0.008511284344760898,0.0737265627884961,0.02890625,0.27499999999999997,0.07905694150420949
80,6,frac_pos_full,0.0121474287049886,0.07000744008079902,0.03359375,0.21250000000000002,0.05590169943749474
80,6,frac_pos_IS,0.028516163535631724,0.07444237144709098,0.07421875,0.2125,0.05590169943749474
80,6,frac_pos_OOS,0.006371089159946454,0.05224142672885825,0.016796874999999996,0.14999999999999997,0.05590169943749474
