panel,target,h,B,seed,window,SE,t,p2,mean,lo,hi,fail_share,n
B136,0.1,0.08,5,11,OOS,0.020655648432886253,1.126661446475396,0.26,0.02297313429501045,-0.01874029950282647,0.06275442920004673,0.1325,4000
B136,0.1,0.08,5,22,OOS,0.020971753835106906,1.1096793775218483,0.255,0.023302021139341628,-0.01899878797495482,0.06403420932301691,0.127,4000
B136,0.1,0.08,5,33,OOS,0.020996994597750528,1.1083454173854035,0.2635,0.022522598601759057,-0.018605856862839415,0.06201400980552519,0.14325,4000
B136,0.1,0.08,10,11,OOS,0.0209612625411489,1.1102347816882656,0.252,0.02282100829583843,-0.017867217734903677,0.06719853321775152,0.129,4000
B136,0.1,0.08,10,22,OOS,0.021048833690788814,1.1056157829527107,0.25,0.023204715492159387,-0.018656692616212722,0.06652062601108831,0.13225,4000
B136,0.1,0.08,10,33,OOS,0.02102937626217606,1.106638753862629,0.268,0.022558163905770506,-0.017736308060839593,0.06418457594629345,0.14675,4000
B136,0.1,0.08,21,11,OOS,0.02041008322462188,1.1402169449857307,0.2455,0.02264039215008967,-0.019435241291266694,0.061778554749792255,0.1295,4000
B136,0.1,0.08,21,22,OOS,0.02060337581664951,1.1295198878271646,0.251,0.022748382214064555,-0.01873035944157113,0.06245603244633043,0.13075,4000
B136,0.1,0.08,21,33,OOS,0.020956268661317657,1.1104993506902108,0.2595,0.02282672105959553,-0.019271100859653938,0.0631452276325386,0.13375,4000
B136,0.1,0.08,63,11,OOS,0.017876660715787553,1.3018048007551297,0.176,0.023039076760484264,-0.014143133287102266,0.05754134834717848,0.0915,4000
B136,0.1,0.08,63,22,OOS,0.017438369314786314,1.3345240212082319,0.168,0.02289229699822397,-0.013051891185897195,0.056341626044469746,0.0935,4000
B136,0.1,0.08,63,33,OOS,0.017768040706272747,1.3097630248599699,0.1725,0.022616668099203995,-0.013005542011788933,0.057130293891282435,0.10475,4000
B136,0.1,0.08,126,11,OOS,0.01537252505946881,1.5138646807375586,0.119,0.022974638257714338,-0.008060852107722005,0.05279456435783411,0.068,4000
B136,0.1,0.08,126,22,OOS,0.015005005932622002,1.5509439213674667,0.1155,0.02317134454339695,-0.007240964118146666,0.05217983555028351,0.0635,4000
B136,0.1,0.08,126,33,OOS,0.015393440267180414,1.511807778986207,0.1195,0.02250879271542408,-0.008384473731860874,0.052611629529881666,0.0725,4000
