book,parent,arm,pick,IS_Sharpe,resc_IS_range,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,spy_OOS_CAGR,spy_OOS_Sharpe,spy_OOS_MaxDD,v1_OOS_CAGR,v1_OOS_Sharpe,v1_OOS_MaxDD,beat_spy,oos4b
U56,U56,GENUINE_ISargmax,0.8,1.0163933831996361,4.440892098500626e-16,0.15467264025819638,1.1775842807296992,-0.1935264825671692,0.15450717694493266,0.8820107671822842,-0.33717235283398284,0.07730300522922962,0.747063834691694,-0.1382779615448081,True,True
U56,U56,RESCALED_tie_low,0.2,1.0156341276843208,4.440892098500626e-16,0.03811816742632623,1.1758274926770405,-0.0504372249536692,0.15450717694493266,0.8820107671822842,-0.33717235283398284,0.07730300522922962,0.747063834691694,-0.1382779615448081,True,False
U56,U56,RESCALED_tie_high,1.0,1.0162940502666915,4.440892098500626e-16,0.19398011607584031,1.1778258965716302,-0.23850902493128778,0.15450717694493266,0.8820107671822842,-0.33717235283398284,0.07730300522922962,0.747063834691694,-0.1382779615448081,True,False
U56,U56,CONTROL_m075,0.75,1.0163842999145696,4.440892098500626e-16,0.14486778681551393,1.17749120356185,-0.18207063572861204,0.15450717694493266,0.8820107671822842,-0.33717235283398284,0.07730300522922962,0.747063834691694,-0.1382779615448081,True,True
B136,B136,GENUINE_ISargmax,1.0,1.045996287500613,4.440892098500626e-16,0.16509486144543795,0.893678847107437,-0.26198457049262813,0.1545044425578177,0.8820239235972316,-0.3371595330739301,0.05941502665859644,0.5762505378038234,-0.2119126361153264,True,False
B136,B136,RESCALED_tie_low,0.2,1.0382643528113316,4.440892098500626e-16,0.0336956328049387,0.887193761697279,-0.05587412147013304,0.1545044425578177,0.8820239235972316,-0.3371595330739301,0.05941502665859644,0.5762505378038234,-0.2119126361153264,True,False
B136,B136,RESCALED_tie_high,1.0,1.045996287500613,4.440892098500626e-16,0.16509486144543795,0.893678847107437,-0.26198457049262813,0.1545044425578177,0.8820239235972316,-0.3371595330739301,0.05941502665859644,0.5762505378038234,-0.2119126361153264,True,False
B136,B136,CONTROL_m075,0.75,1.043837850225855,4.440892098500626e-16,0.12486792010130943,0.8919165372280253,-0.2005204833110833,0.1545044425578177,0.8820239235972316,-0.3371595330739301,0.05941502665859644,0.5762505378038234,-0.2119126361153264,True,True
BSTK100,B136,GENUINE_ISargmax,1.0,1.0930527862709887,6.661338147750939e-16,0.17061770352904837,0.922040869442315,-0.26613390136449533,0.1545044425578177,0.8820239235972316,-0.3371595330739301,0.05941502665859644,0.5762505378038234,-0.2119126361153264,True,False
BSTK100,B136,RESCALED_tie_low,0.2,1.0844072746139934,6.661338147750939e-16,0.03459668923715964,0.9156235373350659,-0.0567415352890307,0.1545044425578177,0.8820239235972316,-0.3371595330739301,0.05941502665859644,0.5762505378038234,-0.2119126361153264,True,False
