panel,book,gross,cost_bps,dd_D,dd_W,dd_M,dd_Q,dd_spread_pp,dd_cap_pp,best_cadence,worst_cadence,keep4b_D,keep4b_W,keep4b_M,keep4b_Q,leg_dd_D,leg_dd_W,leg_dd_M,leg_dd_Q,n_pass,n_dd_pass,cadence_decided,dd_cadence_decided
B136,ALLIN,0.5,10,-17.288985906424514,-17.4792279816685,-17.082979955262523,-16.547410881438175,0.9318171002303259,-20.229571984435804,Q,W,False,False,False,False,True,True,True,True,0,4,False,False
B136,ALLIN,0.5,25,-17.33093363234555,-17.497218690646164,-17.086647206243764,-16.54741088143814,0.9498078092080249,-20.229571984435804,Q,W,False,False,False,False,True,True,True,True,0,4,False,False
B136,ALLIN,0.5,50,-17.400801907558794,-17.527196608128182,-17.09275929121241,-16.54741088143815,0.9797857266900323,-20.229571984435804,Q,W,False,False,False,False,True,True,True,True,0,4,False,False
B136,ALLIN,0.75,10,-25.173181180967973,-25.364842481579043,-24.989934048374217,-24.45193590255664,0.9129065790224011,-20.229571984435804,Q,W,False,False,False,False,False,False,False,False,0,0,False,False
B136,ALLIN,0.75,25,-25.220257856096328,-25.385209286855016,-24.994157498700588,-24.451935902556666,0.9332733842983494,-20.229571984435804,Q,W,False,False,False,False,False,False,False,False,0,0,False,False
B136,ALLIN,0.75,50,-25.298656788201303,-25.419144495461065,-25.001196582577833,-24.451935902556666,0.9672085929043988,-20.229571984435804,Q,W,False,False,False,False,False,False,False,False,0,0,False,False
B136,ALLIN,0.9,10,-29.662416968684813,-29.83704615072462,-29.541033961112404,-29.082782927061846,0.7542632236627753,-20.229571984435804,Q,W,False,False,False,False,False,False,False,False,0,0,False,False
B136,ALLIN,0.9,25,-29.711506362971985,-29.858547542297664,-29.54544108108983,-29.082782927061846,0.7757646152358184,-20.229571984435804,Q,W,False,False,False,False,False,False,False,False,0,0,False,False
B136,ALLIN,0.9,50,-29.793250066370025,-29.89437195120609,-29.5527862810522,-29.082782927061846,0.8115890241442436,-20.229571984435804,Q,W,False,False,False,False,False,False,False,False,0,0,False,False
B136,ALLIN,1.0,10,-32.55588243598944,-32.71396216573823,-32.49685278931974,-32.124768864311434,0.5891933014267963,-20.229571984435804,Q,W,False,False,False,False,False,False,False,False,0,0,False,False
B136,ALLIN,1.0,25,-32.60706439053811,-32.736835434561776,-32.50139547099248,-32.12476886431145,0.6120665702503274,-20.229571984435804,Q,W,False,False,False,False,False,False,False,False,0,0,False,False
B136,ALLIN,1.0,50,-32.6922860861736,-32.77494430112156,-32.508966607113685,-32.12476886431145,0.6501754368101089,-20.229571984435804,Q,W,False,False,False,False,False,False,False,False,0,0,False,False
B136,BAND,0.5,10,-7.562819051900204,-8.199084501569608,-10.61772233253324,-14.744160521773242,7.181341469873038,-20.229571984435804,D,Q,False,False,False,False,True,True,True,True,0,4,False,False
B136,BAND,0.5,25,-7.637416129225172,-8.230183864496343,-10.640962525837717,-14.74416052177322,7.106744392548047,-20.229571984435804,D,Q,False,False,False,False,True,True,True,True,0,4,False,False
B136,BAND,0.5,50,-7.762103744651272,-8.282007186760321,-10.679696181345166,-14.744160521773253,6.982056777121981,-20.229571984435804,D,Q,False,False,False,False,True,True,True,True,0,4,False,False
B136,BAND,0.75,10,-11.179628366254812,-12.178128651163933,-15.60917061849716,-21.814384056718584,10.634755690463772,-20.229571984435804,D,Q,False,False,False,False,True,True,True,False,0,3,False,True
B136,BAND,0.75,25,-11.285485923372251,-12.222532296246658,-15.642129776631231,-21.814384056718584,10.528898133346333,-20.229571984435804,D,Q,False,False,False,False,True,True,True,False,0,3,False,True
B136,BAND,0.75,50,-11.462619900681881,-12.296519279148011,-15.697061706854686,-21.814384056718573,10.351764156036692,-20.229571984435804,D,Q,False,False,False,False,True,True,True,False,0,3,False,True
B136,BAND,0.9,10,-13.29824094543346,-14.526769209974145,-18.507141236004067,-25.964631639416236,12.666390693982777,-20.229571984435804,D,Q,False,False,False,False,True,True,True,False,0,3,False,True
B136,BAND,0.9,25,-13.421360130160842,-14.578609780345818,-18.545456341586664,-25.964631639416236,12.543271509255394,-20.229571984435804,D,Q,False,False,False,False,True,True,True,False,0,3,False,True
B136,BAND,0.9,50,-13.627522718999142,-14.664984001468573,-18.60931485089109,-25.964631639416236,12.337108920417094,-20.229571984435804,D,Q,False,False,False,False,True,True,True,False,0,3,False,True
B136,BAND,1.0,10,-14.689468285680984,-16.076362728629356,-20.39978108191426,-28.69420833703379,14.004740051352805,-20.229571984435804,D,Q,False,True,False,False,True,True,False,False,1,2,True,True
B136,BAND,1.0,25,-14.823548714102596,-16.133041592267016,-20.441507052843143,-28.69420833703382,13.870659622931225,-20.229571984435804,D,Q,False,False,False,False,True,True,False,False,0,2,False,True
B136,BAND,1.0,50,-15.048175530695417,-16.22747387071424,-20.51105033772457,-28.69420833703379,13.646032806338372,-20.229571984435804,D,Q,False,False,False,False,True,True,False,False,0,2,False,True
SMALL439,ALLIN,0.5,10,-25.62177685476621,-25.2144136424713,-23.63882248926633,-22.568039229579327,3.0537376251868835,-20.23035406537215,Q,D,False,False,False,False,False,False,False,False,0,0,False,False
SMALL439,ALLIN,0.5,25,-25.932521303375744,-25.421295572440663,-23.74554794663424,-22.629956734312362,3.3025645690633816,-20.23035406537215,Q,D,False,False,False,False,False,False,False,False,0,0,False,False
SMALL439,ALLIN,0.5,50,-26.65350437698398,-25.764845137130354,-23.929108581595326,-22.733060917806235,3.920443459177747,-20.23035406537215,Q,D,False,False,False,False,False,False,False,False,0,0,False,False
SMALL439,ALLIN,0.75,10,-36.34787620133929,-36.16637358208419,-34.760610949996526,-33.968771603220674,2.379104598118616,-20.23035406537215,Q,D,False,False,False,False,False,False,False,False,0,0,False,False
SMALL439,ALLIN,0.75,25,-36.89514856919981,-36.426007858275156,-34.8948027779047,-34.04635175528124,2.848796813918568,-20.23035406537215,Q,D,False,False,False,False,False,False,False,False,0,0,False,False
