period,D,assign,bar,n,inside,share,nz_n,nz_share,two_share,three_share,two_nz,three_nz,mean_floor
FULL,3,POOLED,1.0,607,257,0.4233937397034596,465,0.24731182795698925,0.34782608695652173,0.5229007633587787,0.16044776119402984,0.36548223350253806,0.06731027715813266
FULL,3,POOLED,2.0,607,312,0.514003294892916,465,0.3655913978494624,0.40869565217391307,0.6526717557251909,0.23880597014925373,0.5380710659898477,0.06731027715813266
FULL,3,MIN,1.0,607,228,0.3756177924217463,465,0.18494623655913978,0.3188405797101449,0.45038167938931295,0.12313432835820895,0.26903553299492383,0.048392956155905435
FULL,3,MIN,2.0,607,288,0.4744645799011532,465,0.3139784946236559,0.3884057971014493,0.5877862595419847,0.2126865671641791,0.4517766497461929,0.048392956155905435
FULL,3,MEAN,1.0,607,255,0.4200988467874794,465,0.24301075268817204,0.34202898550724636,0.5229007633587787,0.15298507462686567,0.36548223350253806,0.06412477538929501
FULL,3,MEAN,2.0,607,312,0.514003294892916,465,0.3655913978494624,0.40869565217391307,0.6526717557251909,0.23880597014925373,0.5380710659898477,0.06412477538929501
FULL,3,MAX,1.0,607,268,0.4415156507413509,465,0.2709677419354839,0.3507246376811594,0.5610687022900763,0.16417910447761194,0.41624365482233505,0.0817902172639635
FULL,3,MAX,2.0,607,340,0.5601317957166392,465,0.4258064516129032,0.4289855072463768,0.732824427480916,0.26492537313432835,0.6446700507614214,0.0817902172639635
FULL,3,RSS,1.0,607,300,0.4942339373970346,465,0.33978494623655914,0.3826086956521739,0.6412213740458015,0.20522388059701493,0.5228426395939086,0.10423732538718354
FULL,3,RSS,2.0,607,350,0.5766062602965404,465,0.44731182795698926,0.45217391304347826,0.7404580152671756,0.2947761194029851,0.6548223350253807,0.10423732538718354
FULL,6,POOLED,1.0,607,259,0.42668863261943984,465,0.25161290322580643,0.3507246376811594,0.5267175572519084,0.16417910447761194,0.37055837563451777,0.06910707673624915
