scheme,bucket,menus,files,pooled_dS,t,menu_mean,disagree,med_arms
FIXED4,3,3640,58,-0.006222816718195836,-1.4272335749667386,-0.007568923614719496,0.1585164835164835,3.0
FIXED4,4-5,1250,44,-0.009012539892492512,-1.8758261923126451,-0.004165003725248722,0.21840000000000004,4.0
FIXED4,6-9,933,37,-0.003653285585935938,-0.6368241405571584,-0.007179555075671832,0.24651661307609862,7.0
FIXED4,>=10,1133,20,-0.027432062235481502,-1.6628108214806512,-0.036547338728248425,0.558693733451015,15.0
Q4,"(2.999, 6.0]",5234,66,-0.008882698511398486,-2.081049468868821,-0.006245252630430721,0.17577378677875433,3.0
Q4,"(6.0, 800.0]",1722,32,-0.020593723405558234,-1.9260725693184673,-0.027976854826465024,0.4605110336817654,11.0
