panel,book,lag,bps,D,M,Q,W,SWING
B136,NOGATE,1d,5,1.1269371292214883,1.1240316096599785,1.1413276935562797,1.1254359698711727,0.017296083896301218
B136,NOGATE,1d,10,1.1195871586759985,1.1223215296797846,1.140296336901049,1.1219549467170122,0.020709178225050584
B136,NOGATE,1d,15,1.1122371441161367,1.1206111583479483,1.1392646578879873,1.1184738039923323,0.02702751377185053
B136,NOGATE,1d,20,1.1048870863574194,1.1189004969502088,1.1382326573913426,1.1149925439175379,0.033345571033923216
B136,NOGATE,1d,25,1.097536986215378,1.1171895467729789,1.1372003362861818,1.1115111687130292,0.03966335007080368
B136,NOGATE,1w,5,1.1271562323083666,1.1239895150799666,1.1376717859176826,1.1248988626934242,0.013682270837716004
B136,NOGATE,1w,10,1.119809880119854,1.122279920238873,1.1366412040505913,1.1214182174842144,0.016831323930737385
B136,NOGATE,1w,15,1.1124634683129049,1.120570033064932,1.1356103013396535,1.1179374514326423,0.02314683302674858
B136,NOGATE,1w,20,1.1051169976986945,1.1188598548445863,1.1345790786565746,1.1144565667560316,0.029462080957880055
B136,NOGATE,1w,25,1.0977704690884205,1.1171493868649571,1.1335475368738728,1.1109755656717106,0.03577706778545231
B136,band3-dg,1d,5,1.1237713228551351,1.1014847918314523,0.9501764346308804,1.1197163718773417,0.17359488822425473
B136,band3-dg,1d,10,1.1044610330263163,1.0924290639959033,0.9447837894522035,1.1057901818007876,0.16100639234858405
B136,band3-dg,1d,15,1.0851506189079019,1.0833636989953153,0.9393832131927524,1.0918587592973739,0.15247554610462144
B136,band3-dg,1d,20,1.0658401632447,1.0742889177641843,0.9339748451564942,1.0779223086002927,0.1439474634437985
B136,band3-dg,1d,25,1.0465297487626983,1.0652049419708634,0.928558825228378,1.0639810341503695,0.1366461167424854
B136,band3-dg,1w,5,1.114548965402505,1.0379485864428435,0.9769277603417146,1.0858830208186614,0.13762120506079034
B136,band3-dg,1w,10,1.0959794474368818,1.0296258038537622,0.9716170378412926,1.0721189311984871,0.1243624095955892
B136,band3-dg,1w,15,1.0774086738539939,1.021295497980024,0.9662983718718928,1.0583505407567226,0.11111030198210103
B136,band3-dg,1w,20,1.0588367159505017,1.0129578478858174,0.9609718952974217,1.0445780489595355,0.09786482065308
B136,band3-dg,1w,25,1.040263645034468,1.0046130331106353,0.9556377415495234,1.030801655407661,0.08462590348494459
B136,band3-rw,1d,5,1.0899358437891455,1.1007485515185498,1.1189512996801678,1.0911792062289933,0.02901545589102228
B136,band3-rw,1d,10,1.0598915161982503,1.0870986363744148,1.1108392134674112,1.06900647415774,0.05094769726916093
B136,band3-rw,1d,15,1.0298397000353472,1.0734217609309156,1.1027017262925418,1.0468211459065546,0.07286202625719462
B136,band3-rw,1d,20,0.9997813606675234,1.0597189992468075,1.0945394363604521,1.0246246168855813,0.09475807569292871
B136,band3-rw,1d,25,0.9697174636580397,1.0459914309616565,1.08635294686652,1.0024182826213686,0.11663548320848038
B136,band3-rw,1w,5,1.1044201357156376,1.1082551143511534,1.1210477443486053,1.0723821643255913,0.04866558002301402
B136,band3-rw,1w,10,1.0751166868974043,1.0949336118941067,1.1131625092810011,1.0503338344507764,0.0628286748302247
B136,band3-rw,1w,15,1.0458017570511131,1.0815862193173988,1.1052522954527984,1.0282659489357577,0.07698634651704062
B136,band3-rw,1w,20,1.0164762370848859,1.0682139886038209,1.097317665477734,1.0061798863632008,0.09113777911453314
B136,band3-rw,1w,25,0.987141018871969,1.0548179767751447,1.0893591868040389,0.9840770281187636,0.10528215868527524
B136,vol60-dg,1d,5,1.155700126184971,1.1349025325461195,1.1118106077597625,1.1444521767562843,0.04388951842520861
B136,vol60-dg,1d,10,1.1439474880854557,1.1312982266363814,1.1101155585045681,1.1381201336577496,0.03383192958088754
B136,vol60-dg,1d,15,1.1321943174069216,1.1276917172313632,1.1084187196015556,1.1317867551434164,0.023775597805365978
B136,vol60-dg,1d,20,1.1204406307993016,1.1240830263350374,1.106720098904331,1.1254520673589608,0.018731968454629655
