FAMILY,n_cells,switches,mean_S1,mean_S3,mean_switch,mean_aggreg,flip_switch,flip_total,xse_switch,xse_total,anchor_wins_sliced,anchor_wins_paid
V_AXIS,12,43,0.021301217528903214,0.03480680092281423,0.0012759598911232333,0.012229623502787773,0,2,0,3,10,10
V_WIDE,3,20,0.06904477840475635,0.09962698981901606,0.002996120675493763,0.027586090738765945,0,0,0,1,3,3
V_POOL,3,14,-0.0022734433038434365,0.016493174053404763,0.002286464648537175,0.016480152708711022,0,0,0,0,2,2
