phi,uni,book,n,ladder,rows,pub,adm_all,adm_pub
0.0,universe.json(56),TOP3,3,True,32,21,0.3125,0.47619047619047616
0.0,universe.json(56),TOP5,5,True,32,18,0.375,0.6666666666666666
0.0,universe.json(56),TOP10,10,True,32,22,0.59375,0.8636363636363636
0.0,universe.json(56),TOP20,20,True,32,24,0.5625,0.75
0.0,universe.json(56),TOP40,40,True,32,24,0.75,1.0
0.0,universe.json(56),TOPall,56,True,32,24,0.71875,0.9583333333333334
0.0,universe.json(56),V1u,5,False,32,24,0.25,0.3333333333333333
0.0,universe_broad.json,TOP3,3,True,32,24,0.25,0.3333333333333333
0.0,universe_broad.json,TOP5,5,True,32,15,0.3125,0.6666666666666666
0.0,universe_broad.json,TOP10,10,True,32,18,0.21875,0.3888888888888889
0.0,universe_broad.json,TOP20,20,True,32,28,0.28125,0.32142857142857145
0.0,universe_broad.json,TOP40,40,True,32,28,0.6875,0.7857142857142857
0.0,universe_broad.json,TOPall,136,True,32,24,0.75,1.0
0.0,universe_broad.json,V1u,5,False,32,19,0.25,0.42105263157894735
0.05,universe.json(56),TOP3,3,True,32,18,0.3125,0.5555555555555556
0.05,universe.json(56),TOP5,5,True,32,12,0.375,1.0
0.05,universe.json(56),TOP10,10,True,32,22,0.59375,0.8636363636363636
0.05,universe.json(56),TOP20,20,True,32,22,0.5625,0.7272727272727273
0.05,universe.json(56),TOP40,40,True,32,24,0.75,1.0
0.05,universe.json(56),TOPall,56,True,32,24,0.71875,0.9583333333333334
0.05,universe.json(56),V1u,5,False,32,24,0.25,0.3333333333333333
0.05,universe_broad.json,TOP3,3,True,32,19,0.25,0.42105263157894735
0.05,universe_broad.json,TOP5,5,True,32,14,0.3125,0.7142857142857143
0.05,universe_broad.json,TOP10,10,True,32,18,0.21875,0.3888888888888889
0.05,universe_broad.json,TOP20,20,True,32,28,0.28125,0.32142857142857145
0.05,universe_broad.json,TOP40,40,True,32,28,0.6875,0.7857142857142857
0.05,universe_broad.json,TOPall,136,True,32,24,0.75,1.0
0.05,universe_broad.json,V1u,5,False,32,19,0.25,0.42105263157894735
0.1,universe.json(56),TOP3,3,True,32,18,0.3125,0.5555555555555556
0.1,universe.json(56),TOP5,5,True,32,12,0.375,1.0
0.1,universe.json(56),TOP10,10,True,32,22,0.59375,0.8636363636363636
0.1,universe.json(56),TOP20,20,True,32,22,0.5625,0.7272727272727273
0.1,universe.json(56),TOP40,40,True,32,24,0.75,1.0
0.1,universe.json(56),TOPall,56,True,32,24,0.71875,0.9583333333333334
0.1,universe.json(56),V1u,5,False,32,24,0.25,0.3333333333333333
0.1,universe_broad.json,TOP3,3,True,32,19,0.25,0.42105263157894735
0.1,universe_broad.json,TOP5,5,True,32,14,0.3125,0.7142857142857143
0.1,universe_broad.json,TOP10,10,True,32,18,0.21875,0.3888888888888889
0.1,universe_broad.json,TOP20,20,True,32,27,0.28125,0.3333333333333333
0.1,universe_broad.json,TOP40,40,True,32,28,0.6875,0.7857142857142857
0.1,universe_broad.json,TOPall,136,True,32,24,0.75,1.0
0.1,universe_broad.json,V1u,5,False,32,17,0.25,0.47058823529411764
0.25,universe.json(56),TOP3,3,True,32,17,0.3125,0.5882352941176471
0.25,universe.json(56),TOP5,5,True,32,12,0.375,1.0
0.25,universe.json(56),TOP10,10,True,32,22,0.59375,0.8636363636363636
0.25,universe.json(56),TOP20,20,True,32,22,0.5625,0.7272727272727273
0.25,universe.json(56),TOP40,40,True,32,24,0.75,1.0
0.25,universe.json(56),TOPall,56,True,32,24,0.71875,0.9583333333333334
0.25,universe.json(56),V1u,5,False,32,24,0.25,0.3333333333333333
0.25,universe_broad.json,TOP3,3,True,32,19,0.25,0.42105263157894735
0.25,universe_broad.json,TOP5,5,True,32,14,0.3125,0.7142857142857143
0.25,universe_broad.json,TOP10,10,True,32,17,0.21875,0.4117647058823529
0.25,universe_broad.json,TOP20,20,True,32,22,0.28125,0.36363636363636365
0.25,universe_broad.json,TOP40,40,True,32,24,0.6875,0.9166666666666666
0.25,universe_broad.json,TOPall,136,True,32,24,0.75,1.0
0.25,universe_broad.json,V1u,5,False,32,16,0.25,0.5
0.5,universe.json(56),TOP3,3,True,32,17,0.3125,0.5882352941176471
0.5,universe.json(56),TOP5,5,True,32,12,0.375,1.0
0.5,universe.json(56),TOP10,10,True,32,22,0.59375,0.8636363636363636
0.5,universe.json(56),TOP20,20,True,32,22,0.5625,0.7272727272727273
0.5,universe.json(56),TOP40,40,True,32,24,0.75,1.0
0.5,universe.json(56),TOPall,56,True,32,24,0.71875,0.9583333333333334
0.5,universe.json(56),V1u,5,False,32,24,0.25,0.3333333333333333
0.5,universe_broad.json,TOP3,3,True,32,19,0.25,0.42105263157894735
0.5,universe_broad.json,TOP5,5,True,32,14,0.3125,0.7142857142857143
0.5,universe_broad.json,TOP10,10,True,32,16,0.21875,0.4375
0.5,universe_broad.json,TOP20,20,True,32,22,0.28125,0.36363636363636365
0.5,universe_broad.json,TOP40,40,True,32,22,0.6875,0.9090909090909091
0.5,universe_broad.json,TOPall,136,True,32,24,0.75,1.0
0.5,universe_broad.json,V1u,5,False,32,14,0.25,0.5714285714285714
