panel,cost_bps,n,agree,is_pass,rec_pass,both,is_only,rec_only
U56,0.0,900,0.7688888888888888,158,128,39,119,89
U56,5.0,900,0.7722222222222223,144,125,32,112,93
U56,10.0,900,0.7855555555555556,122,115,22,100,93
U56,25.0,900,0.8222222222222222,81,103,12,69,91
U56,50.0,900,0.8755555555555555,38,80,3,35,77
B136,0.0,900,0.8233333333333334,166,33,20,146,13
B136,5.0,900,0.8288888888888889,162,30,19,143,11
B136,10.0,900,0.8377777777777777,145,25,12,133,13
B136,25.0,900,0.8666666666666667,109,15,2,107,13
B136,50.0,900,0.9244444444444444,60,8,0,60,8
SMALL,0.0,900,0.9988888888888889,1,0,0,1,0
SMALL,5.0,900,0.9988888888888889,1,0,0,1,0
SMALL,10.0,900,0.9988888888888889,1,0,0,1,0
SMALL,25.0,900,1.0,0,0,0,0,0
SMALL,50.0,900,1.0,0,0,0,0,0
ALL,0.0,2700,0.8637037037037038,325,161,59,266,102
ALL,5.0,2700,0.8666666666666667,307,155,51,256,104
ALL,10.0,2700,0.8740740740740741,268,140,34,234,106
ALL,25.0,2700,0.8962962962962963,190,118,14,176,104
ALL,50.0,2700,0.9333333333333333,98,88,3,95,85
