family,REAL,BLOCK,RAND,YEARMATCH,EPMATCH,BLOCKYEAR,BLOCKEP,SHIFT5,SHIFT252,REAL-BLOCK
BREADTH-HI,0.0,0.05232060225846926,0.05341251307965189,0.015572283693089061,0.0,0.015022786517015975,0.0,0.0005924170616113745,0.08408238568979946,-0.05232060225846926
BREADTH-LO,0.27549345743127873,0.049707533532793224,0.05337600098306265,0.19990272373540857,0.27549345743127873,0.19968050874403814,0.27549345743127873,0.27076790027338116,0.0,0.2257859238984855
CORR-HI,0.23347286887930174,0.05492243867243868,0.05319290465631929,0.17689724432617765,0.23347286887930174,0.17738891987358246,0.23347286887930174,0.23434852562185868,0.0,0.17855043020686306
CORR-LO,0.0,0.05315195688836334,0.05331413981435605,0.004255945391801399,0.0,0.0034174313279448226,0.0,0.0,0.03650253384766659,-0.05315195688836334
DISP-HI,0.1348524598128344,0.052252950115155405,0.053140506713253446,0.10517560841984741,0.1348524598128344,0.1040808580454,0.1348524598128344,0.13501450604604356,0.00452109157471807,0.08259950969767899
DISP-LO,0.0,0.05357928403097296,0.052765443062956385,0.0054628350373031225,0.0,0.005349073544211378,0.0,0.0,0.03651328796487066,-0.05357928403097296
VOL20-HI,0.165899302707137,0.05258088626913902,0.0531225,0.13017072056301587,0.165899302707137,0.1295714793087823,0.165899302707137,0.16671082635939038,0.0,0.11331841643799798
VOL20-LO,0.0,0.051330074906745654,0.05291237968801858,0.006059644464592171,0.0,0.005613139992839241,0.0,0.0,0.025255102040816328,-0.051330074906745654
