k,q,book,char,n,rho,p,rho_partial,rho_seed_h1,rho_seed_h2,both_halves_same_sign,rho_IS,IS_OOS_stability
20,0.25,EWall,breadth,60,-0.08824673520422341,0.5079246037698115,-0.0037046047996857146,-0.2756395995550612,0.1421579532814238,False,0.009113642678521813,0.7226451792164492
20,0.25,EWall,disp,60,0.2597943873298139,0.044897755112244385,-0.04802697737581755,0.1870967741935484,0.32458286985539486,True,0.3312031119755488,0.4895248680188943
20,0.25,EWall,corr,60,-0.44951375382050573,0.0002999850007499625,-0.38021969439823816,-0.44471635150166855,-0.507007786429366,True,-0.34487357599333157,0.5191997777160323
20,0.25,EWall,evol,60,0.19905529313698253,0.12784360781960902,0.04496718829045779,0.13147942157953282,0.2636262513904338,True,0.2983050847457628,0.6898027229786053
20,0.25,CAND10,breadth,60,-0.12825784940261184,0.3304334783260837,-0.04360787509854743,-0.2961067853170189,0.06162402669632924,False,-0.04556821339260907,0.7226451792164492
20,0.25,CAND10,disp,60,0.2598499583217561,0.044747762611869406,-0.08015464162504872,0.17552836484983317,0.349944382647386,True,0.3355932203389831,0.4895248680188943
20,0.25,CAND10,corr,60,-0.4593498193942762,0.00034998250087495624,-0.39334636863425326,-0.44471635150166855,-0.5421579532814237,True,-0.3987774381772715,0.5191997777160323
20,0.25,CAND10,evol,60,0.22156154487357604,0.08979551022448877,0.07942816262246682,0.1385984427141268,0.30055617352614017,True,0.309419283134204,0.6898027229786053
20,0.25,CAND20,breadth,60,-0.0755209780494582,0.5707214639268037,0.009563824505407293,-0.2395995550611791,0.13592880978865407,False,0.03467629897193666,0.7226451792164492
20,0.25,CAND20,disp,60,0.2510697415948875,0.05409729513524324,-0.05456307128567442,0.1203559510567297,0.3414905450500556,True,0.3414281744929148,0.4895248680188943
20,0.25,CAND20,corr,60,-0.44945818282856353,0.00034998250087495624,-0.38705423887207474,-0.40778642936596216,-0.5216907675194661,True,-0.35259794387329824,0.5191997777160323
20,0.25,CAND20,evol,60,0.18960822450680748,0.14604269786510674,0.042437684888584105,0.08654060066740822,0.2729699666295884,True,0.2984717977215894,0.6898027229786053
20,0.5,EWall,breadth,60,0.07996776838460515,0.5382230888455577,0.13446206516518813,0.2200222469410456,-0.03181666500942881,False,0.25696383669938444,0.5610047514518324
20,0.5,EWall,disp,60,0.23645457071408726,0.07089645517724114,-0.22123989455799575,0.06785317018909899,0.4166852057842047,True,0.32636843567657686,0.6124479021950542
20,0.5,EWall,corr,60,-0.27874409558210617,0.0303984800759962,-0.2626110237811785,-0.260511679644049,-0.26852057842046717,True,-0.307529869408169,0.5249235898860795
20,0.5,EWall,evol,60,0.35020839121978337,0.005799710014499275,0.3467411537264684,0.2511679644048943,0.43670745272525024,True,0.17843845512642403,0.676799110864129
20,0.5,CAND10,breadth,60,0.1099765209403291,0.39943002849857506,0.15605775327336568,0.19288097886540603,0.0711981314896309,True,0.17049417192770577,0.5610047514518324
20,0.5,CAND10,disp,60,0.2588496804667964,0.04744762761861907,-0.18097132869706486,0.09721913236929922,0.40867630700778645,True,0.33870519588774667,0.6124479021950542
