panel,haircut,chooser,pick_device,pick_dial,is_MaxDD,oos_CAGR,oos_Sharpe,oos_MaxDD,keep4a_oos,keep4b_oos,oos_winner_device,chooser_correct,anchor_oos_CAGR,anchor_oos_Sharpe,anchor_oos_MaxDD,d_oos_sharpe_vs_anchor,d_oos_maxdd_vs_anchor_pp,spy_oos_CAGR,spy_oos_Sharpe,spy_oos_MaxDD,live_oos_CAGR,live_oos_Sharpe,live_oos_MaxDD
U56,0.5,IS_MATCHED_BEST_MAXDD,GROSS,0.72,-0.13411048132757608,0.16618458278003057,1.1855631910253461,-0.18412621594786038,False,True,STOP,False,0.17323365236641464,1.1856777042016957,-0.19127562163086187,-0.00011451317634958436,0.7149405683001486,0.1525745335844091,0.8738401470547136,-0.33717289200673783,0.09455179369762767,1.2768823974588255,-0.12054956914840886
U56,1.0,IS_MATCHED_BEST_MAXDD,GROSS,0.7,-0.13049440908766752,0.16148882260720132,1.1854844733993828,-0.17933719302840334,False,True,GROSS,True,0.17323365236641464,1.1856777042016957,-0.19127562163086187,-0.000193230802312927,1.1938428602458528,0.1525745335844091,0.8738401470547136,-0.33717289200673783,0.09455179369762767,1.2768823974588255,-0.12054956914840886
U56,1.5,IS_MATCHED_BEST_MAXDD,GROSS,0.67,-0.12505798639804167,0.15445101533518568,1.1853631189630909,-0.17211940606969334,False,True,GROSS,True,0.17323365236641464,1.1856777042016957,-0.19127562163086187,-0.00031458523860483645,1.9156215561168533,0.1525745335844091,0.8738401470547136,-0.33717289200673783,0.09455179369762767,1.2768823974588255,-0.12054956914840886
U56,2.0,IS_MATCHED_BEST_MAXDD,GROSS,0.64,-0.11960690032200572,0.14742064136829058,1.1852380283201671,-0.16486042429922187,False,True,GROSS,True,0.17323365236641464,1.1856777042016957,-0.19127562163086187,-0.0004396758815286006,2.6415197331639995,0.1525745335844091,0.8738401470547136,-0.33717289200673783,0.09455179369762767,1.2768823974588255,-0.12054956914840886
U56,2.5,IS_MATCHED_BEST_MAXDD,GROSS,0.62,-0.11596471738470115,0.14273806001983402,1.1851524244887657,-0.15999816640754227,False,True,GROSS,True,0.17323365236641464,1.1856777042016957,-0.19127562163086187,-0.0005252797129300379,3.1277455223319595,0.1525745335844091,0.8738401470547136,-0.33717289200673783,0.09455179369762767,1.2768823974588255,-0.12054956914840886
B136,0.5,IS_MATCHED_BEST_MAXDD,GROSS,0.73,-0.14259016896151333,0.157575740970743,1.0177664632661636,-0.20227232830739605,False,True,STOP,False,0.16187458516000452,1.0179537645049168,-0.2074018763117903,-0.00018730123875321247,0.5129548004394247,0.15257181383948715,0.8738511437360154,-0.3371595330739301,0.07847283605551292,1.1019125044197382,-0.12241069123223403
B136,1.0,IS_MATCHED_BEST_MAXDD,GROSS,0.7,-0.1368877952677695,0.15112184979979082,1.0174816339521204,-0.19453765405229673,False,True,STOP,False,0.16187458516000452,1.0179537645049168,-0.2074018763117903,-0.0004721305527963793,1.2864222259493574,0.15257181383948715,0.8738511437360154,-0.3371595330739301,0.07847283605551292,1.1019125044197382,-0.12241069123223403
B136,1.5,IS_MATCHED_BEST_MAXDD,GROSS,0.68,-0.13307810608008053,0.14681574230624217,1.0172889748745593,-0.1893543485762884,False,True,IVOL,False,0.16187458516000452,1.0179537645049168,-0.2074018763117903,-0.0006647896303575429,1.804752773550189,0.15257181383948715,0.8738511437360154,-0.3371595330739301,0.07847283605551292,1.1019125044197382,-0.12241069123223403
B136,2.0,IS_MATCHED_BEST_MAXDD,GROSS,0.66,-0.12926192800148362,0.1425071129561315,1.0170945266514664,-0.18414941700830367,False,True,BAND,False,0.16187458516000452,1.0179537645049168,-0.2074018763117903,-0.0008592378534504341,2.325245930348663,0.15257181383948715,0.8738511437360154,-0.3371595330739301,0.07847283605551292,1.1019125044197382,-0.12241069123223403
B136,2.5,IS_MATCHED_BEST_MAXDD,GROSS,0.63,-0.12352559531670881,0.13603983454816437,1.0167996174519998,-0.17630138457975908,False,True,GROSS,True,0.16187458516000452,1.0179537645049168,-0.2074018763117903,-0.0011541470529170539,3.110049173203122,0.15257181383948715,0.8738511437360154,-0.3371595330739301,0.07847283605551292,1.1019125044197382,-0.12241069123223403
