panel,side,v,dSharpe,turn,names,dOOS
U56,ENTRY,2,0.013680664845062251,10.100472464894032,18.181347150259068,0.002260071849111478
U56,ENTRY,4,0.00312110658041842,9.30575961609217,17.126154539310654,-0.011163638077668736
U56,ENTRY,6,-0.010435559620901369,8.649449388786088,15.997071412480288,-0.01917442322129581
U56,ENTRY,8,-0.0038138612516842585,8.250107036519664,14.826988060373958,-0.027210574579263014
U56,ENTRY,12,-0.024612588132063795,7.567421345708814,11.760531651272808,-0.02509765501906136
U56,ENTRY,16,0.024736704125817743,7.681319181715954,7.6071187204325295,0.007426513902810905
U56,EXIT,5,0.023567158671077948,7.220757136573593,19.10745663437711,0.03785016627318427
U56,EXIT,10,0.024837672094442764,6.12613758511125,19.10745663437711,0.028385179081640954
U56,EXIT,20,0.048052962740917415,5.264804894861113,19.10745663437711,0.056036740490458925
U56,EXIT,40,0.06340590561134873,5.06915854563749,19.10745663437711,0.0584927377251625
U56,EXIT,80,0.06340590561134873,5.06915854563749,19.10745663437711,0.0584927377251625
B136,ENTRY,2,0.012013375531260806,13.255306355442457,18.595179094390627,0.00833613371600117
B136,ENTRY,4,0.047602996882942006,12.320170366233423,17.417661635503492,0.029764441597244784
B136,ENTRY,6,0.05296705381593736,11.586635362372736,16.22617706690696,0.02077378122394602
B136,ENTRY,8,0.048815011060656,10.94596603773405,14.86077945483217,-0.021310804250311954
B136,ENTRY,12,0.04403217805002102,10.151076475990829,11.579409776976796,-0.040548697272639544
B136,ENTRY,16,0.0058745818412779816,10.403689067825756,7.3928812795674705,-0.08937253695270742
B136,EXIT,5,0.03639855800781555,9.519717108439082,19.700382969137195,0.019679387377241953
B136,EXIT,10,0.03316144833244916,7.611805265051858,19.700382969137195,-0.01462906555636112
B136,EXIT,20,0.06539143814390402,6.201259355559795,19.700382969137195,0.042018003581685615
B136,EXIT,40,0.033721258523755626,5.088078393812929,19.700382969137195,0.020250964258980764
B136,EXIT,80,0.0951614768553577,4.178659753138932,19.700382969137195,0.052745967068102195
SMALL439,ENTRY,2,0.007214544449128113,19.48687363370126,18.70971021860701,0.000541753857840388
SMALL439,ENTRY,4,0.022522379192504494,18.610535299075337,17.45271987798678,0.014198969541942497
SMALL439,ENTRY,6,0.09253849486187354,17.86384068702732,16.10574478901881,0.053463245248883906
SMALL439,ENTRY,8,0.15423202187840307,17.163926245997253,14.696492119979665,0.1516273897349193
SMALL439,ENTRY,12,0.08028434749452468,16.791609217458014,11.324097610574478,0.12707813109563992
SMALL439,ENTRY,16,0.005054460772087599,17.547164184929084,7.312913065582105,0.0365718785535738
SMALL439,EXIT,5,0.041120466118925,15.5905650041502,19.868835790543976,0.0510487369664262
SMALL439,EXIT,10,0.040812863402730604,13.698730207155045,19.868835790543976,0.04938276169663791
SMALL439,EXIT,20,0.055044782414384985,11.959193552976108,19.868835790543976,-0.004788816708679977
SMALL439,EXIT,40,0.11204704049478559,10.212757022254529,19.868835790543976,0.06572527339015832
SMALL439,EXIT,80,0.12868597174709434,8.787470256517489,19.868835790543976,0.059398229369388544
