panel,kind,q,k,seed,n_elig_IS,breadth_IS,breadth_OOS,disp_IS,disp_OOS,corr_IS,corr_OOS,evol_IS,evol_OOS,EWall_IS_Sharpe,EWall_OOS_Sharpe,EWall_Sharpe,EWall_CAGR,EWall_MaxDD,EWall_H1,EWall_H2,EWall_OOS_CAGR,EWall_OOS_MaxDD,CAND10_IS_Sharpe,CAND10_OOS_Sharpe,CAND10_Sharpe,CAND10_CAGR,CAND10_MaxDD,CAND10_H1,CAND10_H2,CAND10_OOS_CAGR,CAND10_OOS_MaxDD,CAND20_IS_Sharpe,CAND20_OOS_Sharpe,CAND20_Sharpe,CAND20_CAGR,CAND20_MaxDD,CAND20_H1,CAND20_H2,CAND20_OOS_CAGR,CAND20_OOS_MaxDD,v1_IS_Sharpe,v1_OOS_Sharpe,v1_Sharpe,v1_CAGR,v1_MaxDD,v1_H1,v1_H2,v1_OOS_CAGR,v1_OOS_MaxDD,v2_IS_Sharpe,v2_OOS_Sharpe,v2_Sharpe,v2_CAGR,v2_MaxDD,v2_H1,v2_H2,v2_OOS_CAGR,v2_OOS_MaxDD,SPY_Sharpe,SPY_OOS_Sharpe,SPY_CAGR,SPY_MaxDD,SPY_H1,SPY_H2,SPY_OOS_CAGR,SPY_OOS_MaxDD
U56,NAMED,,55,-1,38.0,0.644187062937063,0.6838163816381638,0.09235412189168693,0.09628673562775265,0.3091697383336209,0.33384976934347055,0.19353896445137403,0.20268265077056646,0.9741604371643743,1.1179217294813681,1.0544111251716488,0.10456669006068386,-0.1584427027553561,1.0731138704862921,1.0405302470102114,0.11389633797897836,-0.15844270275535588,0.8540267892600896,0.9889777884605899,0.9304570940525174,0.13075835389295642,-0.17538190355779548,0.9033560162108623,0.9593984028717507,0.14862652556496214,-0.17538190355779515,0.9994084032116949,1.1457997893360163,1.0821303231772568,0.13039393084556727,-0.18296664075364621,1.0897752444015183,1.082515602356354,0.14668978248534081,-0.18296664075364655,0.5534675552778545,0.7621605710817947,0.6731148258090013,0.0657659788288012,-0.13827796154480854,0.6409429792246714,0.7045175733843105,0.07958278956230891,-0.1382779615448082,1.1092658562491007,1.2937425022698341,1.2126679589825617,0.08680871586108085,-0.11896565752846,1.2309983597844687,1.199577267535934,0.09563830138946261,-0.11896565752846011,0.8890296069344827,0.8820107671822842,0.15228044986566602,-0.3371723528339826,0.9566200326036914,0.834015937642442,0.15450717694493266,-0.33717235283398284
B136,NAMED,,135,-1,98.5,0.6626068376068376,0.6782838283828383,0.09209777760476369,0.09805319868642724,0.3542347174681166,0.33833939676256397,0.2105277113161648,0.22314400851341173,1.037344975936913,1.0197977090316812,1.0278772028988117,0.10734644282026928,-0.1768127133019105,1.1481702648507748,0.9153643662470855,0.10595226164169458,-0.17681271330191017,1.0558595059015365,0.7805933395341813,0.8945662564516421,0.1425213779576584,-0.21444792932259593,1.1180659894707747,0.710413352662198,0.12766905137397422,-0.21444792932259604,1.0226042049000197,0.883602278072537,0.9431848997615343,0.12992958836952506,-0.20052048331108308,1.1047866702854356,0.8025166021122436,0.12454335283909401,-0.20052048331108296,0.714743531177852,0.5392312258381323,0.6136113717341736,0.06158314652752783,-0.2147930583008587,0.7562149489638128,0.4926787857002675,0.055295114566539905,-0.21479305830085738,1.093124006540268,1.12060446918127,1.1078049683658702,0.08034199584015167,-0.12178128651163933,1.23124936086813,0.986083419602645,0.07983508528458505,-0.12178128651163989,0.8890499106949826,0.8820239235972316,0.15228333786002324,-0.3371595330739301,0.9566383979356751,0.8340326918358352,0.1545044425578177,-0.3371595330739301
BSTK100,NAMED,,100,-1,73.0,0.6664663461538461,0.6754455445544555,0.09585543328662542,0.10398763969594697,0.37792706849477475,0.3447930326911515,0.23395576444650515,0.24530829031199902,1.0388605326610394,1.0095999331099443,1.0228373951970056,0.12738334929822792,-0.2609327726929145,1.141788746703878,0.9044700210156312,0.12155660613742114,-0.2609327726929146,1.0495996581958842,0.7488975844407562,0.8791856605397992,0.14519258303456306,-0.2913080218051687,1.104472264519851,0.6794046184339618,0.12338297887674621,-0.29130802180516846,1.0130953078333733,0.8910729150865583,0.9458199036213336,0.13882130950972837,-0.27294930694382635,1.1062122893653503,0.7963154894849032,0.13046460605228716,-0.27294930694382613,0.8837671937096808,0.5026265124152564,0.6695672129103325,0.08169899324198404,-0.21125356804413953,0.8990963302601018,0.46555573305996434,0.0597336961101913,-0.2112535680441392,1.1737509927769931,1.1403459736163715,1.1556684895492155,0.09199176301504841,-0.12882213892772998,1.3206683481689527,0.9923646720371688,0.08889334353179068,-0.12882213892772987,0.8890499106949826,0.8820239235972316,0.15228333786002324,-0.3371595330739301,0.9566383979356751,0.8340326918358352,0.1545044425578177,-0.3371595330739301
ETF36,NAMED,,36,-1,26.0,0.6563167735042735,0.6903740374037404,0.05727465225609399,0.06594822712658324,0.322113426259558,0.3532286105173962,0.15178978886361422,0.1628720367352288,0.5817053328817591,0.6655585909084499,0.6286991144056556,0.051074398875337934,-0.21789114887889938,0.6623591718911113,0.6014723134136614,0.055802348083681785,-0.21789114887889982,0.5208460178963706,0.6706180757977825,0.6058900479637318,0.06174974737462935,-0.22586913434103728,0.6179212334599695,0.5987268667951369,0.07206727726491557,-0.22586913434103673,0.5799146864378782,0.7458485847307619,0.673452683510965,0.06073610609052049,-0.22153357165594512,0.6707121817582624,0.6785644006517576,0.070118438241912,-0.221533571655945,0.5014657723817605,0.404276570885015,0.4441942689576847,0.036116433723793584,-0.17879145793472317,0.6168494348551191,0.30231381614222064,0.03407987370757981,-0.17879145793472295,0.6863231128598973,0.9267499958952138,0.8172738715363742,0.04822783174570522,-0.10485324183316336,0.7763000165903398,0.8565669091754262,0.05477576845065224,-0.10485324183316347,0.8890499106949826,0.8820239235972316,0.15228333786002324,-0.3371595330739301,0.9566383979356751,0.8340326918358352,0.1545044425578177,-0.3371595330739301
SMALL439,NAMED,,439,-1,137.5,0.3047500146019508,0.3327860348677237,0.1506989666242754,0.1784490343094021,0.17103823398728002,0.17952595217184045,0.31805578930520695,0.3526547784076992,0.42105878487589055,0.29095981782086194,0.33611343420604756,0.03666279912702519,-0.3998069131118529,0.43943114617044443,0.25876181215049104,0.03139636424374004,-0.39980691311185323,0.34390844711271906,0.5507369020764514,0.4773220958327365,0.07750552511804099,-0.3140232499932929,0.5334970511331097,0.4332277394888406,0.09690985625461979,-0.31402324999329245,0.42314714464226266,0.46573138739537995,0.44991579434596285,0.06404932322062762,-0.334794167175974,0.6056001345009001,0.32625490108889843,0.06952666704630439,-0.33479416717597366,0.6372523446835316,0.5710706738784666,0.595570533497213,0.08041564920606836,-0.34007525014940854,0.7012816622951336,0.502002567909964,0.07765620835877263,-0.3400752501494083,0.5789899663564635,0.5664863714962136,0.5710244752159079,0.03803686076484869,-0.1470362580000899,0.5682458981113393,0.5757362229674686,0.03837588361212907,-0.1470362580000888,0.8615352658239138,0.8820107671822842,0.1412985547640384,-0.3371723528339826,0.890660472468106,0.8577064741129479,0.15450717694493266,-0.33717235283398284
k20~q0.250~s00,k20q0.250,0.25,20,0,13.0,0.621474358974359,0.5961386138613861,0.09301558844068737,0.11267872005849988,0.3089046000204482,0.22103990025855488,0.21303910053560443,0.25450907782509924,1.05247162794396,1.2377205974419885,1.169343198180734,0.13892680162375548,-0.21916474621847482,1.2040254331705253,1.1430344902189433,0.15172330695931047,-0.21916474621847637,1.0986788260004878,1.1751628448459521,1.146683128925851,0.1453614315073175,-0.23721742586358163,1.252125961797166,1.0589843374208128,0.1536453445808228,-0.23721742586358163,1.05247162794396,1.2349518075071038,1.167630361614497,0.1388456237510678,-0.21916474621847482,1.2040254331705253,1.139994647208568,0.15159052128151917,-0.21916474621847637,1.0730108034089747,0.9149748287332007,0.9671982792528792,0.12451126774359245,-0.2659219074369489,1.2291427618778974,0.764195109347701,0.12317178684932206,-0.26592190743694777,1.025626863613954,1.2678238857708928,1.1738975553692124,0.09687499035622427,-0.12125154302768504,1.151470328602524,1.1957054376688807,0.10425338273548546,-0.1212515430276846,0.8615657442323101,0.8820239235972316,0.14130109527377144,-0.33715953307393,0.8907051771707777,0.8577251101701436,0.1545044425578177,-0.3371595330739301
k20~q0.250~s01,k20q0.250,0.25,20,1,12.0,0.5546474358974359,0.5745544554455445,0.09371984835133364,0.10942741348341019,0.38588015181879115,0.3179501300500538,0.2594312833128169,0.2832570661468454,0.8485309344035501,1.0163385972923256,0.9531780631051912,0.14071260797972474,-0.23031958029088906,0.9648561407075723,0.9439026758552165,0.15280938667927035,-0.21487590167237713,0.7419998435862608,1.011140446262405,0.9116673418769734,0.1405468376402499,-0.23925868223009905,0.8004856375692518,1.0141678868819235,0.16188649465846883,-0.22186911859935732,0.8353791409436124,0.9902346250026981,0.9320610777070586,0.13730791477478266,-0.23031958029088906,0.9232996278369914,0.9415186246970417,0.14867553560701574,-0.2148759016723767,0.6060531955717356,0.7092064051637076,0.6716819170241982,0.09527823494965504,-0.27037469188464514,0.7839136389821315,0.5849341139547004,0.10776351606620915,-0.27037469188464547,0.7969275473161685,0.8157333665995065,0.8078226541385062,0.08136247528231388,-0.1696408781213351,0.9424155469206836,0.6906067725220386,0.0857372448877689,-0.169640878121335,0.8615657442323101,0.8820239235972316,0.14130109527377144,-0.33715953307393,0.8907051771707777,0.8577251101701436,0.1545044425578177,-0.3371595330739301
k20~q0.250~s02,k20q0.250,0.25,20,2,10.0,0.48733974358974363,0.5338613861386139,0.08083976452648041,0.12275018082347307,0.3393225643422053,0.26663737569689944,0.22414968024812404,0.2676177216366561,0.9163209913543875,0.8164296776353144,0.8499646672813622,0.10926492755778594,-0.1909987560990567,1.0731415097687307,0.6641358017937743,0.10907463420995112,-0.19099875609905648,0.9993072412029097,0.7999981808923232,0.8668837219012963,0.11532089418881286,-0.21522406094723134,1.1414610394181557,0.6404420280749007,0.1106109046357262,-0.215224060947234,0.9113982946842404,0.8193735861951813,0.8501614070472122,0.10928631068136752,-0.1899182802808942,1.069356987048411,0.6676394885195157,0.10950683035825515,-0.1899182802808933,1.1986768831447987,0.6352329700563154,0.8271302405126062,0.11123444469675259,-0.2208731860667994,1.2568272953239459,0.4259633549676559,0.08617973939021328,-0.22087318606679884,0.8178317172839418,1.149750813341153,1.0304155669359172,0.08861941619692848,-0.12658738058307917,1.1345284585679936,0.936396502606439,0.10407591665388938,-0.1265873805830784,0.8615657442323101,0.8820239235972316,0.14130109527377144,-0.33715953307393,0.8907051771707777,0.8577251101701436,0.1545044425578177,-0.3371595330739301
k20~q0.250~s03,k20q0.250,0.25,20,3,14.0,0.6423076923076924,0.6027722772277228,0.08652694923162749,0.09383890962308018,0.3860133504961893,0.2911423405652612,0.21396378622469633,0.24828129955752276,0.6948404652350728,0.6420546823522447,0.6610525485199646,0.07504046925375163,-0.2262626755826591,0.8063209880906884,0.5395466606415861,0.07433162705337737,-0.21939519308006972,0.6382280585395553,0.6901158402699813,0.6708500058027288,0.07884233933425122,-0.23133423030256284,0.7835472505067239,0.5749215832622295,0.08335171005118114,-0.21651224552059112,0.6948404652350728,0.6464170363857704,0.6638724248242334,0.07529436010776136,-0.2262626755826591,0.8063209880906884,0.544343888048216,0.07474207969924263,-0.21651224552059145,0.6887085856999602,0.5887698759960109,0.6231320667108141,0.07172041004096052,-0.20300351793661486,0.852996758168298,0.43038805681621894,0.06986573022177844,-0.20300351793661475,0.7160997503693086,0.8100069980448638,0.7750192559933852,0.05942032398443442,-0.10195529178337781,0.7750508419919023,0.7759080621478053,0.06331258561468966,-0.10195529178337825,0.8615657442323101,0.8820239235972316,0.14130109527377144,-0.33715953307393,0.8907051771707777,0.8577251101701436,0.1545044425578177,-0.3371595330739301
k20~q0.250~s04,k20q0.250,0.25,20,4,14.0,0.6514423076923077,0.6281188118811881,0.11113376414082783,0.114895859586949,0.24895585720296576,0.2933234833841507,0.2525033072630591,0.2774488116391111,1.111667466150719,0.8343339140619349,0.9268221506536187,0.1289562178576098,-0.332037421480472,1.2561771322928847,0.6864866706639414,0.12063922067389798,-0.33203742148047366,1.1798905008236984,0.824406695372904,0.9449951342015277,0.14017381876335522,-0.33908950789858816,1.2589945439063694,0.7055696224312246,0.12582531055310575,-0.3390895078985888,1.1308412646189978,0.8343339140619349,0.9337278670168843,0.13019495916365753,-0.33203742148047355,1.270882914681695,0.6864866706639414,0.12063922067389798,-0.33203742148047366,1.0592427123855488,0.6872032911797942,0.8190572576862726,0.11740406956845462,-0.3425230495362718,1.0178419067607154,0.6554507523821761,0.09904553235587477,-0.34252304953627155,1.1072562593586963,1.0466349364570269,1.069191536089777,0.09400208848746927,-0.18388130889921872,1.2900048577481322,0.8645197907668076,0.09316314942319726,-0.18388130889921828,0.8615657442323101,0.8820239235972316,0.14130109527377144,-0.33715953307393,0.8907051771707777,0.8577251101701436,0.1545044425578177,-0.3371595330739301
