panel,exit,H,turnmatch_H,full_dS,full_SE,full_t,oos_dS,oos_SE,oos_t,full_resolvable,oos_resolvable
U56,ELIG,63,21,-0.022363084244145348,0.06354871804753158,-0.3519045691436099,0.045155319534195604,0.08176628904259643,0.5522486108018402,False,False
U56,ELIG,126,42,-0.022816831608223787,0.08004100034825277,-0.2850642984089323,0.05927892156864489,0.11200192782561127,0.5292669753054884,False,False
U56,ELIG,189,42,0.04114973241532405,0.08237559602932674,0.499537901985853,0.08973161294587939,0.1089438016387998,0.8236504656169619,False,False
U56,MA,63,42,0.06765185366489557,0.07098040679661798,0.9531060290868747,0.0704916360044594,0.10768306161740306,0.6546213949127445,False,False
U56,MA,126,42,0.03725069402415149,0.08033845078148587,0.46367204821350594,-0.010044834703559324,0.11708774154282386,-0.08578895255132674,False,False
U56,MA,189,63,-0.058380780714984315,0.0884174127872425,-0.6602860101263663,-0.06205303748218749,0.12394386229169892,-0.5006543796105624,False,False
B136,ELIG,63,42,-0.012118028257265712,0.06784435827360202,-0.17861512092717058,0.0076856946333212495,0.09640286561962386,0.07972475282681579,False,False
B136,ELIG,126,63,-0.03527733221740115,0.07544193364375419,-0.46760906717986467,-0.05263966138218423,0.10713982244818461,-0.49131742221844765,False,False
B136,ELIG,189,63,-0.046087486462714544,0.07718235552791332,-0.5971246426399466,-0.060772050753371554,0.11134878609812612,-0.5457809903721463,False,False
B136,MA,63,42,0.051129646322520816,0.06000557130475931,0.8520816519326347,0.03694325260906539,0.08698422799087108,0.42471208243570957,False,False
B136,MA,126,84,0.17300721480813286,0.08278264767879466,2.089897093886378,0.16879278451766244,0.12211190726732939,1.382279486865589,True,False
B136,MA,189,84,0.06952956997582038,0.08136799394029232,0.8545076093044773,0.07071408090038978,0.12838428745130162,0.5508001197359361,False,False
SMALL,ELIG,63,21,0.16017332487428282,0.12703687216728035,1.2608412198890482,0.17668145626707354,0.171579553839167,1.0297349090480146,False,False
SMALL,ELIG,126,42,0.21059459229069732,0.11338224003982116,1.857386061668336,0.2601339547614481,0.14204578320712838,1.8313388042088226,False,False
SMALL,ELIG,189,42,0.29879489014056837,0.11618370326182366,2.5717452771084823,0.29289708742963644,0.15207498787368012,1.9260043451256368,True,False
SMALL,MA,63,63,0.16068354607683577,0.13078780960950948,1.2285819799000028,0.3067057566473105,0.16354496635650986,1.8753604190955409,False,False
SMALL,MA,126,84,0.3947293451697333,0.13201692028784695,2.9899905580972015,0.5271063198474661,0.16706527180484024,3.155092103541502,True,True
SMALL,MA,189,105,0.04515820892768352,0.12174226214768176,0.37093288830877397,-0.014923755332173938,0.15747626877841386,-0.09476828126511731,False,False
