phi,delta,nonempty,of,contiguous,gapped,gap_pts,med_width,cens_hi,cens_lo
0.0,0.4,108,306,105,3,5,0.37520263652009156,0,108
0.0,0.5,108,306,97,11,44,0.49828334816337994,12,108
0.0,0.6,109,306,102,7,38,0.6228041853484285,18,108
0.0,0.7,109,306,102,7,38,0.6751344750185448,36,108
0.0,0.8,109,306,102,7,38,0.7767179850081466,61,108
0.0,1.0,109,306,102,7,38,0.8676897616102763,102,108
0.5,0.4,54,306,53,1,1,0.03613394896512914,0,0
0.5,0.5,104,306,99,5,7,0.10887194975854908,12,0
0.5,0.6,106,306,105,1,1,0.19334444526378314,18,0
0.5,0.7,106,306,105,1,1,0.3096486633981026,36,0
0.5,0.8,106,306,105,1,1,0.41104535622013216,61,0
0.5,1.0,106,306,105,1,1,0.48000499006123554,102,0
0.6,0.4,10,306,10,0,0,0.0,0,0
0.6,0.5,68,306,68,0,0,0.037176196518805577,10,0
0.6,0.6,102,306,102,0,0,0.11247220437237093,16,0
0.6,0.7,103,306,103,0,0,0.223585798861051,34,0
0.6,0.8,103,306,103,0,0,0.2998886614496718,59,0
0.6,1.0,103,306,103,0,0,0.3900197905170898,100,0
0.7,0.4,0,306,0,0,0,,0,0
0.7,0.5,23,306,23,0,0,0.0,3,0
0.7,0.6,72,306,72,0,0,0.07495267751293255,9,0
0.7,0.7,93,306,93,0,0,0.1499160924490186,26,0
0.7,0.8,94,306,94,0,0,0.24448583187788264,51,0
0.7,1.0,94,306,94,0,0,0.3200144542942432,92,0
0.8,0.4,0,306,0,0,0,,0,0
0.8,0.5,2,306,2,0,0,0.0,0,0
0.8,0.6,37,306,37,0,0,0.03687645744414736,0,0
0.8,0.7,73,306,73,0,0,0.11085890743702764,14,0
0.8,0.8,82,306,82,0,0,0.18300025810432363,39,0
0.8,1.0,82,306,82,0,0,0.23134919712041158,80,0
0.9,0.4,0,306,0,0,0,,0,0
0.9,0.5,0,306,0,0,0,,0,0
0.9,0.6,13,306,13,0,0,0.0,0,0
0.9,0.7,48,306,48,0,0,0.048681127718987305,10,0
0.9,0.8,70,306,70,0,0,0.10978964290858301,33,0
0.9,1.0,75,306,75,0,0,0.14987058555598531,74,0
1.0,0.4,0,306,0,0,0,,0,0
1.0,0.5,0,306,0,0,0,,0,0
1.0,0.6,1,306,1,0,0,0.0,0,0
1.0,0.7,18,306,18,0,0,0.0373768168267139,5,0
1.0,0.8,43,306,43,0,0,0.037464933869470474,24,0
1.0,1.0,64,306,64,0,0,0.10725466561432773,63,0
