panel,ladder,n_subsets,n_fire_all4,share_all4,core_fires_all4,degenerate
U56,H,126,64,0.5079365079365079,True,False
U56,CADENCE,126,12,0.09523809523809523,True,False
B136,H,126,90,0.7142857142857143,True,False
B136,CADENCE,126,23,0.18253968253968253,True,False
SMALL,H,126,35,0.2777777777777778,False,False
SMALL,CADENCE,126,10,0.07936507936507936,False,False
