arm,n,beats_always_Sharpe,med_dSharpe_vs_always,beats_ctrl_Sharpe,med_dSharpe_vs_ctrl,buys_DD_vs_ctrl,med_dMaxDD_vs_ctrl,med_dCAGR_vs_ctrl,priceable
always,48,,0.0,2,-0.010772125067440491,22,0.0,-0.25402004247403465,12
spy200,48,30.0,0.0006590191722471578,2,-0.009595411317207037,20,0.0,-0.21828584388939865,13
breadth20,48,25.0,0.0005841116754341652,3,-0.008782993553677787,21,0.0,-0.18633035821010724,12
