panel,ladder,rung_set,chooser,oracle,oracle_adv,oracle_advS
U56,N,CORE,C_ISSHARPE,15,0.026235562022017156,0.026235562022017156
U56,N,CORE,C_ISCAGR,15,0.01957908229649763,0.026235562022017156
U56,N,CORE,C_ISDD,20,0.0,0.0
U56,N,EXT,C_ISSHARPE,15,0.026235562022017156,0.026235562022017156
U56,N,EXT,C_ISCAGR,15,0.01957908229649763,0.026235562022017156
U56,N,EXT,C_ISDD,20,0.0,0.0
U56,H,CORE,C_ISSHARPE,252,0.028770378742377645,0.028770378742377645
U56,H,CORE,C_ISCAGR,252,0.0033815535542573993,0.028770378742377645
U56,H,CORE,C_ISDD,126,0.0,0.0
U56,H,EXT,C_ISSHARPE,252,0.028770378742377645,0.028770378742377645
U56,H,EXT,C_ISCAGR,252,0.0033815535542573993,0.028770378742377645
U56,H,EXT,C_ISDD,126,0.0,0.0
U56,GROSS,CORE,C_ISSHARPE,0.75,0.0,0.0
U56,GROSS,CORE,C_ISCAGR,0.75,0.0,0.0
U56,GROSS,CORE,C_ISDD,0.3,0.11137235203817997,-0.0021154912506546886
U56,GROSS,EXT,C_ISSHARPE,0.75,0.0,0.0
U56,GROSS,EXT,C_ISCAGR,0.75,0.0,0.0
U56,GROSS,EXT,C_ISDD,0.3,0.11137235203817997,-0.0021154912506546886
U56,CADENCE,CORE,C_ISSHARPE,Q,0.008308398644119697,0.008308398644119697
U56,CADENCE,CORE,C_ISCAGR,Q,0.003131910981883701,0.008308398644119697
U56,CADENCE,CORE,C_ISDD,W,0.0,0.0
U56,CADENCE,EXT,C_ISSHARPE,Q,0.008308398644119697,0.008308398644119697
U56,CADENCE,EXT,C_ISCAGR,Q,0.003131910981883701,0.008308398644119697
U56,CADENCE,EXT,C_ISDD,2Q,0.012313311041019515,-0.09833821413193267
B136,N,CORE,C_ISSHARPE,30,0.059518470146195046,0.059518470146195046
B136,N,CORE,C_ISCAGR,15,0.014657596908876469,0.03575381728714189
B136,N,CORE,C_ISDD,15,0.010805742325517786,0.03575381728714189
B136,N,EXT,C_ISSHARPE,30,0.059518470146195046,0.059518470146195046
B136,N,EXT,C_ISCAGR,15,0.014657596908876469,0.03575381728714189
B136,N,EXT,C_ISDD,15,0.010805742325517786,0.03575381728714189
B136,H,CORE,C_ISSHARPE,252,0.03755133008137168,0.03755133008137168
B136,H,CORE,C_ISCAGR,252,0.010235972493503054,0.03755133008137168
B136,H,CORE,C_ISDD,126,0.0,0.0
B136,H,EXT,C_ISSHARPE,210,0.09215343632850859,0.09215343632850859
B136,H,EXT,C_ISCAGR,210,0.0501493410221745,0.09215343632850859
B136,H,EXT,C_ISDD,126,0.0,0.0
B136,GROSS,CORE,C_ISSHARPE,0.75,0.0,0.0
B136,GROSS,CORE,C_ISCAGR,0.75,0.0,0.0
B136,GROSS,CORE,C_ISDD,0.3,0.12068205643708341,-0.004535882691720783
B136,GROSS,EXT,C_ISSHARPE,0.75,0.0,0.0
B136,GROSS,EXT,C_ISCAGR,0.75,0.0,0.0
B136,GROSS,EXT,C_ISDD,0.3,0.12068205643708341,-0.004535882691720783
B136,CADENCE,CORE,C_ISSHARPE,M,0.055439762951079885,0.055439762951079885
B136,CADENCE,CORE,C_ISCAGR,M,0.020373151383970445,0.055439762951079885
B136,CADENCE,CORE,C_ISDD,W,0.0,0.0
B136,CADENCE,EXT,C_ISSHARPE,2Q,0.12513117138495078,0.12513117138495078
B136,CADENCE,EXT,C_ISCAGR,2W,0.030948999215153705,0.05097867132552958
B136,CADENCE,EXT,C_ISDD,W,0.0,0.0
