panel,book,gross,cadence,rung,draws,distinct,degenerate,null_turn_yr,null_drag_bp,base4b,L_H1,L_H2,L_OOS,L_DD,L_CAGR
U56,TOP5,0.5,W,0.0,200,200,False,44.705884472008016,0.0,0.005,0.48,0.74,0.775,1.0,0.005
U56,TOP5,0.5,W,5.0,200,200,False,44.705884472008016,223.5294223600401,0.0,0.05,0.2,0.15,0.99,0.0
U56,TOP5,0.5,W,10.0,200,200,False,44.705884472008016,447.0588447200802,0.0,0.0,0.015,0.0,0.845,0.0
U56,TOP5,0.5,W,25.0,200,200,False,44.705884472008016,1117.6471118002005,0.0,0.0,0.0,0.0,0.0,0.0
U56,TOP5,0.5,W,50.0,200,200,False,44.705884472008016,2235.294223600401,0.0,0.0,0.0,0.0,0.0,0.0
U56,TOP5,0.75,W,0.0,200,200,False,67.02834217507858,0.0,0.27,0.48,0.74,0.775,0.725,0.595
U56,TOP5,0.75,W,5.0,200,200,False,67.02834217507858,335.1417108753929,0.005,0.05,0.195,0.15,0.465,0.025
U56,TOP5,0.75,W,10.0,200,200,False,67.02834217507858,670.2834217507858,0.0,0.0,0.015,0.0,0.14,0.0
U56,TOP5,0.75,W,25.0,200,200,False,67.02834217507858,1675.7085543769645,0.0,0.0,0.0,0.0,0.0,0.0
U56,TOP5,0.75,W,50.0,200,200,False,67.02834217507858,3351.417108753929,0.0,0.0,0.0,0.0,0.0,0.0
U56,TOP5,1.0,W,0.0,200,200,False,89.34347656987825,0.0,0.02,0.47,0.745,0.77,0.045,0.945
U56,TOP5,1.0,W,5.0,200,200,False,89.34347656987825,446.71738284939124,0.0,0.05,0.2,0.15,0.01,0.33
U56,TOP5,1.0,W,10.0,200,200,False,89.34347656987825,893.4347656987825,0.0,0.0,0.015,0.0,0.0,0.01
U56,TOP5,1.0,W,25.0,200,200,False,89.34347656987825,2233.5869142469564,0.0,0.0,0.0,0.0,0.0,0.0
U56,TOP5,1.0,W,50.0,200,200,False,89.34347656987825,4467.173828493913,0.0,0.0,0.0,0.0,0.0,0.0
U56,TOP5,0.5,M,0.0,200,200,False,10.50416628832002,0.0,0.0,0.58,0.85,0.86,1.0,0.0
U56,TOP5,0.5,M,5.0,200,200,False,10.50416628832002,52.5208314416001,0.0,0.395,0.72,0.755,1.0,0.0
U56,TOP5,0.5,M,10.0,200,200,False,10.50416628832002,105.0416628832002,0.0,0.255,0.6,0.63,1.0,0.0
