panel,N,width4b,runs,g_lo,g_hi,g_centre,anchor_in,width4a
U56,10,5,1,0.5,0.7,0.6,False,0
U56,15,6,1,0.5,0.75,0.625,True,0
U56,20,5,1,0.55,0.75,0.65,True,0
U56,25,3,1,0.55,0.65,0.6000000000000001,False,0
U56,30,3,1,0.55,0.65,0.6000000000000001,False,0
U56,40,2,1,0.6,0.65,0.625,False,0
B136,10,7,1,0.45,0.75,0.6,True,0
B136,15,6,1,0.5,0.75,0.625,True,0
B136,20,5,1,0.5,0.7,0.6,False,0
B136,25,4,1,0.5,0.65,0.575,False,0
B136,30,2,1,0.55,0.6,0.575,False,0
B136,40,1,1,0.55,0.55,0.55,False,0
SMALL,10,0,0,,,,False,0
SMALL,15,0,0,,,,False,0
SMALL,20,0,0,,,,False,0
SMALL,25,0,0,,,,False,0
SMALL,30,0,0,,,,False,0
SMALL,40,0,0,,,,False,0
