panel,cost,share,n,k,dCAGR_pp,dSharpe,dMaxDD_pp,cost_k_pp,CAGR,Sharpe,MaxDD,pass4a,pass4b,failing,dCAGR_net_of_extra_cost_pp
u56,10.0,0.05,2,-1.0,-18.30841775802341,-0.6582306699011435,-7.427374269915377,0.5957710269391118,0.012426753543788749,0.19207617509584032,-0.18552608231016965,False,False,H1|H2|OOS|CAGR,-18.30841775802341
u56,10.0,0.05,2,-0.75,-18.30785337074683,-0.6700751157137376,-0.22709733709723734,0.609655890235603,0.012432397416554553,0.1802317292832463,-0.25752885163835104,False,False,H1|H2|OOS|DD|CAGR,-18.30785337074683
u56,10.0,0.05,2,-0.5,-14.155389425783893,-0.33598773935997983,-7.955493521176127,0.7410566678968311,0.053957036866183916,0.514319105637004,-0.18024488979756215,False,False,H1|H2|OOS|CAGR,-14.155389425783893
u56,10.0,0.05,2,-0.25,-9.680539624471972,-0.18333294051534577,-4.281465605282442,0.5145676839821501,0.09870553487930311,0.6669739044816381,-0.216985168956499,False,False,H1|H2|OOS|DD|CAGR,-9.680539624471972
u56,10.0,0.05,2,-0.1,-1.264250399254796,0.018888019341709694,-1.5932515530526992,0.2646604523060798,0.1828684271314749,0.8691948643386935,-0.24386730947879642,False,False,H1|DD,-1.264250399254796
u56,10.0,0.05,2,0.0,0.0,0.0,0.0,0.0,0.19551093112402285,0.8503068449969838,-0.2597998250093234,False,False,H1|OOS|DD,0.0
u56,10.0,0.05,2,0.1,6.762156035183864,0.18058421553736614,1.5358816445977808,-0.08352274479513717,0.2631324914758615,1.03089106053435,-0.2751586414553012,False,False,H1|DD,6.762156035183864
u56,10.0,0.05,2,0.25,5.5271642218645445,0.1342999326721318,2.4450105308144177,0.11644334183735054,0.2507825733426683,0.9846067776691156,-0.2842499303174676,False,False,H1|DD,5.5271642218645445
u56,10.0,0.05,2,0.5,0.8017583895204572,-0.027052464411144728,5.066525201571848,0.1396648717371548,0.20352851501922742,0.8232543805858391,-0.3104650770250419,False,False,H1|DD,0.8017583895204572
u56,10.0,0.05,2,0.75,2.9121932333227685,0.023853098340272494,6.596829833527984,0.2909832740514659,0.22463286345725053,0.8741599433372563,-0.32576812334460326,False,False,H1|DD,2.9121932333227685
u56,10.0,0.05,2,1.0,-0.36963699736862754,-0.07659203882759558,6.504135059576122,0.3680649566983124,0.19181456115033657,0.7737148061693883,-0.32484117560508463,False,False,H1|OOS|DD,-0.36963699736862754
u56,10.0,0.1,4,-1.0,-16.457834125060856,-0.5801067365217916,-8.648640023573295,0.5006389166047427,0.030371414284320997,0.434019350880839,-0.15650596653499105,False,False,H1|H2|OOS|CAGR,-16.457834125060856
u56,10.0,0.1,4,-0.75,-14.992815697275773,-0.4565255306385456,-8.14807091041365,0.5764103329444371,0.045021598562171805,0.5576005567640849,-0.16151165766658748,False,False,H1|H2|OOS|CAGR,-14.992815697275773
u56,10.0,0.1,4,-0.5,-13.161341545766048,-0.3705513510227162,-9.494554065315985,0.5969727781669316,0.06333634007726907,0.6435747363799144,-0.14804682611756415,False,False,H1|H2|OOS|CAGR,-13.161341545766048
u56,10.0,0.1,4,-0.25,-8.495387836463308,-0.22119336955467517,-8.293720520735647,0.38218358256688634,0.10999587717029646,0.7929327178479554,-0.16005516156336752,False,False,H1|OOS,-8.495387836463308
u56,10.0,0.1,4,-0.1,-1.8024169406778867,-0.023071278048666266,-5.434817474569186,0.11103443016825951,0.17692558612815068,0.9910548093539643,-0.18864419202503213,False,True,,-1.8024169406778867
u56,10.0,0.1,4,0.0,0.0,0.0,0.0,0.0,0.19494975553492955,1.0141260874026305,-0.242992366770724,False,False,DD,0.0
u56,10.0,0.1,4,0.1,-0.46271074301520443,-0.04142092358498628,1.276307343950478,-0.13292488041659498,0.1903226481047775,0.9727051638176443,-0.2557554402102288,False,False,DD,-0.46271074301520443
u56,10.0,0.1,4,0.25,-1.138122136697839,-0.08754992626958336,-1.331161797889635,-0.1206894560547088,0.18356853416795116,0.9265761611330472,-0.22968074879182765,False,False,H1|DD,-1.138122136697839
u56,10.0,0.1,4,0.5,-0.24721419394624355,-0.08095126023941535,5.224956660578339,0.09788861177190959,0.1924776135954671,0.9331748271632152,-0.2952419333765074,False,False,H1|DD,-0.24721419394624355
u56,10.0,0.1,4,0.75,-0.11181404735405298,-0.08106400923389767,1.0161537869202486,0.11246772409030967,0.19383161506138902,0.9330620781687329,-0.2531539046399265,False,False,H1|DD,-0.11181404735405298
u56,10.0,0.1,4,1.0,1.8863046795445149,-0.005862561509652364,2.1247118738581983,0.16015021643643693,0.2138128023303747,1.0082635258929782,-0.264239485509306,False,False,DD,1.8863046795445149
u56,10.0,0.15,6,-1.0,-11.167601249401681,-0.35119199016204317,-7.107231340962327,0.4429912912533361,0.04346492022492243,0.5906217279644141,-0.12310228705768966,False,False,H1|H2|OOS|CAGR,-11.167601249401681
u56,10.0,0.15,6,-0.75,-9.894160863104883,-0.26107175147742634,-5.833835505985608,0.4608229321028666,0.05619932408789041,0.680741966649031,-0.13583624540745687,False,False,H1|H2|OOS|CAGR,-9.894160863104883
u56,10.0,0.15,6,-0.5,-8.407672721201376,-0.21161468612905465,-6.162070784731643,0.5051592028832992,0.07106420550692549,0.7301990319974027,-0.1325538926199965,False,False,H1|H2|OOS|CAGR,-8.407672721201376
u56,10.0,0.15,6,-0.25,-3.1311002427310664,-0.017934689530766268,-3.0580426681554584,0.2988471577870886,0.12382993029162859,0.923879028595691,-0.16359417378575836,False,False,H1,-3.1311002427310664
u56,10.0,0.15,6,-0.1,-0.8450430716195001,-0.008316470215984695,0.916832141446311,0.04330149897814728,0.14669050200274425,0.9334972479104726,-0.20334292188177605,False,False,H1|DD,-0.8450430716195001
u56,10.0,0.15,6,0.0,0.0,0.0,0.0,0.0,0.15514093271893925,0.9418137181264573,-0.19417460046731294,False,False,H1,0.0
