claim_set,n,resolved,reach,chosen_A_STEM,chosen_A_COL,chosen_A_NAME,chosen_A_IDEA,none,reach_A_STEM,reach_A_COL,reach_A_NAME,reach_A_IDEA,body_idea_would_add
CS_STRICT,1658,1581,0.9535585042219542,663,897,21,0,77,663,897,947,49,39
CS_PROX,3697,3557,0.9621314579388693,2082,1444,31,0,140,2082,1444,1652,69,46
CS_ALL,11646,11251,0.966082775201786,8157,2987,107,0,395,8157,2987,3631,118,94
