panel,leg,IS,OOS,IS_n,OOS_n,book,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,full_CAGR,full_Sharpe,full_MaxDD
B136,multi_fail_rate,0.16422287390029325,0.2546419098143236,341.0,377.0,,,,,,,
SMALL716,multi_fail_rate,0.8705583756345178,0.9875,394.0,400.0,,,,,,,
U56,multi_fail_rate,0.3976945244956772,0.13764044943820225,347.0,356.0,,,,,,,
B136,,,,,,RULES v2 baseline (live),0.07884939392053303,1.105887869727878,-0.12240985403190019,0.07977883927766838,1.0992531359665725,-0.12240985403190008
B136,,,,,,RULES v1 (previous),0.05868442548994568,0.570246889585127,-0.2119236647684155,0.06411794932166859,0.6375122821596922,-0.2119236647684153
B136,,,,,,SPY,0.15331427255204866,0.8767278433896203,-0.3371595330739301,0.15163389387763448,0.8860757549112315,-0.3371595330739303
B136,,,,,,books MEAN (n=400),0.12011248269331805,1.0576984829708738,-0.2193384218098584,0.12308797543280521,1.0834539038045417,-0.2193384218098584
B136,,,,,,books BEST OOS Sharpe (n=1),0.23653172141662893,1.3060077855381451,-0.30360530581958955,0.21654922782059183,1.2326172269338713,-0.30360530581958967
B136,,,,,,books 4b PASSERS (n=30),0.1190344197410657,1.1490716199093003,-0.1848823730782331,0.11991920511883346,1.1666895232145646,-0.18488237307823313
SMALL716,,,,,,RULES v2 baseline (live),0.04469785852162711,0.6516492958083772,-0.12176044524089047,0.0464314538584516,0.7129094927908008,-0.12176044524088925
SMALL716,,,,,,RULES v1 (previous),0.3301515026864288,0.7148967110390221,-0.2547822449298861,0.2200322555303833,0.6130654117534736,-0.275934338638407
SMALL716,,,,,,SPY,0.15331699963496637,0.876714419369064,-0.33717235283398306,0.14058393631844535,0.8580753450186343,-0.33717235283398295
SMALL716,,,,,,books MEAN (n=400),0.09408356141817537,0.6100643668173411,-0.3329680863991016,0.102472162816583,0.6521805142006979,-0.33380928960306866
SMALL716,,,,,,books BEST OOS Sharpe (n=1),0.09600862666106713,0.9623571629063633,-0.19720838590454426,0.09431691534116893,0.9402975120197972,-0.19720838590454426
SMALL716,,,,,,books 4b PASSERS,,,,,,
U56,,,,,,RULES v2 baseline (live),0.09474682024310721,1.278242466157066,-0.12054943679771168,0.08628162162824915,1.201840627126638,-0.12054943679771168
U56,,,,,,RULES v1 (previous),0.07601837386039301,0.7361139961542332,-0.13827818499624467,0.06408509216901082,0.6602204851445538,-0.1382781849962449
U56,,,,,,SPY,0.15331699963496637,0.876714419369064,-0.33717235283398306,0.15163101010956526,0.8860543931081106,-0.33717235283398306
U56,,,,,,books MEAN (n=400),0.1163452517069089,1.0848155227519884,-0.19778798726513544,0.11219156557821934,1.0774837215308868,-0.19778798726513544
U56,,,,,,books BEST OOS Sharpe (n=1),0.22992597925195057,1.248710613540477,-0.30213421808276886,0.22911896095503526,1.3137940929893928,-0.30213421808276786
U56,,,,,,books 4b PASSERS (n=40),0.12371715153173053,1.1328546419010104,-0.1865283648902638,0.12018063236535308,1.1487629597871005,-0.1865283648902638
